time,open,high,low,close,volume
2023-08-14T08:10:00.000Z,7316,7317,7303,7306,676
2023-08-14T09:10:00.000Z,7305,7312,7301,7306,460
2023-08-14T10:10:00.000Z,7307,7309,7301,7302,224
2023-08-14T11:10:00.000Z,7301,7301,7290,7293,237
2023-08-14T12:10:00.000Z,7293,7294,7276,7283,696
2023-08-14T13:10:00.000Z,7283,7285,7263,7277,1145
2023-08-14T14:10:00.000Z,7276,7292,7276,7284,700
2023-08-14T15:10:00.000Z,7283,7292,7280,7287,418
2023-08-14T16:10:00.000Z,7287,7288,7279,7288,351
2023-08-14T17:10:00.000Z,7288,7290,7276,7278,284
2023-08-14T18:10:00.000Z,7277,7280,7275,7278,374
2023-08-14T19:10:00.000Z,7277,7295,7277,7290,294
2023-08-14T20:10:00.000Z,7290,7291,7289,7289,11
2023-08-14T23:50:00.000Z,7295,7317,7278,7305,1097
2023-08-15T00:50:00.000Z,7306,7322,7300,7318,815
2023-08-15T01:50:00.000Z,7319,7335,7319,7323,686
2023-08-15T02:50:00.000Z,7322,7324,7316,7323,266
2023-08-15T03:50:00.000Z,7324,7325,7314,7316,138
2023-08-15T04:50:00.000Z,7317,7318,7303,7310,266
2023-08-15T05:50:00.000Z,7309,7314,7306,7313,348
2023-08-15T07:10:00.000Z,7305,7309,7267,7271,1089
2023-08-15T08:10:00.000Z,7270,7285,7265,7279,730
2023-08-15T09:10:00.000Z,7278,7282,7263,7264,604
2023-08-15T10:10:00.000Z,7263,7265,7252,7262,575
2023-08-15T11:10:00.000Z,7262,7267,7258,7263,551
2023-08-15T12:10:00.000Z,7263,7276,7257,7276,952
2023-08-15T13:10:00.000Z,7276,7283,7255,7256,1457
2023-08-15T14:10:00.000Z,7255,7256,7241,7253,1031
2023-08-15T15:10:00.000Z,7253,7257,7244,7245,751
2023-08-15T16:10:00.000Z,7245,7246,7240,7241,563
2023-08-15T17:10:00.000Z,7242,7246,7238,7240,322
2023-08-15T18:10:00.000Z,7240,7245,7237,7242,286
2023-08-15T19:10:00.000Z,7243,7244,7231,7237,632
2023-08-15T20:10:00.000Z,7238,7239,7233,7233,27
2023-08-15T23:50:00.000Z,7226,7232,7196,7213,1208
2023-08-16T00:50:00.000Z,7212,7218,7186,7207,1108
2023-08-16T01:50:00.000Z,7206,7217,7203,7204,633
2023-08-16T02:50:00.000Z,7204,7208,7198,7204,399
2023-08-16T03:50:00.000Z,7205,7206,7196,7198,224
2023-08-16T04:50:00.000Z,7201,7204,7193,7197,306
2023-08-16T05:50:00.000Z,7196,7201,7190,7195,356
2023-08-16T07:10:00.000Z,7201,7220,7196,7216,592
2023-08-16T08:10:00.000Z,7217,7221,7214,7218,404
2023-08-16T09:10:00.000Z,7219,7220,7204,7211,286
2023-08-16T10:10:00.000Z,7210,7212,7204,7204,359
2023-08-16T11:10:00.000Z,7204,7213,7202,7209,253
2023-08-16T12:10:00.000Z,7210,7210,7192,7192,411
2023-08-16T13:10:00.000Z,7192,7213,7191,7205,911
2023-08-16T14:10:00.000Z,7205,7211,7198,7205,886
2023-08-16T15:10:00.000Z,7204,7209,7197,7198,497
2023-08-16T16:10:00.000Z,7198,7200,7186,7186,506
2023-08-16T17:10:00.000Z,7185,7196,7184,7188,510
2023-08-16T18:10:00.000Z,7188,7198,7182,7184,930
2023-08-16T19:10:00.000Z,7184,7185,7172,7176,775
2023-08-16T20:10:00.000Z,7175,7175,7170,7173,80
2023-08-16T23:50:00.000Z,7167,7169,7103,7132,1772
2023-08-17T00:50:00.000Z,7131,7140,7106,7134,1248
2023-08-17T01:50:00.000Z,7133,7141,7122,7123,845
2023-08-17T02:50:00.000Z,7124,7151,7119,7148,560
2023-08-17T03:50:00.000Z,7149,7164,7148,7157,438
2023-08-17T04:50:00.000Z,7158,7159,7141,7142,565
2023-08-17T05:50:00.000Z,7141,7150,7136,7149,413
2023-08-17T07:10:00.000Z,7157,7168,7156,7164,749
2023-08-17T08:10:00.000Z,7165,7173,7159,7161,506
2023-08-17T09:10:00.000Z,7162,7173,7161,7172,434
2023-08-17T10:10:00.000Z,7171,7176,7168,7176,302
2023-08-17T11:10:00.000Z,7176,7176,7170,7173,304
2023-08-17T12:10:00.000Z,7173,7182,7170,7171,501
