time,open,high,low,close,volume
2024-02-21T07:20:00.000Z,7617,7618,7616,7617,15
2024-02-21T07:25:00.000Z,7617,7619,7617,7619,17
2024-02-21T07:30:00.000Z,7618,7619,7617,7617,17
2024-02-21T07:35:00.000Z,7616,7617,7616,7617,7
2024-02-21T07:40:00.000Z,7618,7618,7618,7618,1
2024-02-21T07:45:00.000Z,7619,7619,7617,7617,8
2024-02-21T07:50:00.000Z,7617,7618,7616,7616,5
2024-02-21T07:55:00.000Z,7617,7617,7613,7613,12
2024-02-21T08:00:00.000Z,7612,7613,7603,7605,116
2024-02-21T08:05:00.000Z,7605,7608,7604,7607,108
2024-02-21T08:10:00.000Z,7606,7606,7600,7602,59
2024-02-21T08:15:00.000Z,7603,7603,7596,7598,70
2024-02-21T08:20:00.000Z,7599,7599,7595,7596,74
2024-02-21T08:25:00.000Z,7595,7598,7594,7594,73
2024-02-21T08:30:00.000Z,7594,7597,7592,7596,64
2024-02-21T08:35:00.000Z,7597,7597,7592,7592,62
2024-02-21T08:40:00.000Z,7593,7595,7592,7593,93
2024-02-21T08:45:00.000Z,7593,7595,7591,7591,60
2024-02-21T08:50:00.000Z,7591,7594,7589,7590,54
2024-02-21T08:55:00.000Z,7589,7589,7583,7585,55
2024-02-21T09:00:00.000Z,7585,7586,7584,7585,80
2024-02-21T09:05:00.000Z,7585,7591,7585,7587,78
2024-02-21T09:10:00.000Z,7587,7588,7582,7582,65
2024-02-21T09:15:00.000Z,7581,7583,7581,7583,51
2024-02-21T09:20:00.000Z,7583,7586,7583,7585,64
2024-02-21T09:25:00.000Z,7585,7586,7583,7583,41
2024-02-21T09:30:00.000Z,7583,7588,7582,7587,83
2024-02-21T09:35:00.000Z,7587,7588,7586,7588,34
2024-02-21T09:40:00.000Z,7588,7591,7588,7589,28
2024-02-21T09:45:00.000Z,7588,7588,7584,7586,45
2024-02-21T09:50:00.000Z,7585,7587,7585,7587,43
2024-02-21T09:55:00.000Z,7586,7587,7584,7585,44
2024-02-21T10:00:00.000Z,7584,7585,7583,7584,40
2024-02-21T10:05:00.000Z,7584,7589,7584,7588,53
2024-02-21T10:10:00.000Z,7588,7589,7588,7589,12
2024-02-21T10:15:00.000Z,7589,7591,7589,7591,35
2024-02-21T10:20:00.000Z,7591,7592,7591,7592,24
2024-02-21T10:25:00.000Z,7593,7594,7592,7594,64
2024-02-21T10:30:00.000Z,7593,7593,7589,7590,44
2024-02-21T10:35:00.000Z,7589,7591,7589,7589,12
2024-02-21T10:40:00.000Z,7589,7593,7588,7593,23
2024-02-21T10:45:00.000Z,7592,7593,7591,7593,37
2024-02-21T10:50:00.000Z,7594,7595,7594,7594,15
2024-02-21T10:55:00.000Z,7594,7595,7592,7592,7
2024-02-21T11:00:00.000Z,7592,7594,7592,7594,11
2024-02-21T11:05:00.000Z,7595,7595,7593,7593,13
2024-02-21T11:10:00.000Z,7593,7593,7589,7590,24
2024-02-21T11:15:00.000Z,7590,7592,7590,7590,18
2024-02-21T11:20:00.000Z,7589,7591,7588,7590,38
2024-02-21T11:25:00.000Z,7590,7592,7590,7591,35
2024-02-21T11:30:00.000Z,7590,7591,7590,7591,14
2024-02-21T11:35:00.000Z,7590,7591,7588,7590,36
2024-02-21T11:40:00.000Z,7589,7590,7588,7588,12
2024-02-21T11:45:00.000Z,7588,7590,7588,7588,19
2024-02-21T11:50:00.000Z,7588,7591,7588,7591,23
2024-02-21T11:55:00.000Z,7591,7592,7591,7592,36
2024-02-21T12:00:00.000Z,7592,7593,7591,7592,26
2024-02-21T12:05:00.000Z,7591,7591,7588,7590,28
2024-02-21T12:10:00.000Z,7590,7597,7590,7596,53
2024-02-21T12:15:00.000Z,7596,7597,7595,7597,29
2024-02-21T12:20:00.000Z,7597,7597,7595,7596,25
