time,open,high,low,close,volume
2002-04-04T23:00:00.000Z,10246,10340,10222,10290,4234
2002-04-07T22:00:00.000Z,10277,10280,10105,10268,4407
2002-04-08T22:00:00.000Z,10290,10311,10205,10222,6189
2002-04-09T22:00:00.000Z,10229,10399,10215,10383,6372
2002-04-10T22:00:00.000Z,10378,10378,10158,10170,5387
2002-04-11T22:00:00.000Z,10210,10240,10140,10194,6740
2002-04-14T22:00:00.000Z,10196,10230,10068,10093,4122
2002-04-15T22:00:00.000Z,10141,10344,10132,10304,5340
2002-04-16T22:00:00.000Z,10309,10338,10185,10228,4857
2002-04-17T22:00:00.000Z,10238,10272,10040,10175,4241
2002-04-18T22:00:00.000Z,10140,10274,10140,10252,3306
2002-04-21T22:00:00.000Z,10247,10263,10111,10135,7043
2002-04-22T22:00:00.000Z,10148,10177,10065,10095,6065
2002-04-23T22:00:00.000Z,10115,10161,10015,10020,8117
2002-04-24T22:00:00.000Z,10015,10045,9919,10042,4615
2002-04-25T22:00:00.000Z,10036,10077,9860,9865,5401
2002-04-28T22:00:00.000Z,9907,9933,9806,9818,6327
2002-04-29T22:00:00.000Z,9836,10003,9817,9930,6247
2002-04-30T22:00:00.000Z,9963,10081,9820,10070,4509
2002-05-01T22:00:00.000Z,10076,10114,10029,10090,5546
2002-05-02T22:00:00.000Z,10074,10108,9920,9986,5290
2002-05-05T22:00:00.000Z,10004,10018,9781,9790,6603
2002-05-06T22:00:00.000Z,9800,9920,9790,9800,8012
2002-05-07T22:00:00.000Z,9875,10148,9871,10115,6699
2002-05-08T22:00:00.000Z,10127,10134,10008,10033,5086
2002-05-09T22:00:00.000Z,9933,9933,9930,9930,5584
2002-05-12T22:00:00.000Z,9938,10111,9915,10105,5805
2002-05-13T22:00:00.000Z,10110,10297,10089,10291,7445
2002-05-14T22:00:00.000Z,10291,10349,10220,10265,6459
2002-05-15T22:00:00.000Z,10267,10319,10228,10293,3860
2002-05-16T22:00:00.000Z,10333,10364,10256,10337,5071
2002-05-19T22:00:00.000Z,10335,10335,10210,10240,5373
2002-05-20T22:00:00.000Z,10232,10285,10087,10123,6804
2002-05-21T22:00:00.000Z,10135,10159,10062,10152,5867
2002-05-22T22:00:00.000Z,10127,10228,10086,10220,4769
2002-05-23T22:00:00.000Z,10221,10245,10085,10093,7196
2002-05-27T22:00:00.000Z,10125,10143,9965,10003,6608
2002-05-28T22:00:00.000Z,9995,9998,9915,9925,8621
2002-05-29T22:00:00.000Z,9940,9967,9801,9921,5173
2002-05-30T22:00:00.000Z,9935,10047,9889,9905,7626
2002-06-02T22:00:00.000Z,9899,9990,9678,9683,10168
2002-06-03T22:00:00.000Z,9700,9750,9593,9700,6210
2002-06-04T22:00:00.000Z,9735,9812,9688,9805,6595
2002-06-05T22:00:00.000Z,9800,9821,9510,9630,6285
2002-06-06T22:00:00.000Z,9546,9641,9468,9590,7694
2002-06-09T22:00:00.000Z,9614,9718,9560,9654,7581
2002-06-10T22:00:00.000Z,9642,9764,9505,9525,8481
2002-06-11T22:00:00.000Z,9546,9633,9448,9622,1710
2002-06-12T22:00:00.000Z,9655,9655,9485,9510,7776
2002-06-13T22:00:00.000Z,9516,9519,9238,9480,7199
2002-06-16T22:00:00.000Z,9490,9695,9480,9680,6337
2002-06-17T22:00:00.000Z,9680,9760,9625,9755,8008
2002-06-18T22:00:00.000Z,9720,9736,9532,9560,8168
2002-06-19T22:00:00.000Z,9575,9595,9419,9428,8120
2002-06-20T22:00:00.000Z,9420,9480,9205,9267,13579
2002-06-23T22:00:00.000Z,9270,9382,9070,9310,9588
2002-06-24T22:00:00.000Z,9338,9405,9100,9105,8572
2002-06-25T22:00:00.000Z,9000,9171,8864,9115,7884
2002-06-26T22:00:00.000Z,9140,9278,9025,9266,3833
2002-06-27T22:00:00.000Z,9289,9360,9222,9230,5200
2002-06-30T22:00:00.000Z,9225,9324,9088,9096,5132
2002-07-01T22:00:00.000Z,9076,9141,8958,9010,5684
2002-07-02T22:00:00.000Z,9025,9070,8893,9047,2965
2002-07-04T22:00:00.000Z,9052,9412,9050,9392,4999
2002-07-07T22:00:00.000Z,9393,9393,9237,9278,5063
2002-07-08T22:00:00.000Z,9295,9324,9077,9098,6867
2002-07-09T22:00:00.000Z,9096,9172,8775,8795,8689
2002-07-10T22:00:00.000Z,8803,8858,8597,8797,6930
2002-07-11T22:00:00.000Z,8830,8879,8590,8648,11583
2002-07-14T22:00:00.000Z,8636,8689,8232,8662,7363
2002-07-15T22:00:00.000Z,8662,8664,8395,8473,9272
2002-07-16T22:00:00.000Z,8439,8721,8402,8525,7452
2002-07-17T22:00:00.000Z,8520,8630,8341,8365,8843
2002-07-18T22:00:00.000Z,8351,8356,7948,7998,13743
2002-07-21T22:00:00.000Z,7920,8113,7698,7785,10119
2002-07-22T22:00:00.000Z,7815,7950,7646,7698,12974
2002-07-23T22:00:00.000Z,7685,8230,7460,8205,11207
2002-07-24T22:00:00.000Z,8200,8306,7918,8170,6928
2002-07-25T22:00:00.000Z,8170,8273,8084,8267,8746
2002-07-28T22:00:00.000Z,8290,8711,8277,8665,9778
2002-07-29T22:00:00.000Z,8645,8757,8530,8694,10510
2002-07-30T22:00:00.000Z,8660,8770,8523,8705,10082
2002-07-31T22:00:00.000Z,8687,8706,8452,8478,9153
2002-08-01T22:00:00.000Z,8460,8493,8185,8300,10592
2002-08-04T22:00:00.000Z,8295,8302,8011,8037,10584
2002-08-05T22:00:00.000Z,8022,8413,7980,8285,11966
2002-08-06T22:00:00.000Z,8325,8460,8205,8440,11639
2002-08-07T22:00:00.000Z,8440,8709,8414,8695,8097
2002-08-08T22:00:00.000Z,8675,8791,8562,8725,6530
2002-08-11T22:00:00.000Z,8721,8721,8567,8670,6899
2002-08-12T22:00:00.000Z,8675,8738,8454,8480,10920
2002-08-13T22:00:00.000Z,8482,8751,8350,8720,12381
2002-08-14T22:00:00.000Z,8720,8858,8682,8807,6414
2002-08-15T22:00:00.000Z,8775,8837,8705,8765,7477
2002-08-18T22:00:00.000Z,8830,8997,8700,8967,6202
2002-08-19T22:00:00.000Z,8951,8974,8815,8885,10128
2002-08-20T22:00:00.000Z,8884,8985,8799,8975,7896
2002-08-21T22:00:00.000Z,8987,9081,8927,9040,6746
2002-08-22T22:00:00.000Z,9075,9075,8823,8868,8119
2002-08-25T22:00:00.000Z,8875,8955,8753,8910,9385
2002-08-26T22:00:00.000Z,8900,9024,8779,8835,6879
2002-08-27T22:00:00.000Z,8845,8854,8639,8682,7858
2002-08-28T22:00:00.000Z,8690,8744,8557,8653,6415
2002-08-29T22:00:00.000Z,8650,8784,8594,8633,13957
2002-09-02T22:00:00.000Z,8568,8580,8289,8298,10378
2002-09-03T22:00:00.000Z,8297,8455,8279,8390,10561
2002-09-04T22:00:00.000Z,8378,8386,8209,8313,9706
2002-09-05T22:00:00.000Z,8292,8480,8292,8433,10758
2002-09-08T22:00:00.000Z,8428,8559,8313,8492,12006
2002-09-09T22:00:00.000Z,8498,8628,8496,8620,8989
2002-09-10T22:00:00.000Z,8630,8760,8540,8552,2872
2002-09-11T22:00:00.000Z,8550,8550,8335,8378,10758
2002-09-12T22:00:00.000Z,8362,8374,8231,8310,10313
2002-09-15T22:00:00.000Z,8330,8382,8245,8375,15021
2002-09-16T22:00:00.000Z,8490,8580,8090,8178,19406
2002-09-17T22:00:00.000Z,8150,8245,8032,8095,17480
2002-09-18T22:00:00.000Z,8090,8104,7904,7913,11185
2002-09-19T22:00:00.000Z,7922,7994,7893,7945,14919
2002-09-22T22:00:00.000Z,7915,7970,7760,7865,15174
2002-09-23T22:00:00.000Z,7853,7860,7636,7678,16823
2002-09-24T22:00:00.000Z,7640,7879,7604,7847,13772
2002-09-25T22:00:00.000Z,7832,7994,7820,7952,13189
2002-09-26T22:00:00.000Z,7943,7960,7656,7663,19696
2002-09-29T22:00:00.000Z,7650,7667,7429,7570,18422
2002-09-30T22:00:00.000Z,7563,7985,7530,7972,19016
2002-10-01T22:00:00.000Z,7952,7957,7710,7765,17830
2002-10-02T22:00:00.000Z,7735,7903,7667,7708,18696
2002-10-03T22:00:00.000Z,7733,7813,7447,7550,19524
2002-10-06T22:00:00.000Z,7521,7621,7388,7443,27046
2002-10-07T22:00:00.000Z,7461,7610,7310,7510,28684
2002-10-08T22:00:00.000Z,7512,7525,7253,7280,26273
2002-10-09T22:00:00.000Z,7263,7543,7174,7505,21781
2002-10-10T22:00:00.000Z,7486,7885,7461,7862,16256
2002-10-13T22:00:00.000Z,7825,7898,7734,7858,25833
2002-10-14T22:00:00.000Z,7872,8260,7863,8252,22541
2002-10-15T22:00:00.000Z,8164,8260,7990,8038,17626
2002-10-16T22:00:00.000Z,8153,8360,8140,8255,16736
2002-10-17T22:00:00.000Z,8321,8350,8126,8295,18177
2002-10-20T22:00:00.000Z,8285,8539,8210,8515,18561
2002-10-21T22:00:00.000Z,8477,8478,8356,8445,21982
2002-10-22T22:00:00.000Z,8424,8522,8276,8492,19728
2002-10-23T22:00:00.000Z,8520,8558,8252,8275,15899
2002-10-24T22:00:00.000Z,8267,8442,8237,8440,17989
2002-10-27T23:00:00.000Z,8450,8543,8305,8378,22063
2002-10-28T23:00:00.000Z,8374,8383,8163,8346,20707
2002-10-29T23:00:00.000Z,8352,8446,8288,8410,19724
2002-10-30T23:00:00.000Z,8390,8485,8315,8350,15858
2002-10-31T23:00:00.000Z,8336,8550,8283,8490,17020
2002-11-03T23:00:00.000Z,8575,8720,8532,8542,18394
2002-11-04T23:00:00.000Z,8545,8676,8517,8648,20877
2002-11-05T23:00:00.000Z,8682,8785,8566,8767,18414
2002-11-06T23:00:00.000Z,8729,8729,8526,8574,16820
2002-11-07T23:00:00.000Z,8588,8658,8480,8495,10794
