time,open,high,low,close,volume
2020-03-12T10:00:00.000Z,22448,22474,21219,21880,36894
2020-03-12T14:00:00.000Z,21870,22835,21261,21906,231140
2020-03-12T18:00:00.000Z,21906,21995,20875,20918,93231
2020-03-12T22:00:00.000Z,20678,21063,20346,20480,6233
2020-03-13T02:00:00.000Z,20450,21741,20230,21300,9445
2020-03-13T06:00:00.000Z,21289,21953,20935,21854,10257
2020-03-13T10:00:00.000Z,21851,22385,21504,21615,19034
2020-03-13T14:00:00.000Z,21616,22079,21107,22018,102130
2020-03-13T18:00:00.000Z,22021,23022,21479,22664,51407
2020-03-15T22:00:00.000Z,22705,22708,21798,21798,3498
2020-03-16T02:00:00.000Z,21798,21798,21798,21798,26
2020-03-16T06:00:00.000Z,21798,21798,21798,21798,3
2020-03-16T10:00:00.000Z,21798,21798,20181,20623,10975
2020-03-16T14:00:00.000Z,20627,21607,20388,20853,59954
2020-03-16T18:00:00.000Z,20843,21186,19975,20240,42157
2020-03-16T22:00:00.000Z,20252,21061,20145,20919,13415
2020-03-17T02:00:00.000Z,20918,21061,20664,21025,7758
2020-03-17T06:00:00.000Z,21027,21061,20004,20205,13610
2020-03-17T10:00:00.000Z,20209,20911,19792,19821,46448
2020-03-17T14:00:00.000Z,19825,21248,19736,20740,108654
2020-03-17T18:00:00.000Z,20734,21215,20519,20741,42117
2020-03-17T22:00:00.000Z,20715,20845,20131,20267,17753
2020-03-18T02:00:00.000Z,20267,20578,20039,20039,8971
2020-03-18T06:00:00.000Z,20039,20039,20039,20039,54
2020-03-18T10:00:00.000Z,20039,20266,19614,20103,23956
2020-03-18T14:00:00.000Z,20099,20358,18905,19138,85209
2020-03-18T18:00:00.000Z,19134,19947,18766,19932,78958
2020-03-18T22:00:00.000Z,19900,20393,19570,19752,19654
2020-03-19T02:00:00.000Z,19745,19750,18834,19209,18569
2020-03-19T06:00:00.000Z,19221,20005,19204,19639,18493
2020-03-19T10:00:00.000Z,19624,19686,19044,19463,42323
2020-03-19T14:00:00.000Z,19461,20280,19330,20118,84658
2020-03-19T18:00:00.000Z,20126,20305,19523,19600,43907
2020-03-19T22:00:00.000Z,19583,19897,19406,19653,16609
2020-03-20T02:00:00.000Z,19651,20017,19541,19876,16821
2020-03-20T06:00:00.000Z,19876,20882,19874,20780,24596
2020-03-20T10:00:00.000Z,20780,20858,19745,19986,49439
2020-03-20T14:00:00.000Z,19983,20412,19584,19807,115334
2020-03-20T18:00:00.000Z,19805,19883,18825,18883,62178
2020-03-22T22:00:00.000Z,18504,18507,18086,18245,15340
2020-03-23T02:00:00.000Z,18244,18444,18086,18298,12085
2020-03-23T06:00:00.000Z,18301,18564,18173,18465,18198
2020-03-23T10:00:00.000Z,18459,19804,18311,18857,77763
2020-03-23T14:00:00.000Z,18854,19009,18101,18484,124177
2020-03-23T18:00:00.000Z,18494,18695,18152,18481,59999
2020-03-23T22:00:00.000Z,18584,19195,18584,19184,18531
2020-03-24T02:00:00.000Z,19180,19283,18888,19094,15105
2020-03-24T06:00:00.000Z,19099,19427,19080,19427,22376
2020-03-24T10:00:00.000Z,19427,19867,19166,19650,41247
2020-03-24T14:00:00.000Z,19645,20311,19590,19920,119193
2020-03-24T18:00:00.000Z,19922,20710,19747,20684,66546
2020-03-24T22:00:00.000Z,20679,20943,20349,20502,18955
2020-03-25T02:00:00.000Z,20511,20790,20279,20778,14153
2020-03-25T06:00:00.000Z,20781,21437,20575,21211,27364
2020-03-25T10:00:00.000Z,21211,21303,20358,20657,70279
2020-03-25T14:00:00.000Z,20652,21892,20407,21688,124762
2020-03-25T18:00:00.000Z,21693,21863,20955,21035,75256
2020-03-25T22:00:00.000Z,21058,21356,20831,20888,16128
2020-03-26T02:00:00.000Z,20886,21136,20774,20925,13209
2020-03-26T06:00:00.000Z,20924,20937,20616,20825,18161
2020-03-26T10:00:00.000Z,20823,21717,20510,21665,68546
2020-03-26T14:00:00.000Z,21665,22278,21597,21975,134563
2020-03-26T18:00:00.000Z,21972,22449,21808,22442,78229
2020-03-26T22:00:00.000Z,22520,22545,22008,22134,15003
2020-03-27T02:00:00.000Z,22129,22200,21877,22188,8959
2020-03-27T06:00:00.000Z,22187,22321,21843,21848,21860
2020-03-27T10:00:00.000Z,21845,22005,21316,21500,60387
2020-03-27T14:00:00.000Z,21503,21946,21424,21789,83298
2020-03-27T18:00:00.000Z,21792,22185,21375,21410,65906
2020-03-29T22:00:00.000Z,20926,21278,20778,21186,13640
2020-03-30T02:00:00.000Z,21181,21826,21162,21780,11137
2020-03-30T06:00:00.000Z,21781,21789,21153,21326,22146
2020-03-30T10:00:00.000Z,21321,21731,21310,21511,35407
2020-03-30T14:00:00.000Z,21510,22035,21441,21874,67735
2020-03-30T18:00:00.000Z,21873,22239,21784,22183,45777
2020-03-30T22:00:00.000Z,22186,22345,22134,22273,6098
2020-03-31T02:00:00.000Z,22276,22325,21993,22115,6290
2020-03-31T06:00:00.000Z,22105,22386,22023,22297,16693
2020-03-31T10:00:00.000Z,22301,22307,21864,21951,39182
2020-03-31T14:00:00.000Z,21946,22334,21882,22048,63067
2020-03-31T18:00:00.000Z,22047,22106,21641,21691,40664
2020-03-31T22:00:00.000Z,21702,21702,21412,21527,8853
2020-04-01T02:00:00.000Z,21519,21550,21038,21156,8513
2020-04-01T06:00:00.000Z,21153,21257,20960,21147,25617
2020-04-01T10:00:00.000Z,21150,21218,20852,21060,39420
2020-04-01T14:00:00.000Z,21072,21342,20811,21010,77846
2020-04-01T18:00:00.000Z,21008,21066,20648,20798,45846
2020-04-01T22:00:00.000Z,20819,20989,20808,20889,12267
2020-04-02T02:00:00.000Z,20895,21103,20895,21027,11388
2020-04-02T06:00:00.000Z,21029,21207,21027,21091,18262
2020-04-02T10:00:00.000Z,21091,21177,20500,20758,57466
2020-04-02T14:00:00.000Z,20764,21355,20726,20932,91989
2020-04-02T18:00:00.000Z,20931,21374,20719,21271,54761
2020-04-02T22:00:00.000Z,21272,21352,21041,21159,7844
