time,open,high,low,close,volume
1983-09-12T00:00:00.000Z,35.25,35.9,35.05,35.82,0
1983-09-13T00:00:00.000Z,36.82,36.82,36.12,36.23,0
1983-09-14T00:00:00.000Z,36.15,36.15,35.23,35.23,0
1983-09-15T00:00:00.000Z,34.65,34.93,34.23,34.23,0
1983-09-16T00:00:00.000Z,33.3,34,33.23,33.27,0
1983-09-19T00:00:00.000Z,33.99,34.77,33.9,34.77,0
1983-09-20T00:00:00.000Z,34.8,34.85,33.85,34.4,0
1983-09-21T00:00:00.000Z,35.9,35.9,35.9,35.9,0
1983-09-22T00:00:00.000Z,36.8,36.9,35.65,36.17,0
1983-09-23T00:00:00.000Z,36.05,36.05,35.17,35.17,0
1983-09-26T00:00:00.000Z,35.17,35.17,34.17,34.17,0
1983-09-27T00:00:00.000Z,34,34.25,33.4,33.95,0
1983-09-28T00:00:00.000Z,34.35,34.8,32.95,32.97,0
1983-09-29T00:00:00.000Z,32.25,32.25,31.97,31.97,0
1983-09-30T00:00:00.000Z,31.9,32.5,30.97,32.25,0
1983-10-03T00:00:00.000Z,32,32,31.25,31.55,0
1983-10-04T00:00:00.000Z,31.75,31.8,30.55,30.55,0
1983-10-05T00:00:00.000Z,30.05,30.65,29.78,30.5,0
1983-10-06T00:00:00.000Z,30.75,31.5,30.5,31.28,0
1983-10-07T00:00:00.000Z,31.1,31.3,30.52,30.61,0
1983-10-10T00:00:00.000Z,30.36,30.36,29.61,30.17,0
1983-10-11T00:00:00.000Z,30.26,30.95,30.1,30.5,0
1983-10-12T00:00:00.000Z,30.5,30.5,30.15,30.23,0
1983-10-13T00:00:00.000Z,30.9,31.23,30.9,31.23,0
1983-10-14T00:00:00.000Z,31.75,32.23,31.55,32.21,0
1983-10-17T00:00:00.000Z,32.1,32.73,32.05,32.42,0
1983-10-18T00:00:00.000Z,32.35,32.35,31.6,31.67,0
1983-10-19T00:00:00.000Z,31,31.35,30.67,30.67,0
1983-10-20T00:00:00.000Z,30.15,30.15,29.67,29.67,0
1983-10-21T00:00:00.000Z,29.67,29.67,28.67,29.15,0
1983-10-24T00:00:00.000Z,29,29.4,28.7,28.88,0
1983-10-25T00:00:00.000Z,29.4,29.4,29.1,29.27,0
1983-10-26T00:00:00.000Z,29.05,29.05,28.27,28.27,0
1983-10-27T00:00:00.000Z,27.85,28.8,27.5,28.73,0
1983-10-28T00:00:00.000Z,28.9,28.9,28.4,28.72,0
1983-10-31T01:00:00.000Z,28.5,29.55,28.25,28.3,0
1983-11-01T01:00:00.000Z,28.25,28.95,28.1,28.9,0
1983-11-02T01:00:00.000Z,29.1,29.7,29.05,29.62,0
1983-11-03T01:00:00.000Z,29.45,30.12,28.92,29.9,0
1983-11-04T01:00:00.000Z,29.65,30.05,29.45,29.6,0
1983-11-07T01:00:00.000Z,29.6,29.7,29.25,29.56,0
1983-11-08T01:00:00.000Z,29.5,29.5,29.01,29.03,0
1983-11-09T01:00:00.000Z,28.98,29.45,28.81,28.96,0
1983-11-10T01:00:00.000Z,28.85,29.1,28.65,28.85,0
1983-11-11T01:00:00.000Z,28.55,29.3,28.25,28.37,0
1983-11-14T01:00:00.000Z,28.35,28.35,27.81,27.98,0
1983-11-15T01:00:00.000Z,28,28.1,27.05,27.13,0
1983-11-16T01:00:00.000Z,27.1,27.1,26.13,26.13,0
1983-11-17T01:00:00.000Z,26.05,26.45,25.15,26.25,0
