time,open,high,low,close,volume
2023-08-14T08:00:00.000Z,60.98,60.98,60.73,60.8,477
2023-08-14T09:00:00.000Z,60.77,60.87,60.77,60.83,225
2023-08-14T10:00:00.000Z,60.84,60.84,60.64,60.75,332
2023-08-14T11:00:00.000Z,60.77,60.9,60.69,60.73,620
2023-08-14T12:00:00.000Z,60.73,60.8,60.59,60.68,408
2023-08-14T13:00:00.000Z,60.4,60.73,59.9,60.18,7887
2023-08-14T14:00:00.000Z,60.2,60.74,60.07,60.41,5755
2023-08-14T15:00:00.000Z,60.42,60.85,60.23,60.61,2954
2023-08-14T16:00:00.000Z,60.63,61.04,60.62,60.9,3125
2023-08-14T17:00:00.000Z,60.92,61.14,60.86,61.04,2279
2023-08-14T18:00:00.000Z,61.03,61.22,61.02,61.18,2936
2023-08-15T00:00:00.000Z,61.15,61.16,60.71,60.82,1158
2023-08-15T01:00:00.000Z,60.81,61.16,60.81,61.09,566
2023-08-15T02:00:00.000Z,61.08,61.38,60.94,61.28,379
2023-08-15T03:00:00.000Z,61.27,61.43,61.24,61.38,287
2023-08-15T04:00:00.000Z,61.39,61.5,61.26,61.31,232
2023-08-15T05:00:00.000Z,61.32,61.61,61.19,61.59,381
2023-08-15T06:00:00.000Z,61.56,61.77,61.56,61.6,830
2023-08-15T07:00:00.000Z,61.6,61.7,61.38,61.39,590
2023-08-15T08:00:00.000Z,61.38,61.67,61.24,61.59,544
2023-08-15T09:00:00.000Z,61.58,61.62,61.27,61.37,349
2023-08-15T10:00:00.000Z,61.36,61.43,61.26,61.4,518
2023-08-15T11:00:00.000Z,61.39,61.49,61.31,61.45,563
2023-08-15T12:00:00.000Z,61.47,61.84,61.36,61.76,1075
2023-08-15T13:00:00.000Z,61.61,62.66,61.61,62.23,8221
2023-08-15T14:00:00.000Z,62.25,62.4,61.95,62.11,5560
2023-08-15T15:00:00.000Z,62.12,62.49,61.7,62.34,5544
2023-08-15T16:00:00.000Z,62.33,62.69,61.31,61.69,10816
2023-08-15T17:00:00.000Z,61.69,62.19,61.69,61.96,3175
2023-08-15T18:00:00.000Z,61.96,61.98,61.75,61.83,2867
2023-08-16T00:00:00.000Z,61.88,61.88,61.61,61.8,493
2023-08-16T01:00:00.000Z,61.81,62.25,61.75,62.13,596
2023-08-16T02:00:00.000Z,62.12,62.2,62.02,62.14,234
2023-08-16T03:00:00.000Z,62.14,62.28,62.14,62.23,99
2023-08-16T04:00:00.000Z,62.24,62.24,62.14,62.18,77
2023-08-16T05:00:00.000Z,62.19,62.29,62.07,62.08,240
2023-08-16T06:00:00.000Z,62.1,62.15,61.95,61.97,230
2023-08-16T07:00:00.000Z,61.97,62.24,61.95,62.14,425
2023-08-16T08:00:00.000Z,62.14,62.33,62.14,62.23,520
2023-08-16T09:00:00.000Z,62.23,62.7,62.18,62.66,1226
2023-08-16T10:00:00.000Z,62.67,62.8,62.6,62.72,847
2023-08-16T11:00:00.000Z,62.71,62.86,62.7,62.78,798
2023-08-16T12:00:00.000Z,62.79,62.82,62.7,62.75,514
2023-08-16T13:00:00.000Z,62.81,63.38,62.64,62.77,7093
2023-08-16T14:00:00.000Z,62.78,63.42,62.61,63.3,6829
2023-08-16T15:00:00.000Z,63.29,63.82,63.09,63.42,7084
2023-08-16T16:00:00.000Z,63.42,63.55,62.83,62.86,3947
2023-08-16T17:00:00.000Z,62.85,63.21,62.71,63.01,4279
2023-08-16T18:00:00.000Z,63.02,63.04,62.79,62.85,3028
2023-08-17T00:00:00.000Z,62.81,63,62.81,62.82,637
2023-08-17T01:00:00.000Z,62.82,63.09,62.81,63.09,452
2023-08-17T02:00:00.000Z,63.08,63.32,63.03,63.26,358
2023-08-17T03:00:00.000Z,63.25,63.35,63.13,63.22,390
2023-08-17T04:00:00.000Z,63.23,63.26,63.11,63.18,168
2023-08-17T05:00:00.000Z,63.17,63.17,62.98,63.06,231
2023-08-17T06:00:00.000Z,63.03,63.39,63.03,63.29,821
2023-08-17T07:00:00.000Z,63.26,63.53,63.24,63.45,846
2023-08-17T08:00:00.000Z,63.46,63.88,63.38,63.81,844
2023-08-17T09:00:00.000Z,63.78,63.83,63.49,63.54,1372
2023-08-17T10:00:00.000Z,63.54,63.67,63.48,63.58,455
2023-08-17T11:00:00.000Z,63.56,63.71,63.31,63.38,737
2023-08-17T12:00:00.000Z,63.38,63.49,63.26,63.4,959
2023-08-17T13:00:00.000Z,63.46,63.69,63.26,63.33,5107
