time,open,high,low,close,volume
2023-10-09T01:30:00.000Z,101.858,101.9052,101.858,101.8805,2616
2023-10-09T01:35:00.000Z,101.8805,101.9052,101.8805,101.9052,1317
2023-10-09T01:40:00.000Z,101.9052,101.9207,101.9004,101.9152,1643
2023-10-09T01:45:00.000Z,101.9152,101.9199,101.9056,101.9103,718
2023-10-09T01:50:00.000Z,101.9103,101.9103,101.8858,101.8858,1256
2023-10-09T01:55:00.000Z,101.8858,101.9006,101.8858,101.9006,1279
2023-10-09T02:00:00.000Z,101.9006,101.9202,101.8959,101.9152,2097
2023-10-09T02:05:00.000Z,101.9152,101.9296,101.9105,101.9249,1215
2023-10-09T02:10:00.000Z,101.9249,101.9346,101.9203,101.9297,884
2023-10-09T02:15:00.000Z,101.9297,101.9299,101.9104,101.9153,1259
2023-10-09T02:20:00.000Z,101.9153,101.9153,101.9103,101.9106,750
2023-10-09T02:25:00.000Z,101.9106,101.9202,101.9103,101.9155,632
2023-10-09T02:30:00.000Z,101.9155,101.925,101.9056,101.9059,1395
2023-10-09T02:35:00.000Z,101.9059,101.9198,101.9009,101.9106,1150
2023-10-09T02:40:00.000Z,101.9106,101.9155,101.9009,101.9155,989
2023-10-09T02:45:00.000Z,101.9155,101.9299,101.9155,101.9299,1072
2023-10-09T02:50:00.000Z,101.9299,101.9348,101.911,101.911,978
2023-10-09T02:55:00.000Z,101.911,101.9253,101.911,101.9253,496
2023-10-09T03:00:00.000Z,101.9253,101.9253,101.9206,101.9253,207
2023-10-09T03:05:00.000Z,101.9253,101.9353,101.9253,101.9353,1334
2023-10-09T03:10:00.000Z,101.9353,101.9403,101.9306,101.9355,794
2023-10-09T03:15:00.000Z,101.9355,101.9455,101.9312,101.9358,621
2023-10-09T03:20:00.000Z,101.9358,101.9358,101.9259,101.9356,1065
2023-10-09T03:25:00.000Z,101.9356,101.95,101.9356,101.9453,1392
2023-10-09T05:00:00.000Z,101.9453,101.9552,101.9402,101.9403,1166
2023-10-09T05:05:00.000Z,101.9403,101.9453,101.9311,101.9311,581
2023-10-09T05:10:00.000Z,101.9311,101.9403,101.9207,101.9356,768
2023-10-09T05:15:00.000Z,101.9356,101.9356,101.9259,101.9259,357
2023-10-09T05:20:00.000Z,101.9259,101.9355,101.9256,101.9305,273
2023-10-09T05:25:00.000Z,101.9305,101.9305,101.9106,101.9156,621
2023-10-09T05:30:00.000Z,101.9156,101.9253,101.9107,101.9253,610
2023-10-09T05:35:00.000Z,101.9253,101.9253,101.9159,101.9206,590
2023-10-09T05:40:00.000Z,101.9206,101.9208,101.9112,101.9159,724
2023-10-09T05:45:00.000Z,101.9159,101.9208,101.9062,101.9208,679
2023-10-09T05:50:00.000Z,101.9208,101.9208,101.9161,101.9161,522
2023-10-09T05:55:00.000Z,101.9161,101.9208,101.9161,101.9208,329
2023-10-09T06:00:00.000Z,101.9208,101.9405,101.9208,101.9358,1370
2023-10-09T06:05:00.000Z,101.9358,101.9405,101.9259,101.9259,828
2023-10-09T06:10:00.000Z,101.9259,101.9259,101.9159,101.9256,1331
2023-10-09T06:15:00.000Z,101.9256,101.9397,101.9256,101.9308,1140
2023-10-09T06:20:00.000Z,101.9308,101.9399,101.9258,101.9308,802
2023-10-09T06:25:00.000Z,101.9308,101.9309,101.9261,101.9309,570
2023-10-09T06:30:00.000Z,101.9309,101.9356,101.9265,101.9312,650
2023-10-09T06:35:00.000Z,101.9312,101.9312,101.9161,101.9161,1011
2023-10-09T06:40:00.000Z,101.9161,101.9208,101.9064,101.9064,301
2023-10-09T06:45:00.000Z,101.9064,101.9161,101.9017,101.9114,1670
2023-10-09T06:50:00.000Z,101.9114,101.9114,101.8965,101.9012,1122
2023-10-09T06:55:00.000Z,101.9012,101.9012,101.8718,101.8765,2703
2023-10-09T07:00:00.000Z,101.8765,101.8914,101.8765,101.8817,905
2023-10-09T07:05:00.000Z,101.8817,101.8817,101.8668,101.8761,563
2023-10-09T07:10:00.000Z,101.8761,101.8808,101.8657,101.8751,518
2023-10-10T01:30:00.000Z,101.8241,101.8351,101.8059,101.8103,2958
2023-10-10T01:35:00.000Z,101.8103,101.815,101.7909,101.7909,3474
