time,open,high,low,close,volume
2020-03-13T01:00:00.000Z,101.0889,101.1214,101.0423,101.0871,1428
2020-03-13T02:00:00.000Z,101.0871,101.1038,101.054,101.0623,2073
2020-03-13T03:00:00.000Z,101.0623,101.0623,101.025,101.0466,1554
2020-03-13T05:00:00.000Z,101.045,101.0714,100.9968,101.0665,2931
2020-03-13T06:00:00.000Z,101.0665,101.0921,101.025,101.0325,1949
2020-03-13T07:00:00.000Z,101.0325,101.0558,101.0242,101.0516,429
2020-03-16T01:00:00.000Z,101.084,101.1343,101.0599,101.0686,1788
2020-03-16T02:00:00.000Z,101.0686,101.0836,101.0395,101.0436,1825
2020-03-16T03:00:00.000Z,101.0436,101.0477,100.9927,101.0036,794
2020-03-16T05:00:00.000Z,101.0036,101.0493,101.0001,101.0369,1694
2020-03-16T06:00:00.000Z,101.0369,101.0501,101.0195,101.0251,2224
2020-03-16T07:00:00.000Z,101.0251,101.0334,101.021,101.0293,411
2020-03-17T01:00:00.000Z,101.0292,101.0292,100.9777,100.9968,1351
2020-03-17T02:00:00.000Z,100.9968,101.0075,100.9627,100.976,2538
2020-03-17T03:00:00.000Z,100.976,100.986,100.9686,100.9718,604
2020-03-17T05:00:00.000Z,100.9718,101.0001,100.9636,100.9918,2607
2020-03-17T06:00:00.000Z,100.9918,100.9959,100.9768,100.9859,3477
2020-03-17T07:00:00.000Z,100.9859,100.9859,100.9585,100.9709,570
2020-03-18T01:00:00.000Z,100.9604,101.0105,100.9521,101.003,1443
2020-03-18T02:00:00.000Z,101.003,101.0263,100.988,100.9963,2489
2020-03-18T03:00:00.000Z,100.9963,101.0089,100.988,100.9997,1522
2020-03-18T05:00:00.000Z,101.0039,101.0639,100.9997,101.0639,3161
2020-03-18T06:00:00.000Z,101.0639,101.098,101.0513,101.0713,3031
2020-03-18T07:00:00.000Z,101.0713,101.0797,101.0588,101.0671,204
2020-03-19T01:00:00.000Z,101.0666,101.0948,101.0162,101.0872,1548
2020-03-19T02:00:00.000Z,101.0872,101.099,101.0772,101.0941,3623
2020-03-19T03:00:00.000Z,101.0941,101.0941,101.0425,101.0566,1376
2020-03-19T05:00:00.000Z,101.0566,101.0566,101.0099,101.0366,1242
2020-03-19T06:00:00.000Z,101.0366,101.0408,101.0183,101.0218,1666
2020-03-19T07:00:00.000Z,101.0218,101.031,101.0126,101.031,426
2020-03-20T01:00:00.000Z,101.0311,101.1092,101.0311,101.1007,2104
2020-03-20T02:00:00.000Z,101.1007,101.1092,101.0923,101.1067,3445
2020-03-20T03:00:00.000Z,101.1067,101.1193,101.1025,101.1193,2095
2020-03-20T05:00:00.000Z,101.1151,101.1899,101.1151,101.1842,5414
2020-03-20T06:00:00.000Z,101.1842,101.1884,101.129,101.135,2015
2020-03-20T07:00:00.000Z,101.135,101.1592,101.135,101.1458,253
2020-03-23T01:00:00.000Z,101.148,101.2976,101.148,101.2731,1479
2020-03-23T02:00:00.000Z,101.2731,101.2787,101.249,101.249,1952
2020-03-23T03:00:00.000Z,101.249,101.249,101.2305,101.239,698
2020-03-23T05:00:00.000Z,101.239,101.2568,101.2341,101.2483,1938
