time,open,high,low,close,volume
2023-08-14T08:00:00.000Z,12672.33,12687.93,12647.93,12650.93,1186
2023-08-14T08:15:00.000Z,12650.73,12655.93,12636.03,12652.53,943
2023-08-14T09:00:00.000Z,12654.03,12654.03,12643.53,12649.63,360
2023-08-14T09:15:00.000Z,12650.93,12652.83,12644.93,12646.33,437
2023-08-14T09:30:00.000Z,12646.13,12648.73,12638.53,12638.73,494
2023-08-14T09:45:00.000Z,12638.63,12638.93,12632.93,12637.23,392
2023-08-14T10:00:00.000Z,12637.63,12643.53,12633.93,12639.93,379
2023-08-14T10:15:00.000Z,12639.93,12643.93,12634.23,12635.63,327
2023-08-14T10:30:00.000Z,12635.23,12640.93,12632.93,12638.93,211
2023-08-14T10:45:00.000Z,12638.93,12641.23,12633.93,12634.73,232
2023-08-14T11:00:00.000Z,12633.93,12637.93,12627.53,12627.93,343
2023-08-14T11:15:00.000Z,12627.93,12631.93,12625.03,12628.93,225
2023-08-14T11:30:00.000Z,12629.93,12632.93,12617.93,12620.83,353
2023-08-14T11:45:00.000Z,12620.33,12620.83,12612.93,12618.83,355
2023-08-14T12:00:00.000Z,12618.53,12618.93,12607.43,12609.83,427
2023-08-14T12:15:00.000Z,12609.93,12612.43,12599.93,12599.93,536
2023-08-14T12:30:00.000Z,12600.93,12615.93,12595.93,12604.93,730
2023-08-14T12:45:00.000Z,12604.73,12615.13,12603.93,12614.93,626
2023-08-14T13:00:00.000Z,12614.93,12616.93,12607.73,12611.93,639
2023-08-14T13:15:00.000Z,12611.93,12612.93,12598.03,12599.73,482
2023-08-14T13:30:00.000Z,12599.93,12606.93,12585.13,12589.93,1252
2023-08-14T13:45:00.000Z,12590.93,12603.93,12577.93,12598.93,1023
2023-08-14T14:00:00.000Z,12598.73,12621.93,12598.73,12617.33,1421
2023-08-14T14:15:00.000Z,12617.33,12623.93,12605.93,12608.13,1044
2023-08-14T14:30:00.000Z,12608.63,12622.93,12604.43,12614.93,1138
