time,open,high,low,close,volume
2020-03-12T10:00:00.000Z,0.6416,0.6425,0.6333,0.6356,26773
2020-03-12T14:00:00.000Z,0.6356,0.6388,0.6267,0.6358,43869
2020-03-12T18:00:00.000Z,0.6358,0.6365,0.6214,0.624,15630
2020-03-12T22:00:00.000Z,0.6297,0.6321,0.6259,0.6301,18211
2020-03-13T02:00:00.000Z,0.63,0.6319,0.6269,0.6289,19697
2020-03-13T06:00:00.000Z,0.6292,0.6309,0.6271,0.6298,20451
2020-03-13T10:00:00.000Z,0.6299,0.631,0.6275,0.6284,25012
2020-03-13T14:00:00.000Z,0.6285,0.629,0.6123,0.617,49006
2020-03-13T18:00:00.000Z,0.617,0.6238,0.6134,0.6184,14771
2020-03-15T22:00:00.000Z,0.6272,0.6274,0.6098,0.6132,22955
2020-03-16T02:00:00.000Z,0.6131,0.6181,0.6126,0.6165,13085
2020-03-16T06:00:00.000Z,0.6165,0.6186,0.6123,0.6164,20297
2020-03-16T10:00:00.000Z,0.6164,0.6177,0.6078,0.6118,25351
2020-03-16T14:00:00.000Z,0.6118,0.6163,0.6103,0.6128,26917
2020-03-16T18:00:00.000Z,0.6128,0.614,0.6094,0.6117,10802
2020-03-16T22:00:00.000Z,0.6106,0.6147,0.6093,0.6121,13608
2020-03-17T02:00:00.000Z,0.6121,0.6137,0.6091,0.6094,8282
2020-03-17T06:00:00.000Z,0.6095,0.61,0.6036,0.6041,20866
2020-03-17T10:00:00.000Z,0.6042,0.6049,0.5982,0.5999,20600
2020-03-17T14:00:00.000Z,0.6001,0.6024,0.5958,0.5997,25029
2020-03-17T18:00:00.000Z,0.5996,0.6008,0.5965,0.5996,10422
2020-03-17T22:00:00.000Z,0.6011,0.6017,0.5979,0.6003,9791
2020-03-18T02:00:00.000Z,0.6005,0.6031,0.6,0.6011,7849
2020-03-18T06:00:00.000Z,0.6011,0.6011,0.5922,0.5954,20810
