time,open,high,low,close,volume
2000-10-04T22:00:00.000Z,1.459,1.463,1.456,1.4576,19
2000-10-05T22:00:00.000Z,1.459,1.459,1.45,1.4514,2
2000-10-12T22:00:00.000Z,1.459,1.4772,1.4586,1.4586,2
2000-10-15T22:00:00.000Z,1.459,1.46,1.448,1.4586,2
2000-10-17T22:00:00.000Z,1.459,1.468,1.446,1.4558,2
2000-10-18T22:00:00.000Z,1.459,1.459,1.447,1.4494,2
2000-10-19T22:00:00.000Z,1.459,1.459,1.448,1.4516,2
2000-10-29T23:00:00.000Z,1.459,1.465,1.458,1.46,2
2000-10-30T23:00:00.000Z,1.459,1.461,1.4554,1.4554,2
2000-10-31T23:00:00.000Z,1.459,1.459,1.45,1.4556,2
2000-11-01T23:00:00.000Z,1.459,1.459,1.45,1.4556,2
2000-11-02T23:00:00.000Z,1.459,1.459,1.45,1.4526,2
2000-11-06T23:00:00.000Z,1.459,1.459,1.433,1.4368,2
2000-11-08T23:00:00.000Z,1.459,1.459,1.424,1.4304,2
2000-11-09T23:00:00.000Z,1.459,1.459,1.435,1.435,0
2000-11-21T23:00:00.000Z,1.435,1.435,1.416,1.4196,0
2000-11-23T23:00:00.000Z,1.4196,1.4196,1.408,1.409,0
2000-11-27T23:00:00.000Z,1.459,1.459,1.427,1.4274,0
2000-11-29T23:00:00.000Z,1.459,1.459,1.423,1.4324,0
2000-12-06T23:00:00.000Z,1.459,1.459,1.45,1.4506,0
2001-01-02T23:00:00.000Z,1.459,1.51,1.459,1.5012,0
2001-01-03T23:00:00.000Z,1.459,1.5,1.459,1.5,0
2001-01-08T23:00:00.000Z,1.459,1.501,1.459,1.489,0
2001-01-11T23:00:00.000Z,1.459,1.493,1.459,1.4766,0
2001-01-16T23:00:00.000Z,1.459,1.4766,1.459,1.4684,0
2001-01-24T23:00:00.000Z,1.459,1.459,1.449,1.4564,0
2001-01-25T23:00:00.000Z,1.459,1.459,1.454,1.457,0
2001-01-28T23:00:00.000Z,1.457,1.4576,1.454,1.457,0
2001-01-30T23:00:00.000Z,1.457,1.462,1.457,1.46,0
2001-02-01T23:00:00.000Z,1.46,1.4758,1.46,1.4628,0
2001-02-08T23:00:00.000Z,1.4628,1.4628,1.44,1.4412,0
2001-02-11T23:00:00.000Z,1.447,1.45,1.44,1.447,2
2001-02-15T23:00:00.000Z,1.449,1.452,1.448,1.45,2
2001-02-20T23:00:00.000Z,1.449,1.449,1.436,1.4434,0
2001-02-27T23:00:00.000Z,1.449,1.449,1.438,1.4396,2
2001-03-05T23:00:00.000Z,1.449,1.464,1.449,1.4638,2
2001-03-06T23:00:00.000Z,1.459,1.464,1.455,1.459,22
2001-03-08T23:00:00.000Z,1.459,1.466,1.459,1.4652,8
2001-03-11T23:00:00.000Z,1.4596,1.4596,1.459,1.4596,13
2001-03-13T23:00:00.000Z,1.4596,1.4596,1.441,1.4452,3
2001-03-15T23:00:00.000Z,1.4452,1.4452,1.422,1.4242,1
2001-03-18T23:00:00.000Z,1.424,1.427,1.416,1.424,1
2001-03-19T23:00:00.000Z,1.4248,1.431,1.416,1.4248,19
2001-03-20T23:00:00.000Z,1.426,1.429,1.424,1.426,1
2001-03-26T23:00:00.000Z,1.43,1.434,1.424,1.43,2
2001-03-27T23:00:00.000Z,1.43,1.434,1.427,1.4284,2
2001-03-28T23:00:00.000Z,1.43,1.436,1.424,1.433,0
2001-03-29T23:00:00.000Z,1.416,1.436,1.413,1.416,0
2001-04-01T22:00:00.000Z,1.416,1.416,1.4136,1.4136,0
2001-04-02T22:00:00.000Z,1.4136,1.4292,1.4136,1.4292,0
2001-04-03T22:00:00.000Z,1.4292,1.4304,1.4292,1.4304,0
2001-04-04T22:00:00.000Z,1.4304,1.4304,1.4244,1.4244,0
2001-04-05T22:00:00.000Z,1.4244,1.4336,1.4244,1.4336,0
2001-04-08T22:00:00.000Z,1.4336,1.4426,1.4336,1.4426,0
2001-04-09T22:00:00.000Z,1.4426,1.4426,1.442,1.4426,0
2001-04-10T22:00:00.000Z,1.4426,1.4426,1.433,1.433,0
2001-04-11T22:00:00.000Z,1.433,1.4356,1.433,1.4356,0
2001-04-15T22:00:00.000Z,1.4356,1.4356,1.4312,1.4312,0
2001-04-16T22:00:00.000Z,1.4312,1.4312,1.4264,1.4264,0
2001-04-17T22:00:00.000Z,1.4264,1.4264,1.4234,1.4234,0
2001-04-18T22:00:00.000Z,1.4234,1.44,1.4234,1.44,0
