time,open,high,low,close,volume
2023-01-18T00:00:00.000Z,1.2298,1.2299,1.2284,1.2287,759
2023-01-18T01:00:00.000Z,1.2287,1.2301,1.2286,1.23,621
2023-01-18T02:00:00.000Z,1.23,1.2305,1.227,1.2288,5207
2023-01-18T03:00:00.000Z,1.2289,1.2305,1.2276,1.2283,2395
2023-01-18T04:00:00.000Z,1.2283,1.23,1.2279,1.2297,1163
2023-01-18T05:00:00.000Z,1.2298,1.2303,1.2284,1.2297,2321
2023-01-18T06:00:00.000Z,1.2298,1.2312,1.2297,1.2306,2469
2023-01-18T07:00:00.000Z,1.2307,1.2351,1.2307,1.2331,6857
2023-01-18T08:00:00.000Z,1.2331,1.2356,1.2326,1.2354,6462
2023-01-18T09:00:00.000Z,1.2355,1.2379,1.2338,1.2375,5614
2023-01-18T10:00:00.000Z,1.2375,1.2377,1.2354,1.2363,4286
2023-01-18T11:00:00.000Z,1.2364,1.2404,1.236,1.2388,6787
2023-01-18T12:00:00.000Z,1.2388,1.2393,1.2369,1.2385,3735
2023-01-18T13:00:00.000Z,1.2385,1.2438,1.2381,1.241,13818
2023-01-18T14:00:00.000Z,1.241,1.2452,1.2402,1.2427,12365
2023-01-18T15:00:00.000Z,1.2427,1.2432,1.2399,1.241,10299
2023-01-18T16:00:00.000Z,1.2409,1.2409,1.2368,1.2383,5865
2023-01-18T17:00:00.000Z,1.2383,1.2383,1.2347,1.236,6338
2023-01-18T18:00:00.000Z,1.2361,1.2363,1.2343,1.2352,2968
2023-01-18T19:00:00.000Z,1.2352,1.2359,1.2343,1.2357,2535
2023-01-18T20:00:00.000Z,1.2356,1.2358,1.2347,1.2353,2949
2023-01-18T21:00:00.000Z,1.2352,1.2362,1.2351,1.2361,1110
2023-01-18T23:00:00.000Z,1.236,1.2364,1.2356,1.236,446
2023-01-19T00:00:00.000Z,1.2361,1.2363,1.2334,1.2334,1405
2023-01-19T01:00:00.000Z,1.2335,1.235,1.2332,1.235,2344
2023-01-19T02:00:00.000Z,1.2352,1.2353,1.2334,1.2344,542
2023-01-19T03:00:00.000Z,1.2343,1.2359,1.2343,1.2348,495
2023-01-19T04:00:00.000Z,1.2348,1.2352,1.2344,1.2346,278
2023-01-19T05:00:00.000Z,1.2347,1.235,1.2342,1.2345,424
2023-01-19T06:00:00.000Z,1.2345,1.2358,1.2338,1.2342,959
2023-01-19T07:00:00.000Z,1.2342,1.2359,1.2326,1.2347,2867
2023-01-19T08:00:00.000Z,1.2348,1.2363,1.2338,1.2344,4971
2023-01-19T09:00:00.000Z,1.2344,1.2361,1.2338,1.235,3616
2023-01-19T10:00:00.000Z,1.2351,1.2354,1.2333,1.235,3711
2023-01-19T11:00:00.000Z,1.2351,1.2373,1.2337,1.2367,3828
2023-01-19T12:00:00.000Z,1.2366,1.237,1.2344,1.2346,4086
2023-01-19T13:00:00.000Z,1.2347,1.237,1.2329,1.2363,7257
2023-01-19T14:00:00.000Z,1.2363,1.2372,1.235,1.2367,6350
2023-01-19T15:00:00.000Z,1.2367,1.2379,1.2352,1.2373,7401
2023-01-19T16:00:00.000Z,1.2372,1.2389,1.2367,1.2377,5596
2023-01-19T17:00:00.000Z,1.2379,1.2392,1.2375,1.2385,3824
2023-01-19T18:00:00.000Z,1.2386,1.2404,1.238,1.2395,2880
2023-01-19T19:00:00.000Z,1.2394,1.2408,1.239,1.2406,3829
2023-01-19T20:00:00.000Z,1.2405,1.2411,1.2401,1.2402,7094
2023-01-19T21:00:00.000Z,1.2402,1.241,1.2401,1.2407,1279
2023-01-19T23:00:00.000Z,1.2405,1.2412,1.2402,1.2407,583
2023-01-20T00:00:00.000Z,1.2406,1.2411,1.2395,1.24,1230
2023-01-20T01:00:00.000Z,1.2402,1.241,1.2391,1.24,1223
2023-01-20T02:00:00.000Z,1.24,1.2408,1.2395,1.2403,372
2023-01-20T03:00:00.000Z,1.2401,1.2402,1.2393,1.2395,380
2023-01-20T04:00:00.000Z,1.2396,1.2396,1.2382,1.2384,861
2023-01-20T05:00:00.000Z,1.2384,1.2394,1.238,1.2393,357
2023-01-20T06:00:00.000Z,1.2393,1.2397,1.2379,1.2382,614
2023-01-20T07:00:00.000Z,1.2382,1.2389,1.2366,1.2378,4145
2023-01-20T08:00:00.000Z,1.2378,1.2395,1.2366,1.2368,4242
2023-01-20T09:00:00.000Z,1.2369,1.2372,1.2353,1.2355,3705
2023-01-20T10:00:00.000Z,1.2354,1.2385,1.2351,1.238,3908
2023-01-20T11:00:00.000Z,1.2381,1.2383,1.2366,1.2367,1766
2023-01-20T12:00:00.000Z,1.2366,1.2374,1.2356,1.2367,2621
2023-01-20T13:00:00.000Z,1.2367,1.2376,1.2349,1.2355,4423
2023-01-20T14:00:00.000Z,1.2355,1.238,1.235,1.2376,5426
2023-01-20T15:00:00.000Z,1.2375,1.241,1.2371,1.2384,7776
2023-01-20T16:00:00.000Z,1.2385,1.2399,1.238,1.2385,3643
2023-01-20T17:00:00.000Z,1.2387,1.2406,1.2384,1.24,1598
2023-01-20T18:00:00.000Z,1.2401,1.2412,1.2388,1.2405,3684
2023-01-20T19:00:00.000Z,1.2405,1.2416,1.2404,1.241,2592
2023-01-20T20:00:00.000Z,1.241,1.2418,1.2405,1.2408,2101
2023-01-20T21:00:00.000Z,1.2409,1.242,1.2407,1.242,918
2023-01-22T23:00:00.000Z,1.2416,1.2429,1.2415,1.2419,1171
2023-01-23T00:00:00.000Z,1.2421,1.2439,1.2417,1.2438,955
2023-01-23T01:00:00.000Z,1.2438,1.2448,1.2434,1.2441,1115
2023-01-23T02:00:00.000Z,1.244,1.2447,1.2437,1.2439,494
2023-01-23T03:00:00.000Z,1.244,1.2462,1.244,1.2447,1503
2023-01-23T04:00:00.000Z,1.2446,1.2447,1.2434,1.2439,439
2023-01-23T05:00:00.000Z,1.2439,1.2442,1.2428,1.2428,902
2023-01-23T06:00:00.000Z,1.2428,1.2439,1.2422,1.2431,956
2023-01-23T07:00:00.000Z,1.2432,1.2446,1.2408,1.243,3549
2023-01-23T08:00:00.000Z,1.2432,1.2437,1.2415,1.2427,4377
2023-01-23T09:00:00.000Z,1.2426,1.2438,1.2418,1.242,2258
2023-01-23T10:00:00.000Z,1.242,1.2423,1.2384,1.2386,5387
2023-01-23T11:00:00.000Z,1.2386,1.2387,1.2364,1.2367,4042
2023-01-23T12:00:00.000Z,1.2368,1.2387,1.2364,1.2379,3450
2023-01-23T13:00:00.000Z,1.238,1.2384,1.2348,1.2359,5671
2023-01-23T14:00:00.000Z,1.2359,1.237,1.2344,1.2362,6394
2023-01-23T15:00:00.000Z,1.2361,1.239,1.2337,1.2384,7934
2023-01-23T16:00:00.000Z,1.2385,1.2401,1.2374,1.2383,4029
2023-01-23T17:00:00.000Z,1.2383,1.2388,1.2376,1.2382,2301
2023-01-23T18:00:00.000Z,1.2382,1.2402,1.2382,1.2386,3101
2023-01-23T19:00:00.000Z,1.2385,1.2389,1.2369,1.2379,3547
2023-01-23T20:00:00.000Z,1.2379,1.239,1.2378,1.2388,1738
2023-01-23T21:00:00.000Z,1.2387,1.2394,1.2384,1.2391,348
2023-01-23T23:00:00.000Z,1.2392,1.2399,1.2388,1.2392,896
2023-01-24T00:00:00.000Z,1.2393,1.2395,1.2388,1.2392,367
2023-01-24T01:00:00.000Z,1.2393,1.2404,1.239,1.2402,521
2023-01-24T02:00:00.000Z,1.2403,1.2405,1.24,1.2402,208
2023-01-24T03:00:00.000Z,1.2402,1.2405,1.2393,1.2395,360
2023-01-24T04:00:00.000Z,1.2395,1.2399,1.2389,1.2398,239
2023-01-24T05:00:00.000Z,1.2398,1.2408,1.2396,1.2401,322
2023-01-24T06:00:00.000Z,1.2401,1.2421,1.24,1.2416,1125
2023-01-24T07:00:00.000Z,1.2416,1.2426,1.2398,1.2418,2733
2023-01-24T08:00:00.000Z,1.2419,1.2427,1.2402,1.2407,4409
2023-01-24T09:00:00.000Z,1.2407,1.2413,1.2322,1.2344,11777
2023-01-24T10:00:00.000Z,1.2344,1.2349,1.2316,1.2332,7182
2023-01-24T11:00:00.000Z,1.2331,1.2342,1.2316,1.2328,3239
2023-01-24T12:00:00.000Z,1.2328,1.2333,1.23,1.2301,4269
2023-01-24T13:00:00.000Z,1.2302,1.2317,1.2295,1.2306,5971
2023-01-24T14:00:00.000Z,1.2305,1.2316,1.2277,1.2279,9268
2023-01-24T15:00:00.000Z,1.2279,1.2335,1.2278,1.2328,11471
2023-01-24T16:00:00.000Z,1.2329,1.2351,1.2324,1.2335,4974
2023-01-24T17:00:00.000Z,1.2336,1.2354,1.2331,1.2339,2564
2023-01-24T18:00:00.000Z,1.234,1.2354,1.2338,1.2345,2163
2023-01-24T19:00:00.000Z,1.2345,1.2352,1.2336,1.2351,2100
2023-01-24T20:00:00.000Z,1.235,1.2353,1.2341,1.2348,1617
2023-01-24T21:00:00.000Z,1.2348,1.2356,1.2346,1.2356,966
2023-01-24T23:00:00.000Z,1.2348,1.2353,1.2339,1.2344,895
2023-01-25T00:00:00.000Z,1.2345,1.2345,1.2325,1.2337,1224
2023-01-25T01:00:00.000Z,1.2338,1.2343,1.2327,1.234,1206
2023-01-25T02:00:00.000Z,1.2339,1.235,1.2337,1.2338,405
2023-01-25T03:00:00.000Z,1.2338,1.2341,1.233,1.2339,599
2023-01-25T04:00:00.000Z,1.2339,1.2346,1.2337,1.2339,251
2023-01-25T05:00:00.000Z,1.2339,1.2339,1.233,1.2335,315
2023-01-25T06:00:00.000Z,1.2335,1.235,1.2333,1.2343,697
2023-01-25T07:00:00.000Z,1.2342,1.2352,1.2318,1.2332,2989
