time,open,high,low,close,volume
2000-05-22T22:00:00.000Z,0.6758,0.6758,0.6725,0.6725,4
2000-05-23T22:00:00.000Z,0.6725,0.6735,0.6707,0.6707,2
2000-05-25T22:00:00.000Z,0.6725,0.6741,0.6725,0.6741,0
2000-06-01T22:00:00.000Z,0.6725,0.6852,0.6725,0.6852,0
2000-06-08T22:00:00.000Z,0.6725,0.6857,0.6725,0.6857,5
2000-06-12T22:00:00.000Z,0.689,0.689,0.6887,0.6887,0
2000-06-15T22:00:00.000Z,0.689,0.6896,0.6856,0.6896,0
2000-06-22T22:00:00.000Z,0.689,0.689,0.6819,0.6819,0
2000-06-29T22:00:00.000Z,0.689,0.689,0.6819,0.683,0
2000-07-02T22:00:00.000Z,0.689,0.689,0.683,0.683,0
2000-07-06T22:00:00.000Z,0.689,0.689,0.6811,0.6827,0
2000-07-13T22:00:00.000Z,0.689,0.689,0.6821,0.6821,0
2000-07-20T22:00:00.000Z,0.689,0.689,0.6866,0.6872,4
2000-07-26T22:00:00.000Z,0.6875,0.6875,0.687,0.687,4
2000-07-27T22:00:00.000Z,0.6875,0.6875,0.6848,0.6848,1
2000-08-03T22:00:00.000Z,0.679,0.679,0.6785,0.6785,1
2000-08-09T22:00:00.000Z,0.6815,0.6823,0.6815,0.6823,1
2000-08-10T22:00:00.000Z,0.6815,0.6823,0.6815,0.682,0
2000-08-17T22:00:00.000Z,0.6815,0.6855,0.6815,0.685,1
2000-08-21T22:00:00.000Z,0.6855,0.6855,0.6842,0.6842,4
2000-08-22T22:00:00.000Z,0.6795,0.6798,0.6795,0.6798,1
2000-08-23T22:00:00.000Z,0.6798,0.6798,0.679,0.679,2
2000-08-24T22:00:00.000Z,0.6798,0.6801,0.679,0.6801,0
2000-08-31T22:00:00.000Z,0.6801,0.6861,0.6801,0.6853,0
2000-09-07T22:00:00.000Z,0.6853,0.6853,0.6833,0.6835,0
2000-09-10T22:00:00.000Z,0.6825,0.6835,0.6825,0.6825,5
2000-09-11T22:00:00.000Z,0.6815,0.6815,0.6815,0.6815,0
2000-09-14T22:00:00.000Z,0.6815,0.6815,0.6786,0.6801,2
2000-09-19T22:00:00.000Z,0.68,0.6815,0.68,0.6803,0
2000-09-21T22:00:00.000Z,0.68,0.68,0.6768,0.6777,0
2000-09-24T22:00:00.000Z,0.68,0.68,0.6771,0.6777,1
2000-09-25T22:00:00.000Z,0.678,0.6786,0.678,0.678,5
2000-09-26T22:00:00.000Z,0.675,0.675,0.675,0.675,20
2000-09-27T22:00:00.000Z,0.672,0.672,0.6715,0.6715,5
2000-09-28T22:00:00.000Z,0.6709,0.6715,0.6693,0.6709,80
2000-10-02T22:00:00.000Z,0.6687,0.671,0.6687,0.6709,111
2000-10-03T22:00:00.000Z,0.672,0.674,0.672,0.673,10
2000-10-05T22:00:00.000Z,0.673,0.673,0.673,0.673,5
2000-10-10T22:00:00.000Z,0.6705,0.6705,0.6705,0.6705,33
2000-10-11T22:00:00.000Z,0.6675,0.6675,0.6675,0.6675,3
2000-10-12T22:00:00.000Z,0.6645,0.6685,0.6645,0.6668,3
2000-10-15T22:00:00.000Z,0.6645,0.6645,0.663,0.663,12
2000-10-16T22:00:00.000Z,0.6645,0.666,0.663,0.6633,705
2000-10-17T22:00:00.000Z,0.6639,0.665,0.6639,0.6648,2
2000-10-18T22:00:00.000Z,0.667,0.667,0.6662,0.6662,3
