time,open,high,low,close,volume
1997-05-19T13:30:00.000Z,81.3,81.62,80.7,81.5,0
1997-05-20T13:30:00.000Z,81.4,82.05,80.75,80.82,0
1997-05-21T13:30:00.000Z,80.95,81.8,80.5,81.75,0
1997-05-22T13:30:00.000Z,81.85,82.12,81.25,81.37,0
1997-05-23T13:30:00.000Z,81.3,81.35,80.57,80.65,0
1997-05-27T13:30:00.000Z,80.7,81.72,80.35,81.2,0
1997-05-28T13:30:00.000Z,80.85,80.9,79.5,79.85,0
1997-05-29T13:30:00.000Z,79.7,80.2,79.42,80.05,0
1997-05-30T13:30:00.000Z,79.65,80.25,79.37,80.1,0
1997-06-02T13:30:00.000Z,80.15,81.1,80.15,80.87,0
1997-06-03T13:30:00.000Z,80.92,81.1,80.27,80.77,0
1997-06-04T13:30:00.000Z,81.17,81.4,80.77,81.22,0
1997-06-05T13:30:00.000Z,81.35,81.4,80.77,81.02,0
1997-06-06T13:30:00.000Z,81.02,81.4,80.85,81.12,0
1997-06-09T13:30:00.000Z,81.1,81.25,80.35,80.42,0
1997-06-10T13:30:00.000Z,80.4,80.6,79.97,80.45,0
1997-06-11T13:30:00.000Z,80.9,81.22,80.75,80.82,0
1997-06-12T13:30:00.000Z,80.5,80.5,79,79.35,0
1997-06-13T13:30:00.000Z,79.2,80.05,78.75,80.02,0
1997-06-16T13:30:00.000Z,80,81,80,80.87,0
1997-06-17T13:30:00.000Z,81.2,82,81.2,81.92,0
1997-06-18T13:30:00.000Z,81.7,82.3,81.12,82.25,0
1997-06-19T13:30:00.000Z,81.95,82.6,81.85,81.92,0
1997-06-20T13:30:00.000Z,81.6,82.12,81.4,81.95,0
1997-06-23T13:30:00.000Z,82.45,83,82.3,82.65,0
1997-06-24T13:30:00.000Z,83,83,82.05,82.8,0
1997-06-25T13:30:00.000Z,82.4,82.6,81.9,82.4,0
1997-06-26T13:30:00.000Z,82.15,82.37,82,82.25,0
1997-06-27T13:30:00.000Z,82.45,82.9,82.3,82.82,0
1997-06-30T13:30:00.000Z,84.82,84.82,84.2,84.67,0
1997-07-01T13:30:00.000Z,84.4,84.4,83.52,83.65,0
1997-07-02T13:30:00.000Z,83.35,83.5,82.9,83.25,0
1997-07-03T13:30:00.000Z,83.27,84.17,83.2,84,0
1997-07-07T13:30:00.000Z,84.15,84.25,82.75,83.2,0
1997-07-08T13:30:00.000Z,82.9,83.25,82.7,83.05,0
1997-07-09T13:30:00.000Z,83,83.15,82.32,83.05,0
1997-07-10T13:30:00.000Z,73.95,74.77,73.87,74.35,0
1997-07-11T13:30:00.000Z,74.35,74.95,74.3,74.82,0
1997-07-14T13:30:00.000Z,74.95,75,74.25,74.65,0
1997-07-15T13:30:00.000Z,74.7,75.05,73.45,74.17,0
1997-07-16T13:30:00.000Z,74.2,74.45,73.45,73.9,0
1997-07-17T13:30:00.000Z,73.95,74.4,73.55,74.07,0
1997-07-18T13:30:00.000Z,74.05,74.4,73.7,74.35,0
1997-07-21T13:30:00.000Z,74.4,74.57,73.35,73.82,0
1997-07-22T13:30:00.000Z,73.6,73.7,72.3,72.45,0
1997-07-23T13:30:00.000Z,72.12,72.85,72,72.42,0
1997-07-24T13:30:00.000Z,72.5,73.6,72.45,73.57,0
1997-07-25T13:30:00.000Z,73.55,74.3,73.22,74.07,0
1997-07-28T13:30:00.000Z,74.07,74.12,73.45,73.57,0
1997-07-29T13:30:00.000Z,73.6,74.95,73.5,74.27,0
1997-07-30T13:30:00.000Z,74.1,74.2,73.5,74,0
1997-07-31T13:30:00.000Z,74.15,75.45,74.15,75.15,0
1997-08-01T13:30:00.000Z,75.4,75.7,74.82,75.57,0
1997-08-04T13:30:00.000Z,75.4,76,75.15,75.92,0
1997-08-05T13:30:00.000Z,75.35,75.45,73.92,73.92,0
