time,open,high,low,close,volume
1976-02-23T14:30:00.000Z,39,39.05,37.9,38.1,0
1976-02-24T14:30:00.000Z,38.05,38.45,38.02,38.4,0
1976-02-25T14:30:00.000Z,38.5,38.57,37.82,38.42,0
1976-02-26T14:30:00.000Z,38.6,38.7,38.1,38.17,0
1976-02-27T14:30:00.000Z,38,38.15,37.4,37.45,0
1976-03-01T14:30:00.000Z,37,37,36.32,36.65,0
1976-03-02T14:30:00.000Z,36.9,37.4,36.85,37.22,0
1976-03-03T14:30:00.000Z,37.2,37.5,36.9,37.27,0
1976-03-04T14:30:00.000Z,37.45,37.65,37.15,37.32,0
1976-03-05T14:30:00.000Z,37.5,37.55,37.07,37.52,0
1976-03-08T14:30:00.000Z,37.52,37.7,37.12,37.2,0
1976-03-09T14:30:00.000Z,37.3,37.85,37.25,37.6,0
1976-03-10T14:30:00.000Z,37.55,37.75,37.32,37.72,0
1976-03-11T14:30:00.000Z,37.55,37.55,37.1,37.25,0
1976-03-12T14:30:00.000Z,37.15,37.75,37.05,37.7,0
1976-03-15T14:30:00.000Z,37.45,37.85,37.35,37.5,0
1976-03-16T14:30:00.000Z,37.4,37.4,36.87,37.1,0
1976-03-17T14:30:00.000Z,36.5,36.75,36.2,36.32,0
1976-03-18T14:30:00.000Z,36.75,36.87,36.45,36.77,0
1976-03-19T14:30:00.000Z,37,37.1,36.62,36.92,0
1976-03-22T14:30:00.000Z,36.7,36.75,36.45,36.7,0
1976-03-23T14:30:00.000Z,36.8,37.5,36.65,37.32,0
1976-03-24T14:30:00.000Z,37.35,37.6,37.17,37.27,0
1976-03-25T14:30:00.000Z,37.2,38.77,37.15,38.52,0
1976-03-26T14:30:00.000Z,38.4,38.8,38.15,38.67,0
1976-03-29T14:30:00.000Z,38.6,38.9,38.35,38.6,0
1976-03-30T14:30:00.000Z,38.87,39.9,38.87,39.85,0
1976-03-31T14:30:00.000Z,39.9,40.5,39.75,40.42,0
1976-04-01T14:30:00.000Z,40.4,40.77,39.87,40.55,0
1976-04-02T14:30:00.000Z,40.35,40.75,40.25,40.55,0
1976-04-05T14:30:00.000Z,40.95,42.05,40.95,42.02,0
1976-04-06T14:30:00.000Z,41.5,41.97,41.27,41.82,0
1976-04-07T14:30:00.000Z,43,43.32,43,43.32,0
1976-04-08T14:30:00.000Z,44,44.82,43.95,44.82,0
1976-04-09T14:30:00.000Z,44.6,45.8,44.6,45.12,0
1976-04-12T14:30:00.000Z,44.85,44.95,44.45,44.82,0
1976-04-13T14:30:00.000Z,44.8,45.25,44.32,44.82,0
1976-04-14T14:30:00.000Z,45.85,46.32,45.75,45.92,0
1976-04-15T14:30:00.000Z,48.7,48.87,48.25,48.65,0
1976-04-19T14:30:00.000Z,49.4,49.8,49,49.02,0
1976-04-20T14:30:00.000Z,48.95,49.6,48.65,49.55,0
1976-04-21T14:30:00.000Z,49.5,49.6,48.4,48.57,0
1976-04-22T14:30:00.000Z,48.2,48.2,47.4,47.92,0
1976-04-23T14:30:00.000Z,47.7,48.3,47.1,48.07,0
1976-04-26T13:30:00.000Z,48.55,48.92,48.32,48.52,0
1976-04-27T13:30:00.000Z,47.75,47.75,47.02,47.02,0
1976-04-28T13:30:00.000Z,46.7,47.22,46.42,46.87,0
1976-04-29T13:30:00.000Z,46.8,47.2,46.22,46.97,0
1976-04-30T13:30:00.000Z,47.1,47.25,46.55,47.07,0
1976-05-03T13:30:00.000Z,47.5,47.57,46.77,46.8,0
1976-05-04T13:30:00.000Z,46.3,46.5,45.65,45.72,0
1976-05-05T13:30:00.000Z,45.85,46.1,45.32,45.4,0
1976-05-06T13:30:00.000Z,45.6,45.8,45.22,45.65,0
1976-05-07T13:30:00.000Z,45.7,46.1,45.7,45.85,0
1976-05-10T13:30:00.000Z,45.4,45.6,44.6,44.65,0
1976-05-11T13:30:00.000Z,44.5,44.8,43.9,44.25,0
1976-05-12T13:30:00.000Z,43.75,43.8,42.8,43.55,0
1976-05-13T13:30:00.000Z,43.6,43.9,43.27,43.77,0
1976-05-14T13:30:00.000Z,42.87,43.25,42.6,42.8,0
1976-05-17T13:30:00.000Z,42.9,43.07,42.55,42.65,0
1976-05-18T13:30:00.000Z,42.35,42.97,42.25,42.37,0
1976-05-19T13:30:00.000Z,42.45,42.45,41.77,42.1,0
1976-05-20T13:30:00.000Z,42.9,43,42.55,42.85,0
1976-05-21T13:30:00.000Z,42.6,43.55,42.57,43.52,0
1976-05-24T13:30:00.000Z,43.7,44.15,43.4,43.55,0
1976-05-25T13:30:00.000Z,43.2,43.25,42.95,43.2,0
1976-05-26T13:30:00.000Z,43.35,44.7,43.35,44.7,0
1976-05-27T13:30:00.000Z,44.85,45.25,44.55,45,0
1976-05-28T13:30:00.000Z,45.4,45.87,45.12,45.82,0
1976-06-01T13:30:00.000Z,45.7,45.7,44.65,44.77,0
1976-06-02T13:30:00.000Z,44.7,45.1,44.35,44.47,0
1976-06-03T13:30:00.000Z,44,44.1,43.55,43.7,0
1976-06-04T13:30:00.000Z,43.65,44.02,43.05,43.1,0
1976-06-07T13:30:00.000Z,42,42.35,41.6,41.6,0
1976-06-08T13:30:00.000Z,41.05,41.95,41.05,41.9,0
1976-06-09T13:30:00.000Z,42.5,42.85,41.9,42.42,0
1976-06-10T13:30:00.000Z,43.1,43.32,42.5,42.57,0
1976-06-11T13:30:00.000Z,42.2,42.2,41.17,41.47,0
1976-06-14T13:30:00.000Z,41.8,41.85,41.5,41.52,0
1976-06-15T13:30:00.000Z,46.15,46.35,45.67,46.07,0
1976-06-16T13:30:00.000Z,45.5,45.5,44.57,44.57,0
1976-06-17T13:30:00.000Z,44.5,44.85,44.1,44.62,0
1976-06-18T13:30:00.000Z,44.7,44.95,43.8,43.9,0
1976-06-21T13:30:00.000Z,43.75,44.1,43.6,43.77,0
1976-06-22T13:30:00.000Z,43.25,43.3,42.5,42.87,0
1976-06-23T13:30:00.000Z,43.3,43.45,42.57,42.95,0
1976-06-24T13:30:00.000Z,42.75,43.25,42.65,43.02,0
1976-06-25T13:30:00.000Z,43.2,44,43.2,43.87,0
