time,open,high,low,close,volume
2023-08-14T08:00:00.000Z,158.03,158.16,157.95,158.09,25
2023-08-14T09:00:00.000Z,158.06,158.14,158,158.1,20
2023-08-14T10:00:00.000Z,158.12,158.14,158.11,158.11,9
2023-08-14T11:00:00.000Z,158.09,158.1,158.04,158.05,19
2023-08-14T12:00:00.000Z,158.12,158.13,157.92,157.92,17
2023-08-14T13:00:00.000Z,157.87,157.91,157.69,157.69,88
2023-08-14T14:00:00.000Z,157.7,157.94,157.68,157.89,36
2023-08-14T15:00:00.000Z,157.98,157.99,157.93,157.97,8
2023-08-14T16:00:00.000Z,158.12,158.15,158.1,158.13,13
2023-08-14T17:00:00.000Z,158.16,158.16,158.08,158.08,12
2023-08-14T18:00:00.000Z,158.1,158.1,158.07,158.07,16
2023-08-14T19:00:00.000Z,157.99,157.99,157.99,157.99,6
2023-08-14T20:00:00.000Z,158.1,158.1,158.1,158.1,4
2023-08-14T22:00:00.000Z,158.15,158.15,158.11,158.11,7
2023-08-14T23:00:00.000Z,158.09,158.09,157.98,158.05,3
2023-08-15T00:00:00.000Z,158.15,158.15,158.07,158.07,10
2023-08-15T01:00:00.000Z,158.01,158.08,157.97,158.04,18
2023-08-15T02:00:00.000Z,158.02,158.2,158.02,158.2,10
2023-08-15T03:00:00.000Z,158.2,158.21,158.19,158.19,5
2023-08-15T04:00:00.000Z,158.19,158.19,158.19,158.19,1
2023-08-15T05:00:00.000Z,158.12,158.15,157.99,158.15,30
2023-08-15T06:00:00.000Z,158.13,158.62,158.13,158.59,132
2023-08-15T07:00:00.000Z,158.63,158.7,158.55,158.7,51
2023-08-15T08:00:00.000Z,158.58,158.59,158.58,158.59,16
2023-08-15T09:00:00.000Z,158.56,158.71,158.49,158.69,29
2023-08-15T10:00:00.000Z,158.66,158.72,158.54,158.54,15
2023-08-15T11:00:00.000Z,158.5,158.5,158.41,158.41,5
2023-08-15T12:00:00.000Z,158.51,158.51,158.38,158.45,85
2023-08-15T13:00:00.000Z,158.38,158.6,158.38,158.45,49
2023-08-15T14:00:00.000Z,158.4,158.42,158.19,158.21,48
2023-08-15T15:00:00.000Z,158.28,158.35,158.28,158.29,12
2023-08-15T17:00:00.000Z,158.28,158.34,158.28,158.34,4
2023-08-15T18:00:00.000Z,158.25,158.27,158.24,158.27,24
2023-08-15T19:00:00.000Z,158.25,158.25,158.11,158.15,19
2023-08-15T20:00:00.000Z,158.13,158.17,158.13,158.15,24
2023-08-15T22:00:00.000Z,158.2,158.2,158.15,158.16,18
2023-08-15T23:00:00.000Z,158.19,158.2,158.18,158.18,19
2023-08-16T00:00:00.000Z,158.2,158.21,158.12,158.21,60
2023-08-16T01:00:00.000Z,158.2,158.26,158.2,158.26,20
2023-08-16T02:00:00.000Z,158.17,158.17,158.07,158.1,22
2023-08-16T03:00:00.000Z,158.17,158.17,158.17,158.17,1
2023-08-16T04:00:00.000Z,158.15,158.16,158.13,158.16,16
2023-08-16T05:00:00.000Z,158.15,158.15,158.14,158.14,2
2023-08-16T06:00:00.000Z,158.19,158.3,158.15,158.16,73
2023-08-16T07:00:00.000Z,158.34,158.34,158.34,158.34,1
2023-08-16T08:00:00.000Z,158.43,158.49,158.43,158.49,8
2023-08-16T09:00:00.000Z,158.51,158.51,158.5,158.5,2
2023-08-16T10:00:00.000Z,158.42,158.44,158.38,158.38,4
2023-08-16T11:00:00.000Z,158.48,158.48,158.48,158.48,8
2023-08-16T12:00:00.000Z,158.46,158.51,158.43,158.47,42
2023-08-16T13:00:00.000Z,158.46,158.57,158.41,158.54,38
2023-08-16T14:00:00.000Z,158.49,158.64,158.42,158.47,280
2023-08-16T15:00:00.000Z,158.46,158.51,158.37,158.41,44
2023-08-16T16:00:00.000Z,158.37,158.37,158.28,158.28,4
2023-08-16T17:00:00.000Z,158.38,158.52,158.36,158.5,25
2023-08-16T18:00:00.000Z,158.5,158.66,158.5,158.58,39
2023-08-16T19:00:00.000Z,158.54,158.57,158.54,158.57,3
2023-08-16T20:00:00.000Z,158.58,158.65,158.58,158.65,7
2023-08-16T22:00:00.000Z,158.66,158.66,158.63,158.66,7
2023-08-16T23:00:00.000Z,158.61,158.64,158.58,158.61,48
2023-08-17T00:00:00.000Z,158.64,158.77,158.59,158.61,80
2023-08-17T01:00:00.000Z,158.59,158.63,158.55,158.56,42
2023-08-17T02:00:00.000Z,158.57,158.62,158.57,158.6,11
2023-08-17T03:00:00.000Z,158.56,158.58,158.56,158.58,4
2023-08-17T04:00:00.000Z,158.56,158.61,158.56,158.61,2
2023-08-17T05:00:00.000Z,158.56,158.57,158.54,158.54,11
2023-08-17T06:00:00.000Z,158.67,158.76,158.67,158.74,25
2023-08-17T07:00:00.000Z,158.74,158.74,158.56,158.58,28
2023-08-17T08:00:00.000Z,158.56,158.58,158.42,158.46,49
2023-08-17T09:00:00.000Z,158.37,158.45,158.35,158.45,35
