time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,16087,16087,15991,16010,108297
2024-03-11T02:00:00.000Z,16010,16014,15966,15968,46090
2024-03-11T03:00:00.000Z,15968,16020,15956,16012,22293
2024-03-11T05:00:00.000Z,16012,16021,16002,16016,13451
2024-03-11T06:00:00.000Z,16016,16031,15992,16011,38890
2024-03-11T13:00:00.000Z,16035,16086,16032,16068,67179
2024-03-11T14:00:00.000Z,16068,16079,16055,16065,18275
2024-03-12T01:00:00.000Z,15997,16043,15991,16002,65252
2024-03-12T02:00:00.000Z,16002,16008,15970,15998,40392
2024-03-12T03:00:00.000Z,15998,16007,15958,15967,29411
2024-03-12T05:00:00.000Z,15972,15990,15953,15980,22612
2024-03-12T06:00:00.000Z,15980,15990,15898,15961,108262
2024-03-12T13:00:00.000Z,15948,15979,15910,15974,65353
2024-03-12T14:00:00.000Z,15974,16005,15955,15984,31638
2024-03-13T01:00:00.000Z,15999,16024,15975,16013,50317
2024-03-13T02:00:00.000Z,16013,16014,15975,15994,16040
2024-03-13T03:00:00.000Z,15994,16004,15981,15996,7755
2024-03-13T05:00:00.000Z,16004,16020,15990,16004,16895
2024-03-13T06:00:00.000Z,16004,16009,15953,15954,40947
2024-03-13T13:00:00.000Z,15950,15986,15931,15936,48157
2024-03-13T14:00:00.000Z,15936,15968,15936,15963,19568
2024-03-14T01:00:00.000Z,15963,16111,15963,16060,142896
2024-03-14T02:00:00.000Z,16060,16074,16026,16028,34569
2024-03-14T03:00:00.000Z,16028,16041,15997,16001,19371
2024-03-14T05:00:00.000Z,15997,16001,15942,15961,48882
2024-03-14T06:00:00.000Z,15961,15991,15952,15962,35274
2024-03-14T13:00:00.000Z,16004,16034,15964,15979,68665
2024-03-14T14:00:00.000Z,15979,15994,15941,15979,34255
2024-03-15T01:00:00.000Z,15979,16053,15965,16012,73962
2024-03-15T02:00:00.000Z,16012,16027,15997,16013,19333
2024-03-15T03:00:00.000Z,16013,16032,16002,16027,11905
2024-03-15T05:00:00.000Z,16027,16060,16027,16042,33190
2024-03-15T06:00:00.000Z,16042,16047,16009,16025,42791
2024-03-15T13:00:00.000Z,16037,16096,16032,16062,80570
2024-03-15T14:00:00.000Z,16062,16130,16031,16079,60569
