time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,21675,21675,21603,21622,921
2024-03-11T02:00:00.000Z,21622,21646,21538,21547,506
2024-03-11T03:00:00.000Z,21547,21595,21523,21576,220
2024-03-11T05:00:00.000Z,21576,21595,21552,21567,249
2024-03-11T06:00:00.000Z,21567,21571,21405,21420,1482
2024-03-11T13:00:00.000Z,21419,21554,21419,21508,864
2024-03-11T14:00:00.000Z,21508,21518,21479,21479,326
2024-03-12T01:00:00.000Z,21426,21459,21407,21414,588
2024-03-12T02:00:00.000Z,21414,21423,21365,21399,416
2024-03-12T03:00:00.000Z,21399,21414,21380,21385,133
2024-03-12T05:00:00.000Z,21390,21423,21374,21379,265
2024-03-12T06:00:00.000Z,21379,21393,21300,21335,1241
2024-03-12T13:00:00.000Z,21301,21335,21215,21271,1466
2024-03-12T14:00:00.000Z,21271,21324,21266,21300,339
2024-03-13T01:00:00.000Z,21305,21388,21305,21379,730
2024-03-13T02:00:00.000Z,21379,21388,21320,21344,196
2024-03-13T03:00:00.000Z,21344,21354,21325,21330,66
2024-03-13T05:00:00.000Z,21330,21384,21330,21376,174
2024-03-13T06:00:00.000Z,21376,21390,21228,21233,732
2024-03-13T13:00:00.000Z,21234,21324,21200,21300,726
2024-03-13T14:00:00.000Z,21300,21359,21300,21349,374
2024-03-14T01:00:00.000Z,21349,21505,21323,21371,1153
2024-03-14T02:00:00.000Z,21371,21395,21318,21322,251
2024-03-14T03:00:00.000Z,21322,21337,21308,21320,165
2024-03-14T05:00:00.000Z,21320,21320,21228,21292,659
2024-03-14T06:00:00.000Z,21292,21301,21194,21247,724
2024-03-14T13:00:00.000Z,21281,21359,21252,21282,984
2024-03-14T14:00:00.000Z,21282,21321,21252,21305,315
2024-03-15T01:00:00.000Z,21305,21358,21272,21320,429
2024-03-15T02:00:00.000Z,21320,21344,21291,21330,219
2024-03-15T03:00:00.000Z,21330,21353,21320,21353,119
2024-03-15T05:00:00.000Z,21353,21375,21312,21318,405
2024-03-15T06:00:00.000Z,21318,21318,21253,21273,812
2024-03-15T13:00:00.000Z,21277,21350,21277,21321,550
2024-03-15T14:00:00.000Z,21321,21348,21277,21348,403
