time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,1578,1578,1550,1560,346051
2024-03-11T02:00:00.000Z,1560,1563,1555,1558,85752
2024-03-11T03:00:00.000Z,1558,1564,1554,1555,62411
2024-03-11T05:00:00.000Z,1555,1565,1555,1560,84920
2024-03-11T06:00:00.000Z,1560,1570,1559,1564,154736
2024-03-11T13:00:00.000Z,1563,1570,1561,1566,181241
2024-03-11T14:00:00.000Z,1566,1577,1563,1574,147726
2024-03-12T01:00:00.000Z,1575,1592,1575,1581,291993
2024-03-12T02:00:00.000Z,1581,1585,1573,1580,86836
2024-03-12T03:00:00.000Z,1580,1581,1572,1576,40987
2024-03-12T05:00:00.000Z,1579,1582,1577,1580,51761
2024-03-12T06:00:00.000Z,1580,1589,1572,1584,161852
2024-03-12T13:00:00.000Z,1586,1587,1569,1572,216030
2024-03-12T14:00:00.000Z,1572,1579,1572,1577,96638
2024-03-13T01:00:00.000Z,1577,1582,1568,1570,149711
2024-03-13T02:00:00.000Z,1570,1576,1568,1575,57935
2024-03-13T03:00:00.000Z,1575,1577,1570,1577,33374
2024-03-13T05:00:00.000Z,1577,1582,1573,1577,67627
2024-03-13T06:00:00.000Z,1577,1578,1560,1565,174131
2024-03-13T13:00:00.000Z,1573,1581,1567,1568,269568
2024-03-13T14:00:00.000Z,1568,1578,1566,1574,103021
2024-03-14T01:00:00.000Z,1574,1579,1568,1576,115992
2024-03-14T02:00:00.000Z,1576,1578,1571,1573,55614
2024-03-14T03:00:00.000Z,1573,1575,1551,1552,111950
2024-03-14T05:00:00.000Z,1549,1562,1548,1560,182599
2024-03-14T06:00:00.000Z,1560,1585,1555,1561,418130
2024-03-14T13:00:00.000Z,1572,1585,1568,1574,374314
2024-03-14T14:00:00.000Z,1574,1577,1571,1577,91723
2024-03-15T01:00:00.000Z,1577,1603,1576,1596,431684
2024-03-15T02:00:00.000Z,1596,1598,1582,1584,167313
2024-03-15T03:00:00.000Z,1584,1590,1582,1587,55132
2024-03-15T05:00:00.000Z,1588,1592,1583,1588,57050
2024-03-15T06:00:00.000Z,1588,1590,1577,1584,186241
2024-03-15T13:00:00.000Z,1585,1592,1560,1561,360068
2024-03-15T14:00:00.000Z,1561,1564,1517,1552,732726
2024-03-18T01:00:00.000Z,1552,1553,1532,1547,291203
2024-03-18T02:00:00.000Z,1547,1548,1525,1528,170807
2024-03-18T03:00:00.000Z,1528,1531,1519,1530,117263
2024-03-18T05:00:00.000Z,1530,1532,1525,1526,78198
2024-03-18T06:00:00.000Z,1526,1533,1519,1522,225921
2024-03-18T13:00:00.000Z,1521,1531,1519,1525,176045
2024-03-18T14:00:00.000Z,1525,1530,1517,1520,111907
2024-03-19T01:00:00.000Z,1520,1532,1520,1527,128795
2024-03-19T02:00:00.000Z,1527,1550,1526,1538,316400
2024-03-19T03:00:00.000Z,1538,1544,1536,1541,81467
2024-03-19T05:00:00.000Z,1541,1548,1537,1539,94553
2024-03-19T06:00:00.000Z,1539,1542,1530,1537,154285
2024-03-19T13:00:00.000Z,1539,1552,1539,1544,249370
2024-03-19T14:00:00.000Z,1544,1546,1540,1544,59697
2024-03-20T01:00:00.000Z,1545,1554,1537,1552,167423
2024-03-20T02:00:00.000Z,1552,1552,1535,1537,128049
2024-03-20T03:00:00.000Z,1537,1540,1532,1538,71742
2024-03-20T05:00:00.000Z,1538,1538,1522,1526,173760
2024-03-20T06:00:00.000Z,1526,1531,1521,1523,164070
2024-03-20T13:00:00.000Z,1517,1532,1517,1528,211851
2024-03-20T14:00:00.000Z,1528,1531,1524,1530,93296
2024-03-21T01:00:00.000Z,1531,1536,1526,1531,122491
2024-03-21T02:00:00.000Z,1531,1533,1525,1526,71074
2024-03-21T03:00:00.000Z,1526,1536,1525,1535,61477
2024-03-21T05:00:00.000Z,1535,1546,1533,1540,154170
2024-03-21T06:00:00.000Z,1540,1556,1538,1541,280587
2024-03-21T13:00:00.000Z,1535,1545,1530,1544,251611
2024-03-21T14:00:00.000Z,1544,1557,1538,1549,230827
2024-03-22T01:00:00.000Z,1549,1552,1542,1546,165368
2024-03-22T02:00:00.000Z,1546,1551,1539,1546,123059
2024-03-22T03:00:00.000Z,1546,1550,1538,1542,66000
2024-03-22T05:00:00.000Z,1543,1543,1530,1539,119598
2024-03-22T06:00:00.000Z,1539,1543,1515,1523,390478
2024-03-22T13:00:00.000Z,1520,1521,1506,1517,341077
2024-03-22T14:00:00.000Z,1517,1517,1506,1509,216353
