time,open,high,low,close,volume
2022-03-14T01:00:00.000Z,2956,3139,2806,3102,56
2022-03-14T01:30:00.000Z,3102,3124,3041,3064,66
2022-03-14T02:00:00.000Z,3064,3078,3006,3022,11
2022-03-14T02:30:00.000Z,3057,3064,3035,3035,10
2022-03-14T03:00:00.000Z,3035,3050,2960,3001,21
2022-03-14T05:30:00.000Z,3001,3035,2946,2946,48
2022-03-14T06:00:00.000Z,2946,3018,2946,2998,41
2022-03-14T06:30:00.000Z,2998,3050,2946,2946,93
2022-03-15T01:00:00.000Z,2946,2976,2901,2960,13
2022-03-15T01:30:00.000Z,2960,3004,2923,2923,8
2022-03-15T02:00:00.000Z,2923,2956,2923,2956,9
2022-03-15T02:30:00.000Z,2956,2956,2941,2941,2
2022-03-15T03:00:00.000Z,2941,2941,2941,2941,0
2022-03-15T05:30:00.000Z,2941,2941,2941,2941,0
2022-03-15T06:00:00.000Z,2941,2969,2936,2936,2
2022-03-15T06:30:00.000Z,2936,2944,2923,2923,7
2022-03-16T01:00:00.000Z,2923,2923,2886,2886,2
2022-03-16T01:30:00.000Z,2886,2988,2886,2956,14
2022-03-16T02:00:00.000Z,2956,3030,2956,3025,32
2022-03-16T02:30:00.000Z,3025,3025,3006,3024,9
2022-03-16T03:00:00.000Z,3024,3024,3006,3011,9
2022-03-16T05:30:00.000Z,3011,3011,2986,2999,7
2022-03-16T06:00:00.000Z,2999,3011,2980,2989,9
2022-03-16T06:30:00.000Z,2989,3009,2960,3009,8
2022-03-17T01:00:00.000Z,3009,3009,2980,2999,8
2022-03-17T01:30:00.000Z,2999,2999,2996,2996,2
2022-03-17T02:00:00.000Z,2996,2996,2996,2996,0
2022-03-17T02:30:00.000Z,2996,2996,2996,2996,0
2022-03-17T03:00:00.000Z,2996,2996,2955,2955,10
2022-03-17T05:30:00.000Z,2955,2974,2945,2952,9
2022-03-17T06:00:00.000Z,2952,2952,2952,2952,0
2022-03-17T06:30:00.000Z,2952,2952,2919,2919,15
2022-03-18T01:00:00.000Z,2919,2938,2902,2934,8
2022-03-18T01:30:00.000Z,2934,2987,2929,2942,6
2022-03-18T02:00:00.000Z,2942,2942,2938,2938,1
2022-03-18T02:30:00.000Z,2938,2949,2921,2939,6
2022-03-18T03:00:00.000Z,2939,2946,2920,2920,11
2022-03-18T05:30:00.000Z,2920,2920,2920,2920,0
2022-03-18T06:00:00.000Z,2920,2920,2919,2920,2
2022-03-18T06:30:00.000Z,2920,2926,2920,2926,1
2022-03-21T01:00:00.000Z,2926,2939,2891,2925,5
2022-03-21T01:30:00.000Z,2925,2925,2920,2920,1
2022-03-21T02:00:00.000Z,2920,2932,2920,2932,2
2022-03-21T02:30:00.000Z,2932,2948,2924,2948,2
2022-03-21T03:00:00.000Z,2948,2948,2925,2927,2
2022-03-21T05:30:00.000Z,2927,2928,2913,2913,3
2022-03-21T06:00:00.000Z,2913,2913,2906,2906,1
2022-03-21T06:30:00.000Z,2906,2921,2906,2921,5
2022-03-22T01:00:00.000Z,2921,2941,2919,2919,2
2022-03-22T01:30:00.000Z,2919,2943,2919,2943,1
2022-03-22T02:00:00.000Z,2943,2943,2943,2943,0
2022-03-22T02:30:00.000Z,2940,2940,2940,2940,1
2022-03-22T03:00:00.000Z,2940,2940,2940,2940,0
2022-03-22T05:30:00.000Z,2940,2941,2931,2941,2
2022-03-22T06:00:00.000Z,2941,2942,2931,2934,5
2022-03-22T06:30:00.000Z,2934,2934,2934,2934,0
2022-03-23T01:00:00.000Z,2934,2934,2934,2934,0
2022-03-23T01:30:00.000Z,2934,2934,2934,2934,0
2022-03-23T02:00:00.000Z,2934,2934,2934,2934,0
2022-03-23T02:30:00.000Z,2934,2934,2920,2920,1
2022-03-23T03:00:00.000Z,2920,2920,2919,2919,3
2022-03-23T05:30:00.000Z,2919,2930,2919,2925,5
2022-03-23T06:00:00.000Z,2925,2925,2925,2925,0
2022-03-23T06:30:00.000Z,2925,2925,2925,2925,0
2022-03-24T01:00:00.000Z,2925,2925,2925,2925,1
2022-03-24T01:30:00.000Z,2925,2929,2925,2929,1
2022-03-24T02:00:00.000Z,2929,2929,2929,2929,0
2022-03-24T02:30:00.000Z,2929,2929,2929,2929,0
2022-03-24T03:00:00.000Z,2929,2929,2929,2929,0
2022-03-24T05:30:00.000Z,2929,2929,2929,2929,0
2022-03-24T06:00:00.000Z,2929,2931,2929,2931,2
2022-03-24T06:30:00.000Z,2931,2942,2931,2942,1
2022-03-25T01:00:00.000Z,2942,2942,2942,2942,0
2022-03-25T01:30:00.000Z,2942,2942,2916,2916,2
2022-03-25T02:00:00.000Z,2916,2916,2916,2916,0
2022-03-25T02:30:00.000Z,2916,2931,2913,2931,2
2022-03-25T03:00:00.000Z,2931,2931,2911,2911,1
2022-03-25T05:30:00.000Z,2911,2911,2911,2911,0
2022-03-25T06:00:00.000Z,2911,2911,2911,2911,0
2022-03-25T06:30:00.000Z,2911,2911,2908,2908,3
2022-03-28T01:00:00.000Z,2908,2987,2908,2951,8
2022-03-28T01:30:00.000Z,2951,2963,2930,2932,4
2022-03-28T02:00:00.000Z,2932,2932,2932,2932,0
2022-03-28T02:30:00.000Z,2932,2941,2932,2941,1
2022-03-28T03:00:00.000Z,2941,2941,2941,2941,0
2022-03-28T05:30:00.000Z,2941,2941,2941,2941,0
2022-03-28T06:00:00.000Z,2941,2941,2934,2934,1
2022-03-28T06:30:00.000Z,2934,2934,2934,2934,0
2022-03-29T01:00:00.000Z,2934,2934,2877,2912,6
2022-03-29T01:30:00.000Z,2912,2912,2912,2912,0
2022-03-29T02:00:00.000Z,2912,2912,2912,2912,1
2022-03-29T02:30:00.000Z,2912,2912,2912,2912,0
2022-03-29T03:00:00.000Z,2912,2912,2910,2910,2
2022-03-29T05:30:00.000Z,2910,2910,2910,2910,0
2022-03-29T06:00:00.000Z,2910,2910,2910,2910,0
2022-03-29T06:30:00.000Z,2910,2911,2910,2911,1
2022-03-30T01:00:00.000Z,2911,2911,2905,2905,7
2022-03-30T01:30:00.000Z,2905,2905,2844,2844,22
2022-03-30T02:00:00.000Z,2844,2844,2844,2844,0
2022-03-30T02:30:00.000Z,2844,2868,2844,2846,4
2022-03-30T03:00:00.000Z,2846,2846,2846,2846,0
2022-03-30T05:30:00.000Z,2846,2893,2846,2893,6
2022-03-30T06:00:00.000Z,2893,2905,2893,2905,2
2022-03-30T06:30:00.000Z,2905,2905,2886,2886,1
2022-03-31T01:00:00.000Z,2886,2886,2886,2886,0
2022-03-31T01:30:00.000Z,2886,2886,2886,2886,0
2022-03-31T02:00:00.000Z,2886,2886,2886,2886,0
2022-03-31T02:30:00.000Z,2886,2950,2886,2920,3
2022-03-31T03:00:00.000Z,2920,2953,2902,2927,14
2022-03-31T05:30:00.000Z,2927,2927,2927,2927,0
2022-03-31T06:00:00.000Z,2927,2927,2927,2927,0
2022-03-31T06:30:00.000Z,2927,2927,2927,2927,0
2022-04-01T01:00:00.000Z,2927,2940,2927,2935,2
2022-04-01T01:30:00.000Z,2935,2935,2935,2935,0
2022-04-01T02:00:00.000Z,2935,2935,2935,2935,0
2022-04-01T02:30:00.000Z,2935,2935,2935,2935,0
2022-04-01T03:00:00.000Z,2935,2935,2935,2935,0
2022-04-01T05:30:00.000Z,2935,2938,2935,2938,3
2022-04-01T06:00:00.000Z,2938,2938,2938,2938,0
2022-04-01T06:30:00.000Z,2938,2938,2938,2938,0
2022-04-06T01:00:00.000Z,2938,2938,2938,2938,0
2022-04-06T01:30:00.000Z,2938,2938,2938,2938,0
2022-04-06T02:00:00.000Z,2938,2938,2938,2938,0
2022-04-06T02:30:00.000Z,2938,2938,2938,2938,0
2022-04-06T03:00:00.000Z,2938,2938,2938,2938,0
2022-04-06T05:30:00.000Z,2938,2939,2938,2939,1
2022-04-06T06:00:00.000Z,2939,2939,2939,2939,0
2022-04-06T06:30:00.000Z,2939,2939,2939,2939,0
2022-04-07T01:00:00.000Z,2939,2939,2939,2939,0
2022-04-07T01:30:00.000Z,2939,2939,2939,2939,0
2022-04-07T02:00:00.000Z,2939,2939,2939,2939,0
2022-04-07T02:30:00.000Z,2939,2939,2939,2939,0
2022-04-07T03:00:00.000Z,2939,2939,2939,2939,0
2022-04-07T05:30:00.000Z,2939,2939,2939,2939,0
2022-04-07T06:00:00.000Z,2939,2939,2939,2939,0
2022-04-07T06:30:00.000Z,2939,2977,2939,2977,2
2022-04-08T01:00:00.000Z,2977,2977,2977,2977,0
2022-04-08T01:30:00.000Z,2977,2977,2977,2977,0
2022-04-08T02:00:00.000Z,2977,2977,2977,2977,0
2022-04-08T02:30:00.000Z,2977,2977,2977,2977,0
2022-04-08T03:00:00.000Z,2977,2977,2977,2977,0
2022-04-08T05:30:00.000Z,2977,2977,2977,2977,0
2022-04-08T06:00:00.000Z,2977,2977,2977,2977,0
2022-04-08T06:30:00.000Z,2977,2977,2977,2977,0
2022-04-11T01:00:00.000Z,2959,2959,2930,2939,3
2022-04-11T01:30:00.000Z,2939,2939,2939,2939,0
2022-04-11T02:00:00.000Z,2939,2939,2939,2939,1
2022-04-11T02:30:00.000Z,2939,2941,2939,2941,1
2022-04-11T03:00:00.000Z,2941,2941,2941,2941,0
2022-04-11T05:30:00.000Z,2941,2941,2941,2941,0
2022-04-11T06:00:00.000Z,2941,2941,2941,2941,0
2022-04-11T06:30:00.000Z,2941,2941,2941,2941,0
2022-04-12T01:00:00.000Z,2941,2941,2941,2941,0
2022-04-12T01:30:00.000Z,2941,2941,2941,2941,0
2022-04-12T02:00:00.000Z,2941,2941,2941,2941,0
2022-04-12T02:30:00.000Z,2941,2941,2941,2941,0
2022-04-12T03:00:00.000Z,2941,2941,2941,2941,0
2022-04-12T05:30:00.000Z,2941,2941,2941,2941,0
2022-04-12T06:00:00.000Z,2941,2941,2941,2941,0
2022-04-12T06:30:00.000Z,2941,2941,2941,2941,0
2022-04-13T01:00:00.000Z,2938,2938,2938,2938,0
2022-04-13T01:30:00.000Z,2938,2938,2938,2938,0
2022-04-13T02:00:00.000Z,2938,2938,2938,2938,0
2022-04-13T02:30:00.000Z,2938,2938,2938,2938,0
2022-04-13T03:00:00.000Z,2938,2938,2938,2938,0
2022-04-13T05:30:00.000Z,2938,2938,2938,2938,0
2022-04-13T06:00:00.000Z,2938,2938,2938,2938,0
2022-04-13T06:30:00.000Z,2938,2938,2938,2938,0
2022-04-14T01:00:00.000Z,2938,2938,2938,2938,0
2022-04-14T01:30:00.000Z,2938,2938,2938,2938,0
2022-04-14T02:00:00.000Z,2938,2938,2938,2938,0
2022-04-14T02:30:00.000Z,2938,2938,2938,2938,0
2022-04-14T03:00:00.000Z,2938,2938,2938,2938,0
2022-04-14T05:30:00.000Z,2938,2938,2938,2938,0
2022-04-14T06:00:00.000Z,2938,2938,2938,2938,0
2022-04-14T06:30:00.000Z,2938,2938,2938,2938,0
2022-04-15T01:00:00.000Z,2938,2938,2938,2938,0
2022-04-15T01:30:00.000Z,2938,2938,2938,2938,0
2022-04-15T02:00:00.000Z,2938,2938,2938,2938,0
2022-04-15T02:30:00.000Z,2938,2938,2938,2938,0
2022-04-15T03:00:00.000Z,2938,2938,2938,2938,0
2022-04-15T05:30:00.000Z,2938,2938,2938,2938,0
2022-04-15T06:00:00.000Z,2938,2938,2938,2938,0
2022-04-15T06:30:00.000Z,2938,2938,2938,2938,0
2022-04-18T01:00:00.000Z,2938,2991,2938,2991,1
2022-04-18T01:30:00.000Z,2991,2991,2950,2950,1
2022-04-18T02:00:00.000Z,2950,2950,2950,2950,0
2022-04-18T02:30:00.000Z,2950,2950,2950,2950,0
2022-04-18T03:00:00.000Z,2950,2950,2950,2950,0
2022-04-18T05:30:00.000Z,2950,2968,2950,2968,1
2022-04-18T06:00:00.000Z,2968,2968,2968,2968,0
2022-04-18T06:30:00.000Z,2968,2968,2968,2968,0
