time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,2515,2516,2494,2507,317311
2024-03-11T02:00:00.000Z,2507,2523,2503,2517,159313
2024-03-11T03:00:00.000Z,2517,2526,2515,2525,85901
2024-03-11T05:00:00.000Z,2525,2532,2521,2524,98951
2024-03-11T06:00:00.000Z,2524,2530,2518,2525,162375
2024-03-11T13:00:00.000Z,2532,2550,2528,2529,441421
2024-03-11T14:00:00.000Z,2529,2535,2525,2532,164891
2024-03-12T01:00:00.000Z,2532,2542,2520,2521,250782
2024-03-12T02:00:00.000Z,2521,2523,2509,2513,213425
2024-03-12T03:00:00.000Z,2513,2519,2512,2515,80739
2024-03-12T05:00:00.000Z,2514,2514,2493,2495,330836
2024-03-12T06:00:00.000Z,2495,2497,2480,2486,420766
2024-03-12T13:00:00.000Z,2490,2501,2488,2498,240946
2024-03-12T14:00:00.000Z,2498,2503,2493,2502,114795
2024-03-13T01:00:00.000Z,2501,2506,2493,2495,158400
2024-03-13T02:00:00.000Z,2495,2497,2492,2497,75733
2024-03-13T03:00:00.000Z,2497,2498,2485,2496,99980
2024-03-13T05:00:00.000Z,2496,2500,2485,2492,105718
2024-03-13T06:00:00.000Z,2492,2494,2481,2489,181570
2024-03-13T13:00:00.000Z,2497,2499,2487,2492,255104
2024-03-13T14:00:00.000Z,2492,2501,2487,2496,135495
2024-03-14T01:00:00.000Z,2499,2512,2496,2508,201622
2024-03-14T02:00:00.000Z,2508,2513,2505,2508,97734
2024-03-14T03:00:00.000Z,2508,2516,2507,2509,80606
2024-03-14T05:00:00.000Z,2509,2515,2504,2513,100149
2024-03-14T06:00:00.000Z,2513,2527,2511,2519,303344
2024-03-14T13:00:00.000Z,2525,2531,2518,2531,215163
2024-03-14T14:00:00.000Z,2531,2537,2526,2529,183538
2024-03-15T01:00:00.000Z,2529,2554,2528,2535,309887
2024-03-15T02:00:00.000Z,2535,2536,2526,2530,116359
2024-03-15T03:00:00.000Z,2530,2536,2529,2533,50305
2024-03-15T05:00:00.000Z,2533,2545,2528,2539,99050
2024-03-15T06:00:00.000Z,2539,2553,2536,2550,227964
2024-03-15T13:00:00.000Z,2552,2561,2526,2534,380834
2024-03-15T14:00:00.000Z,2534,2538,2519,2534,270042
2024-03-18T01:00:00.000Z,2534,2549,2528,2533,308134
2024-03-18T02:00:00.000Z,2533,2537,2528,2533,101541
2024-03-18T03:00:00.000Z,2533,2545,2527,2543,80918
2024-03-18T05:00:00.000Z,2543,2561,2541,2557,173167
2024-03-18T06:00:00.000Z,2557,2564,2552,2554,202380
2024-03-18T13:00:00.000Z,2564,2579,2559,2564,421225
2024-03-18T14:00:00.000Z,2564,2572,2563,2567,117041
2024-03-19T01:00:00.000Z,2567,2603,2567,2600,440353
2024-03-19T02:00:00.000Z,2600,2603,2590,2592,156338
2024-03-19T03:00:00.000Z,2592,2598,2574,2576,115120
2024-03-19T05:00:00.000Z,2575,2580,2564,2570,187293
2024-03-19T06:00:00.000Z,2570,2578,2566,2572,165634
2024-03-19T13:00:00.000Z,2571,2577,2565,2570,195406
2024-03-19T14:00:00.000Z,2570,2577,2568,2576,82960
2024-03-20T01:00:00.000Z,2575,2591,2570,2585,217755
2024-03-20T02:00:00.000Z,2585,2593,2572,2576,183788
2024-03-20T03:00:00.000Z,2576,2579,2553,2564,332929
2024-03-20T05:00:00.000Z,2565,2568,2559,2565,87939
2024-03-20T06:00:00.000Z,2565,2571,2562,2564,139269
2024-03-20T13:00:00.000Z,2555,2566,2551,2554,290755
2024-03-20T14:00:00.000Z,2554,2556,2540,2545,230791
2024-03-21T01:00:00.000Z,2547,2560,2543,2545,198784
2024-03-21T02:00:00.000Z,2545,2547,2538,2542,98800
2024-03-21T03:00:00.000Z,2542,2550,2539,2547,53280
2024-03-21T05:00:00.000Z,2547,2556,2546,2553,85114
2024-03-21T06:00:00.000Z,2553,2555,2540,2540,163979
2024-03-21T13:00:00.000Z,2538,2552,2536,2552,213925
2024-03-21T14:00:00.000Z,2552,2553,2543,2550,130618
2024-03-22T01:00:00.000Z,2550,2551,2530,2533,229241
2024-03-22T02:00:00.000Z,2533,2538,2527,2534,120676
2024-03-22T03:00:00.000Z,2534,2541,2527,2529,100401
2024-03-22T05:00:00.000Z,2530,2531,2521,2523,113299
2024-03-22T06:00:00.000Z,2523,2531,2521,2528,161058
2024-03-22T13:00:00.000Z,2529,2541,2528,2530,196990
2024-03-22T14:00:00.000Z,2530,2534,2526,2532,79433
2024-03-25T01:00:00.000Z,2532,2538,2520,2524,236239
2024-03-25T02:00:00.000Z,2524,2531,2521,2526,68622
2024-03-25T03:00:00.000Z,2526,2534,2524,2529,51447
2024-03-25T05:00:00.000Z,2530,2534,2528,2531,53932
2024-03-25T06:00:00.000Z,2531,2532,2506,2507,295423
2024-03-25T13:00:00.000Z,2510,2518,2503,2517,172693
2024-03-25T14:00:00.000Z,2517,2522,2514,2520,86635
2024-03-26T01:00:00.000Z,2521,2523,2507,2509,160578
2024-03-26T02:00:00.000Z,2509,2511,2502,2504,124163
2024-03-26T03:00:00.000Z,2504,2505,2497,2500,75536
2024-03-26T05:00:00.000Z,2499,2499,2492,2494,107909
2024-03-26T06:00:00.000Z,2494,2495,2485,2488,167219
2024-03-26T13:00:00.000Z,2487,2498,2487,2495,155315
2024-03-26T14:00:00.000Z,2495,2497,2488,2496,82353
2024-03-27T01:00:00.000Z,2495,2500,2486,2489,142816
2024-03-27T02:00:00.000Z,2489,2490,2474,2475,181923
2024-03-27T03:00:00.000Z,2475,2478,2468,2469,81743
2024-03-27T05:00:00.000Z,2469,2471,2464,2465,80599
2024-03-27T06:00:00.000Z,2465,2481,2461,2468,241345
2024-03-27T13:00:00.000Z,2467,2468,2454,2461,203896
2024-03-27T14:00:00.000Z,2461,2462,2455,2461,83232
2024-03-28T01:00:00.000Z,2461,2461,2435,2442,411385
2024-03-28T02:00:00.000Z,2442,2457,2439,2454,134168
2024-03-28T03:00:00.000Z,2454,2460,2452,2452,66684
2024-03-28T05:00:00.000Z,2452,2458,2449,2453,62705
2024-03-28T06:00:00.000Z,2453,2456,2444,2445,131794
2024-03-28T13:00:00.000Z,2445,2452,2444,2446,145709
2024-03-28T14:00:00.000Z,2446,2452,2445,2447,63598
2024-03-29T01:00:00.000Z,2447,2455,2444,2450,145315
2024-03-29T02:00:00.000Z,2450,2457,2448,2453,92992
2024-03-29T03:00:00.000Z,2453,2465,2452,2462,105145
2024-03-29T05:00:00.000Z,2462,2466,2460,2464,77056
2024-03-29T06:00:00.000Z,2464,2468,2460,2466,129954
2024-03-29T13:00:00.000Z,2467,2478,2464,2472,190017
2024-03-29T14:00:00.000Z,2472,2477,2468,2476,89291
