time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,7272,7277,7238,7242,30234
2024-03-11T02:00:00.000Z,7242,7251,7238,7247,7460
2024-03-11T03:00:00.000Z,7247,7255,7244,7254,3810
2024-03-11T05:00:00.000Z,7253,7280,7253,7272,10288
2024-03-11T06:00:00.000Z,7272,7279,7259,7267,10991
2024-03-11T13:00:00.000Z,7271,7296,7265,7277,21059
2024-03-11T14:00:00.000Z,7277,7283,7274,7276,5269
2024-03-12T01:00:00.000Z,7284,7300,7273,7280,13601
2024-03-12T02:00:00.000Z,7280,7280,7262,7265,8767
2024-03-12T03:00:00.000Z,7265,7280,7265,7275,3796
2024-03-12T05:00:00.000Z,7275,7303,7275,7301,10987
2024-03-12T06:00:00.000Z,7301,7303,7282,7290,16093
2024-03-12T13:00:00.000Z,7293,7307,7293,7303,13749
2024-03-12T14:00:00.000Z,7303,7309,7300,7300,6291
2024-03-13T01:00:00.000Z,7301,7303,7286,7286,10096
2024-03-13T02:00:00.000Z,7286,7293,7282,7289,4580
2024-03-13T03:00:00.000Z,7289,7295,7284,7294,3777
2024-03-13T05:00:00.000Z,7294,7320,7293,7311,11388
2024-03-13T06:00:00.000Z,7311,7316,7295,7298,12338
2024-03-13T13:00:00.000Z,7316,7324,7307,7313,19203
2024-03-13T14:00:00.000Z,7313,7316,7297,7302,7963
2024-03-14T01:00:00.000Z,7303,7322,7303,7310,15494
2024-03-14T02:00:00.000Z,7310,7342,7304,7339,16360
2024-03-14T03:00:00.000Z,7339,7364,7338,7338,17031
2024-03-14T05:00:00.000Z,7338,7355,7333,7354,9865
2024-03-14T06:00:00.000Z,7354,7370,7346,7361,20315
2024-03-14T13:00:00.000Z,7381,7393,7371,7391,30055
2024-03-14T14:00:00.000Z,7391,7402,7389,7393,11725
2024-03-15T01:00:00.000Z,7393,7421,7389,7415,22695
2024-03-15T02:00:00.000Z,7415,7415,7386,7396,9654
2024-03-15T03:00:00.000Z,7396,7414,7395,7407,4660
2024-03-15T05:00:00.000Z,7405,7413,7403,7405,6291
2024-03-15T06:00:00.000Z,7405,7418,7403,7416,17806
2024-03-15T13:00:00.000Z,7413,7418,7374,7379,21689
2024-03-15T14:00:00.000Z,7379,7385,7360,7377,11294
2024-03-18T01:00:00.000Z,7382,7399,7368,7393,20403
2024-03-18T02:00:00.000Z,7393,7396,7383,7386,7132
2024-03-18T03:00:00.000Z,7386,7387,7369,7383,6785
2024-03-18T05:00:00.000Z,7383,7393,7382,7390,5402
2024-03-18T06:00:00.000Z,7390,7396,7387,7391,10919
2024-03-18T13:00:00.000Z,7392,7411,7388,7392,18387
2024-03-18T14:00:00.000Z,7392,7396,7384,7392,5942
2024-03-19T01:00:00.000Z,7402,7423,7401,7420,15888
2024-03-19T02:00:00.000Z,7420,7433,7416,7421,10774
2024-03-19T03:00:00.000Z,7421,7426,7417,7418,3193
2024-03-19T05:00:00.000Z,7416,7420,7409,7418,8631
2024-03-19T06:00:00.000Z,7418,7434,7416,7421,17503
2024-03-19T13:00:00.000Z,7429,7431,7413,7415,16595
2024-03-19T14:00:00.000Z,7415,7428,7413,7419,4690
2024-03-20T01:00:00.000Z,7419,7440,7419,7422,15694
2024-03-20T02:00:00.000Z,7422,7426,7399,7412,12399
2024-03-20T03:00:00.000Z,7412,7416,7403,7415,4834
2024-03-20T05:00:00.000Z,7415,7416,7403,7415,8005
2024-03-20T06:00:00.000Z,7415,7418,7400,7402,13082
2024-03-20T13:00:00.000Z,7388,7388,7337,7348,43213
2024-03-20T14:00:00.000Z,7348,7351,7316,7324,21890
2024-03-21T01:00:00.000Z,7333,7339,7316,7321,16149
2024-03-21T02:00:00.000Z,7321,7321,7300,7301,14198
2024-03-21T03:00:00.000Z,7301,7312,7297,7309,6740
2024-03-21T05:00:00.000Z,7310,7312,7303,7311,5724
2024-03-21T06:00:00.000Z,7311,7316,7298,7306,16172
2024-03-21T13:00:00.000Z,7297,7313,7291,7308,22614
2024-03-21T14:00:00.000Z,7308,7310,7296,7299,6278
2024-03-22T01:00:00.000Z,7302,7306,7281,7283,15934
2024-03-22T02:00:00.000Z,7283,7289,7278,7287,8446
2024-03-22T03:00:00.000Z,7287,7297,7284,7287,6403
2024-03-22T05:00:00.000Z,7292,7301,7285,7295,4146
2024-03-22T06:00:00.000Z,7295,7311,7293,7303,11419
2024-03-22T13:00:00.000Z,7310,7323,7299,7310,19159
2024-03-22T14:00:00.000Z,7310,7315,7294,7304,8453
