time,open,high,low,close,volume
2024-03-27T01:00:00.000Z,2650,2651,2644,2649,30472
2024-03-27T01:05:00.000Z,2649,2653,2647,2650,14611
2024-03-27T01:10:00.000Z,2650,2654,2646,2653,17667
2024-03-27T01:15:00.000Z,2653,2654,2651,2653,10465
2024-03-27T01:20:00.000Z,2653,2654,2651,2654,6742
2024-03-27T01:25:00.000Z,2654,2657,2652,2656,10825
2024-03-27T01:30:00.000Z,2656,2658,2653,2656,18124
2024-03-27T01:35:00.000Z,2656,2656,2651,2652,10307
2024-03-27T01:40:00.000Z,2652,2653,2649,2651,6634
2024-03-27T01:45:00.000Z,2651,2653,2650,2650,6501
2024-03-27T01:50:00.000Z,2650,2652,2648,2652,6364
2024-03-27T01:55:00.000Z,2652,2655,2651,2654,8793
2024-03-27T02:00:00.000Z,2654,2655,2652,2654,5662
2024-03-27T02:05:00.000Z,2654,2655,2648,2649,6630
2024-03-27T02:10:00.000Z,2649,2651,2647,2650,8459
2024-03-27T02:30:00.000Z,2650,2651,2647,2649,15959
2024-03-27T02:35:00.000Z,2649,2649,2646,2646,7096
2024-03-27T02:40:00.000Z,2646,2646,2644,2645,11216
2024-03-27T02:45:00.000Z,2645,2646,2642,2646,10234
2024-03-27T02:50:00.000Z,2646,2648,2646,2646,6315
2024-03-27T02:55:00.000Z,2646,2647,2644,2647,4877
2024-03-27T03:00:00.000Z,2647,2648,2645,2647,4794
2024-03-27T03:05:00.000Z,2647,2648,2641,2642,10759
2024-03-27T03:10:00.000Z,2642,2643,2638,2640,27800
2024-03-27T03:15:00.000Z,2640,2642,2638,2640,9021
2024-03-27T03:20:00.000Z,2640,2643,2640,2641,10590
2024-03-27T03:25:00.000Z,2641,2647,2636,2644,27873
2024-03-27T05:30:00.000Z,2643,2646,2640,2645,11242
2024-03-27T05:35:00.000Z,2645,2649,2645,2648,12815
2024-03-27T05:40:00.000Z,2648,2649,2645,2648,11400
2024-03-27T05:45:00.000Z,2648,2657,2647,2656,22167
2024-03-27T05:50:00.000Z,2656,2658,2655,2655,18214
2024-03-27T05:55:00.000Z,2655,2657,2654,2654,9054
2024-03-27T06:00:00.000Z,2654,2656,2653,2656,8633
2024-03-27T06:05:00.000Z,2656,2658,2655,2656,6749
2024-03-27T06:10:00.000Z,2656,2667,2656,2663,33485
2024-03-27T06:15:00.000Z,2663,2666,2661,2665,16863
2024-03-27T06:20:00.000Z,2665,2666,2661,2662,12470
2024-03-27T06:25:00.000Z,2662,2663,2658,2660,9442
2024-03-27T06:30:00.000Z,2660,2662,2655,2656,14170
2024-03-27T06:35:00.000Z,2656,2657,2653,2657,9634
2024-03-27T06:40:00.000Z,2657,2658,2652,2653,8774
2024-03-27T06:45:00.000Z,2653,2656,2651,2655,12318
2024-03-27T06:50:00.000Z,2655,2660,2655,2659,12912
2024-03-27T06:55:00.000Z,2659,2659,2655,2658,15000
2024-03-27T13:00:00.000Z,2657,2662,2652,2660,39086
2024-03-27T13:05:00.000Z,2660,2665,2658,2662,26899
2024-03-27T13:10:00.000Z,2662,2666,2662,2662,31195
