time,open,high,low,close,volume
2016-01-04T16:00:00.000Z,4040,4044,3880,3948,109
2016-01-05T16:00:00.000Z,3915,3986,3915,3957,14
2016-01-06T16:00:00.000Z,3985,3986,3957,3957,9
2016-01-07T16:00:00.000Z,3918,3935,3864,3906,29
2016-01-10T16:00:00.000Z,3909,3909,3883,3883,7
2016-01-11T16:00:00.000Z,3801,3878,3801,3878,3
2016-01-12T16:00:00.000Z,3900,3900,3846,3871,9
2016-01-13T16:00:00.000Z,3999,3999,3839,3888,28
2016-01-14T16:00:00.000Z,3893,3893,3869,3869,5
2016-01-17T16:00:00.000Z,3870.6526,3870.6526,3870.6526,3870.6526,2
2016-01-18T16:00:00.000Z,3870.6526,3870.6526,3870.6526,3870.6526,0
2016-01-19T16:00:00.000Z,3875.376,3882.2964,3875.376,3882.2964,4
2016-01-20T16:00:00.000Z,3882.2964,3882.2964,3882.2964,3882.2964,0
2016-01-21T16:00:00.000Z,3895.6667,3895.6667,3875.6667,3889.3333,39
2016-01-24T16:00:00.000Z,3942,3942,3879,3879,6
2016-01-25T16:00:00.000Z,3923.1704,3923.1704,3923.1704,3923.1704,1
2016-01-26T16:00:00.000Z,3925,3935,3883,3920,19
2016-01-27T16:00:00.000Z,4000,4000,3903,3927,58
2016-01-28T16:00:00.000Z,3927,3927,3927,3927,0
2016-01-31T16:00:00.000Z,3926.6667,3930,3926.6667,3930,4
2016-02-01T16:00:00.000Z,3930,3930,3930,3930,0
2016-02-02T16:00:00.000Z,3930,3930,3930,3930,0
2016-02-03T16:00:00.000Z,3914.3333,3931.3333,3914.3333,3931.3333,3
2016-02-04T16:00:00.000Z,3878,3902,3878,3885,4
2016-02-14T16:00:00.000Z,3885,3885,3885,3885,0
2016-02-15T16:00:00.000Z,3924,3941.6667,3876,3931,8
2016-02-16T16:00:00.000Z,3900.3298,3900.3298,3871.0771,3890.8113,7
2016-02-17T16:00:00.000Z,3903.3589,3935.7493,3903.3589,3913.1741,11
2016-02-18T16:00:00.000Z,3913.1741,3913.1741,3913.1741,3913.1741,0
2016-02-21T16:00:00.000Z,3910.3333,3912,3903.6667,3912,5
2016-02-22T16:00:00.000Z,4050,4050,3802,3935,11
2016-02-23T16:00:00.000Z,3919,3927,3891,3927,6
2016-02-24T16:00:00.000Z,3897,3897,3892,3892,3
2016-02-25T16:00:00.000Z,3892,3892,3892,3892,0
2016-02-28T16:00:00.000Z,3892,3892,3892,3892,0
2016-02-29T16:00:00.000Z,3910,3910,3910,3910,2
2016-03-01T16:00:00.000Z,3910,3910,3910,3910,0
2016-03-02T16:00:00.000Z,3899.6667,3899.6667,3899.6667,3899.6667,1
2016-03-03T16:00:00.000Z,3949,3957,3877,3898,7
2016-03-06T16:00:00.000Z,3892,3993,3892,3961,27
2016-03-07T16:00:00.000Z,3939,4050,3871,4001,79
2016-03-08T16:00:00.000Z,3905,3962,3905,3957,8
2016-03-09T16:00:00.000Z,4039,4039,3941,3965,16
2016-03-10T16:00:00.000Z,3936,4010,3936,3993,6
2016-03-13T16:00:00.000Z,3983,3990,3958,3960,14
2016-03-14T16:00:00.000Z,3997.864,3997.864,3932.3401,3936.2822,36
2016-03-15T16:00:00.000Z,3909.9973,3951.2278,3909.9973,3936.5027,16
2016-03-16T16:00:00.000Z,3934.5188,3934.5188,3934.5188,3934.5188,1
2016-03-17T16:00:00.000Z,3693,4000,3693,3950,9
2016-03-20T16:00:00.000Z,3924.3662,3945.0703,3913.5212,3935.2112,46
2016-03-21T16:00:00.000Z,3935,3945,3924,3945,18
2016-03-22T16:00:00.000Z,3939.5686,3977.2041,3939.5686,3948.2537,29
2016-03-23T16:00:00.000Z,3888,3937,3887,3921,23
2016-03-24T16:00:00.000Z,3923,4012,3900,3999,509
2016-03-27T16:00:00.000Z,3987.1411,3998.8904,3972.0627,3973.4856,31
2016-03-28T16:00:00.000Z,3973.3315,3973.3315,3921.1685,3958.3474,26
2016-03-29T16:00:00.000Z,3940.6433,3946.5469,3940.6433,3946.5469,4
2016-03-30T16:00:00.000Z,3930,3930,3902,3915,24
2016-03-31T16:00:00.000Z,3910,3931,3886,3931,44
2016-04-04T16:00:00.000Z,3979,3979,3916,3965,20
2016-04-05T16:00:00.000Z,3919.9417,3958.9917,3911.1167,3922.7112,16
2016-04-06T16:00:00.000Z,3912.6426,3914.6089,3910.676,3914.6089,5
2016-04-07T16:00:00.000Z,3887,3910,3887,3900,8
2016-04-10T16:00:00.000Z,3903,3982,3903,3930,22
2016-04-11T16:00:00.000Z,3928.8333,3957.3501,3906.2166,3914.3167,33
2016-04-12T16:00:00.000Z,3907.2432,4020.3149,3907.2432,3970.4419,118
2016-04-13T16:00:00.000Z,3935.7903,3968.3162,3933.8188,3933.8188,57
2016-04-14T16:00:00.000Z,3930,3948,3886,3911,57
2016-04-17T16:00:00.000Z,3929,3935,3899,3925,77
2016-04-18T16:00:00.000Z,3913,3929,3878,3904,73
2016-04-19T16:00:00.000Z,3927,4008,3905,3914,400
2016-04-20T16:00:00.000Z,3958,4117,3958,4052,1358
2016-04-21T16:00:00.000Z,4024.4805,4050.1831,3899.2012,3948.7664,697
2016-04-24T16:00:00.000Z,3952.4915,3966.332,3921.8445,3942.6052,208
2016-04-25T16:00:00.000Z,3974,4030,3888,3950,713
2016-04-26T16:00:00.000Z,3951,3966,3935,3950,215
2016-04-27T16:00:00.000Z,3943.6401,3966.2939,3932.8057,3949.5498,194
2016-04-28T16:00:00.000Z,3954,3954,3942,3952,169
2016-05-02T16:00:00.000Z,3975,3995,3941,3958,270
2016-05-03T16:00:00.000Z,3966.3401,3971.2383,3947.7268,3958.5029,138
2016-05-04T16:00:00.000Z,3958,3974,3947,3971,258
2016-05-05T16:00:00.000Z,3950.9668,3950.9668,3909.21,3947.9841,156
2016-05-08T16:00:00.000Z,3957,3988,3941,3967,207
2016-05-09T16:00:00.000Z,3951.1282,3973.0015,3943.1741,3960.0762,87
2016-05-10T16:00:00.000Z,3991,4054,3978,3985,933
2016-05-11T16:00:00.000Z,3972.8928,4011.0251,3964.0933,3985.6035,277
2016-05-12T16:00:00.000Z,3963,3974,3902,3915,282
