time,open,high,low,close,volume
2023-09-08T01:00:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:01:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:02:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:03:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:04:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:05:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:06:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:07:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:08:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:09:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:10:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:11:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:12:00.000Z,6157,6157,6157,6157,0
2023-09-08T01:13:00.000Z,6157,6157,6116,6116,5
2023-09-08T01:14:00.000Z,6116,6116,6115,6115,1
2023-09-08T01:15:00.000Z,6115,6115,6081,6081,3
2023-09-08T01:16:00.000Z,6081,6100,6070,6100,2
2023-09-08T01:17:00.000Z,6100,6115,6100,6115,1
2023-09-08T01:18:00.000Z,6115,6115,6115,6115,0
2023-09-08T01:19:00.000Z,6115,6115,6115,6115,0
2023-09-08T01:20:00.000Z,6115,6115,6115,6115,0
2023-09-08T01:21:00.000Z,6115,6115,6115,6115,0
2023-09-08T01:22:00.000Z,6115,6128,6108,6128,7
2023-09-08T01:23:00.000Z,6128,6148,6128,6148,3
2023-09-08T01:24:00.000Z,6148,6164,6148,6164,2
2023-09-08T01:25:00.000Z,6164,6180,6164,6180,5
2023-09-08T01:26:00.000Z,6180,6188,6180,6188,1
2023-09-08T01:27:00.000Z,6188,6221,6188,6189,6
2023-09-08T01:28:00.000Z,6189,6231,6189,6231,4
2023-09-08T01:29:00.000Z,6231,6231,6206,6206,1
2023-09-08T01:30:00.000Z,6206,6206,6206,6206,0
2023-09-08T01:31:00.000Z,6206,6206,6206,6206,0
2023-09-08T01:32:00.000Z,6206,6216,6206,6216,1
2023-09-08T01:33:00.000Z,6216,6216,6216,6216,0
2023-09-08T01:34:00.000Z,6216,6216,6216,6216,0
2023-09-08T01:35:00.000Z,6216,6221,6216,6221,1
2023-09-08T01:36:00.000Z,6221,6221,6221,6221,0
2023-09-08T01:37:00.000Z,6221,6221,6213,6213,1
2023-09-08T01:38:00.000Z,6213,6213,6212,6212,1
2023-09-08T01:39:00.000Z,6212,6212,6212,6212,0
2023-09-08T01:40:00.000Z,6212,6212,6212,6212,0
2023-09-08T01:41:00.000Z,6212,6212,6212,6212,0
2023-09-08T01:42:00.000Z,6212,6212,6210,6210,4
2023-09-08T01:43:00.000Z,6210,6213,6210,6213,1
2023-09-08T01:44:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:45:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:46:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:47:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:48:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:49:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:50:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:51:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:52:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:53:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:54:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:55:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:56:00.000Z,6213,6213,6213,6213,0
2023-09-08T01:57:00.000Z,6213,6213,6213,6213,0
