time,open,high,low,close,volume
2024-02-05T01:00:00.000Z,1942,1959,1940,1952,38985
2024-02-05T01:05:00.000Z,1952,1957,1948,1952,14137
2024-02-05T01:10:00.000Z,1952,1953,1944,1946,11480
2024-02-05T01:15:00.000Z,1946,1956,1945,1955,9727
2024-02-05T01:20:00.000Z,1955,1962,1954,1955,18353
2024-02-05T01:25:00.000Z,1955,1955,1951,1955,5963
2024-02-05T01:30:00.000Z,1955,1956,1951,1952,4972
2024-02-05T01:35:00.000Z,1952,1957,1949,1953,6539
2024-02-05T01:40:00.000Z,1953,1957,1952,1955,5381
2024-02-05T01:45:00.000Z,1955,1955,1952,1953,2963
2024-02-05T01:50:00.000Z,1953,1954,1946,1951,8650
2024-02-05T01:55:00.000Z,1951,1953,1947,1947,3219
2024-02-05T02:00:00.000Z,1947,1953,1937,1940,11994
2024-02-05T02:05:00.000Z,1940,1944,1935,1942,13069
2024-02-05T02:10:00.000Z,1942,1946,1938,1943,6826
2024-02-05T02:30:00.000Z,1943,1946,1941,1945,5361
2024-02-05T02:35:00.000Z,1945,1945,1941,1943,4117
2024-02-05T02:40:00.000Z,1943,1944,1937,1944,7628
2024-02-05T02:45:00.000Z,1944,1947,1939,1941,5272
2024-02-05T02:50:00.000Z,1941,1943,1936,1941,6962
2024-02-05T02:55:00.000Z,1941,1944,1938,1941,3404
2024-02-05T03:00:00.000Z,1941,1949,1940,1947,7239
2024-02-05T03:05:00.000Z,1947,1952,1946,1951,7347
2024-02-05T03:10:00.000Z,1951,1952,1946,1947,4124
2024-02-05T03:15:00.000Z,1947,1950,1945,1948,3678
2024-02-05T03:20:00.000Z,1948,1951,1944,1947,3816
2024-02-05T03:25:00.000Z,1947,1948,1944,1945,3329
2024-02-05T05:30:00.000Z,1951,1957,1946,1948,12498
2024-02-05T05:35:00.000Z,1948,1952,1948,1950,3015
2024-02-05T05:40:00.000Z,1950,1952,1946,1948,4326
2024-02-05T05:45:00.000Z,1948,1949,1946,1946,3281
2024-02-05T05:50:00.000Z,1946,1948,1943,1944,3834
2024-02-05T05:55:00.000Z,1944,1949,1944,1947,2288
2024-02-05T06:00:00.000Z,1947,1948,1941,1942,6962
2024-02-05T06:05:00.000Z,1942,1946,1941,1944,3411
2024-02-05T06:10:00.000Z,1944,1947,1943,1946,2006
2024-02-05T06:15:00.000Z,1946,1946,1943,1946,1455
2024-02-05T06:20:00.000Z,1946,1946,1942,1942,3067
2024-02-05T06:25:00.000Z,1942,1943,1936,1938,13899
2024-02-05T06:30:00.000Z,1938,1939,1929,1932,18984
2024-02-05T06:35:00.000Z,1932,1935,1930,1933,8794
2024-02-05T06:40:00.000Z,1933,1936,1931,1933,6923
2024-02-05T06:45:00.000Z,1933,1933,1922,1926,24128
2024-02-05T06:50:00.000Z,1926,1929,1917,1920,22630
2024-02-05T06:55:00.000Z,1920,1931,1920,1930,22222
2024-02-05T13:00:00.000Z,1926,1928,1914,1917,31430
2024-02-05T13:05:00.000Z,1917,1920,1912,1919,16570
2024-02-05T13:10:00.000Z,1919,1920,1914,1918,11767
2024-02-05T13:15:00.000Z,1918,1923,1916,1922,8969
2024-02-05T13:20:00.000Z,1922,1923,1917,1922,6744
2024-02-05T13:25:00.000Z,1922,1923,1918,1920,6109
2024-02-05T13:30:00.000Z,1920,1924,1917,1918,10366
2024-02-05T13:35:00.000Z,1918,1924,1917,1922,5345
2024-02-05T13:40:00.000Z,1922,1928,1922,1925,10376
2024-02-05T13:45:00.000Z,1925,1928,1924,1925,4522
2024-02-05T13:50:00.000Z,1925,1927,1924,1926,2555
2024-02-05T13:55:00.000Z,1926,1928,1923,1923,3690
2024-02-05T14:00:00.000Z,1923,1925,1921,1924,6016
2024-02-05T14:05:00.000Z,1924,1926,1923,1924,2231
2024-02-05T14:10:00.000Z,1924,1925,1922,1924,2306
2024-02-05T14:15:00.000Z,1924,1925,1921,1925,3498
2024-02-05T14:20:00.000Z,1925,1925,1921,1921,2875
2024-02-05T14:25:00.000Z,1921,1923,1921,1922,2642
2024-02-05T14:30:00.000Z,1922,1922,1917,1920,7585
