time,open,high,low,close,volume
2016-01-04T16:00:00.000Z,3666,3668,3580,3614,75
2016-01-05T16:00:00.000Z,3590,3648,3582,3616,44
2016-01-06T16:00:00.000Z,3638,3650,3624,3650,27
2016-01-07T16:00:00.000Z,3648,3784,3648,3782,216
2016-01-10T16:00:00.000Z,3830,3884,3714,3878,266
2016-01-11T16:00:00.000Z,3916,3978,3816,3850,247
2016-01-12T16:00:00.000Z,3848,3904,3826,3898,170
2016-01-13T16:00:00.000Z,3962,4020,3850,4020,552
2016-01-14T16:00:00.000Z,4138,4180,4020,4030,1397
2016-01-17T16:00:00.000Z,4049.3423,4192.9604,4021.4165,4051.3369,1006
2016-01-18T16:00:00.000Z,4052,4108,4050,4082,352
2016-01-19T16:00:00.000Z,4047.3423,4053.3262,3971.5454,4009.4438,775
2016-01-20T16:00:00.000Z,4024,4126,4024,4050,397
2016-01-21T16:00:00.000Z,4114,4148,4050,4080,409
2016-01-24T16:00:00.000Z,4108,4108,4040,4066,153
2016-01-25T16:00:00.000Z,4052,4120,4052,4102,168
2016-01-26T16:00:00.000Z,4102,4148,4102,4104,134
2016-01-27T16:00:00.000Z,4068,4138,4028,4064,174
2016-01-28T16:00:00.000Z,4076,4122,4048,4120,168
2016-01-31T16:00:00.000Z,4114,4126,4092,4124,133
2016-02-01T16:00:00.000Z,4134,4148,4098,4112,62
2016-02-02T16:00:00.000Z,4098,4134,4090,4126,52
2016-02-03T16:00:00.000Z,4196,4196,4130,4132,208
2016-02-04T16:00:00.000Z,4150,4186,4150,4186,75
2016-02-14T16:00:00.000Z,4240,4240,4104,4218,35
2016-02-15T16:00:00.000Z,4190,4218,4154,4214,72
2016-02-16T16:00:00.000Z,4100,4198,4100,4156,65
2016-02-17T16:00:00.000Z,4140,4190,4140,4156,32
2016-02-18T16:00:00.000Z,4150,4214,4150,4212,32
2016-02-21T16:00:00.000Z,4242,4330,4230,4302,126
2016-02-22T16:00:00.000Z,4300,4300,4252,4284,40
2016-02-23T16:00:00.000Z,4230,4290,4210,4288,69
2016-02-24T16:00:00.000Z,4290,4338,4256,4280,52
2016-02-25T16:00:00.000Z,4280,4280,4160,4258,125
2016-02-28T16:00:00.000Z,4244,4308,4232,4290,72
2016-02-29T16:00:00.000Z,4286,4446,4286,4446,228
2016-03-01T16:00:00.000Z,4488,4708,4488,4702,1080
2016-03-02T16:00:00.000Z,4738.9648,4788.854,4689.0752,4727.6548,1570
2016-03-03T16:00:00.000Z,4776.2627,4776.2627,4612.3315,4679.3716,1137
2016-03-06T16:00:00.000Z,4872.1953,4874.0474,4869.9629,4874.0474,109
2016-03-07T16:00:00.000Z,5208.6685,5214.8789,4868.8301,5152.1724,948
2016-03-08T16:00:00.000Z,4910.8354,4984.5723,4899.8682,4899.8682,639
2016-03-09T16:00:00.000Z,5074.6772,5142.7251,4677.6094,4720.8604,479
2016-03-10T16:00:00.000Z,4703.3232,4984.6768,4701.3691,4790.5845,583
2016-03-13T16:00:00.000Z,4845.3076,4962.5059,4771.0815,4819.9146,327
2016-03-14T16:00:00.000Z,4850,4880,4762,4822,278
2016-03-15T16:00:00.000Z,4817.7754,4917.7983,4782.4727,4909.9536,201
2016-03-16T16:00:00.000Z,4945.4341,4970.9434,4841.019,4933.2451,244
2016-03-17T16:00:00.000Z,5007.7261,5007.7261,4865.042,4901.1025,269
2016-03-20T16:00:00.000Z,4849.6763,4883.1763,4749.2646,4749.2646,294
2016-03-21T16:00:00.000Z,4705.7061,4800.8062,4705.7061,4719.5752,280
2016-03-22T16:00:00.000Z,4806,4806,4606,4630,243
2016-03-23T16:00:00.000Z,4624.3613,4690.0078,4556.7847,4634.6846,468
2016-03-24T16:00:00.000Z,4710.0371,4710.0371,4608.9858,4675.1719,134
2016-03-27T16:00:00.000Z,4665.2197,4714.7715,4480.0986,4552.8789,1275
2016-03-28T16:00:00.000Z,4588.7017,4588.7017,4482.3169,4527.6602,317
2016-03-29T16:00:00.000Z,4523.2754,4538.8291,4482.4458,4482.4458,176
2016-03-30T16:00:00.000Z,4450,4530,4404,4510,112
2016-03-31T16:00:00.000Z,4529.1846,4597.4014,4477.1592,4521.9873,256
2016-04-04T16:00:00.000Z,4555.1733,4562.96,4424.7466,4470.8267,207
2016-04-05T16:00:00.000Z,4508.4863,4509.375,4465.146,4509.375,122
2016-04-06T16:00:00.000Z,4504.812,4526.2437,4471.8599,4499.1367,107
2016-04-07T16:00:00.000Z,4491.4697,4499.2437,4460.3745,4497.3003,73
2016-04-10T16:00:00.000Z,4589.6968,4589.6968,4479.1514,4483.0303,215
2016-04-11T16:00:00.000Z,4511.5679,4519.749,4417.6377,4502.3135,279
