time,open,high,low,close,volume
2016-01-05T00:00:00.000Z,3796,3830,3762,3802,34
2016-01-05T04:00:00.000Z,3802,3828,3800,3800,21
2016-01-06T00:00:00.000Z,3758,3804,3758,3798,19
2016-01-06T04:00:00.000Z,3798,3854,3798,3830,25
2016-01-07T00:00:00.000Z,3844,3848,3794,3802,19
2016-01-07T04:00:00.000Z,3802,3818,3796,3800,7
2016-01-08T00:00:00.000Z,3828,3970,3828,3964,246
2016-01-08T04:00:00.000Z,3964,3970,3914,3970,65
2016-01-11T00:00:00.000Z,3932.4192,4103.1499,3932.4192,4064.3474,123
2016-01-11T04:00:00.000Z,4064.3474,4083.7485,4058.5269,4075.988,30
2016-01-12T00:00:00.000Z,4070,4120,4012,4082,91
2016-01-12T04:00:00.000Z,4082,4130,4056,4102,73
2016-01-13T00:00:00.000Z,4100,4132,4096,4108,84
2016-01-13T04:00:00.000Z,4108,4128,4084,4122,60
2016-01-14T00:00:00.000Z,4130,4244,4124,4238,247
2016-01-14T04:00:00.000Z,4232,4278,4230,4278,366
2016-01-15T00:00:00.000Z,4278,4398,4276,4276,1248
2016-01-15T04:00:00.000Z,4276,4276,4202,4246,584
2016-01-18T00:00:00.000Z,4301.4424,4323.231,4186.5576,4259.8462,603
2016-01-18T04:00:00.000Z,4259.8462,4281.6348,4238.0576,4247.9614,256
2016-01-19T00:00:00.000Z,4276,4280,4212,4262,237
2016-01-19T04:00:00.000Z,4262,4296,4252,4262,116
2016-01-20T00:00:00.000Z,4224,4240,4172,4198,231
2016-01-20T04:00:00.000Z,4196,4226,4190,4220,52
2016-01-21T00:00:00.000Z,4206,4308,4206,4280,302
2016-01-21T04:00:00.000Z,4280,4280,4252,4264,136
2016-01-22T00:00:00.000Z,4298,4356,4262,4290,574
2016-01-22T04:00:00.000Z,4294,4308,4286,4302,108
2016-01-25T00:00:00.000Z,4297.9897,4329.5718,4266.4072,4297.9897,103
2016-01-25T04:00:00.000Z,4297.9897,4301.9375,4284.1724,4284.1724,52
2016-01-26T00:00:00.000Z,4268,4342,4268,4330,157
2016-01-26T04:00:00.000Z,4330,4344,4320,4320,119
2016-01-27T00:00:00.000Z,4338,4368,4324,4334,173
2016-01-27T04:00:00.000Z,4334,4346,4314,4320,56
2016-01-28T00:00:00.000Z,4310.1919,4367.5366,4233.0732,4312.1694,59
2016-01-28T04:00:00.000Z,4312.1694,4312.1694,4268.6665,4274.5986,86
2016-01-29T00:00:00.000Z,4280,4346,4252,4308,216
2016-01-29T04:00:00.000Z,4304,4342,4300,4342,154
2016-02-01T00:00:00.000Z,4372,4372,4318,4334,133
2016-02-01T04:00:00.000Z,4334,4342,4328,4342,30
2016-02-02T00:00:00.000Z,4360,4364,4322,4340,71
2016-02-02T04:00:00.000Z,4340,4340,4310,4330,40
2016-02-03T00:00:00.000Z,4308,4332,4306,4326,45
2016-02-03T04:00:00.000Z,4326,4358,4322,4350,81
2016-02-04T00:00:00.000Z,4386,4448,4368,4386,190
2016-02-04T04:00:00.000Z,4386,4428,4380,4382,77
2016-02-05T00:00:00.000Z,4402,4428,4380,4412,30
2016-02-05T04:00:00.000Z,4414,4444,4400,4444,72
2016-02-15T00:00:00.000Z,4410,4442,4404,4418,13
2016-02-15T04:00:00.000Z,4418,4450,4418,4448,22
2016-02-16T00:00:00.000Z,4452,4452,4414,4426,32
2016-02-16T04:00:00.000Z,4426,4516,4426,4442,28
2016-02-17T00:00:00.000Z,4418,4442,4418,4436,21
2016-02-17T04:00:00.000Z,4436,4436,4422,4422,24
2016-02-18T00:00:00.000Z,4424,4460,4424,4446,6
2016-02-18T04:00:00.000Z,4446,4448,4418,4418,18
2016-02-19T00:00:00.000Z,4448,4500,4446,4500,68
2016-02-19T04:00:00.000Z,4500,4512,4494,4512,32
2016-02-22T00:00:00.000Z,4548,4620,4548,4600,125
2016-02-22T04:00:00.000Z,4600,4620,4600,4620,28
2016-02-23T00:00:00.000Z,4594,4602,4560,4598,47
2016-02-23T04:00:00.000Z,4598,4598,4530,4550,43
2016-02-24T00:00:00.000Z,4542,4572,4540,4556,14
2016-02-24T04:00:00.000Z,4556,4586,4556,4578,22
2016-02-25T00:00:00.000Z,4618,4630,4578,4602,55
2016-02-25T04:00:00.000Z,4602,4626,4532,4552,82
2016-02-26T00:00:00.000Z,4554,4570,4500,4570,92
2016-02-26T04:00:00.000Z,4570,4592,4552,4586,19
2016-02-29T00:00:00.000Z,4632,4632,4610,4632,35
2016-02-29T04:00:00.000Z,4630,4694,4630,4668,43
2016-03-01T00:00:00.000Z,4706,4786,4676,4784,188
2016-03-01T04:00:00.000Z,4782,4832,4782,4832,177
2016-03-02T00:00:00.000Z,4830,4974,4808,4974,782
2016-03-02T04:00:00.000Z,4974,4974,4974,4974,4
2016-03-03T00:00:00.000Z,5162,5178,5046,5078,1350
2016-03-03T04:00:00.000Z,5078,5104,5050,5068,215
2016-03-04T00:00:00.000Z,5076.3428,5189.5356,4998.895,5100.1729,729
2016-03-04T04:00:00.000Z,5100.1729,5129.292,5077.6602,5116.8101,387
2016-03-07T00:00:00.000Z,5297.1406,5299.0361,5297.1406,5299.0361,58
2016-03-07T04:00:00.000Z,5299.0361,5299.0361,5299.0361,5299.0361,31
2016-03-08T00:00:00.000Z,5667.7168,5669.5352,5354.3145,5480.4092,651
2016-03-08T04:00:00.000Z,5482.3916,5666.7656,5482.3916,5548.6016,247
2016-03-09T00:00:00.000Z,5346.4165,5423.6782,5320.6626,5320.7192,664
2016-03-09T04:00:00.000Z,5328.6436,5384.978,5319.6025,5319.6025,223
2016-03-10T00:00:00.000Z,5537.7217,5537.7217,5162.0176,5221.2002,453
2016-03-10T04:00:00.000Z,5221.2002,5264.8174,5179.9307,5179.9307,90
2016-03-11T00:00:00.000Z,5223.2422,5315.8716,5140.3501,5254.2217,228
2016-03-11T04:00:00.000Z,5254.2217,5254.2217,5199.0381,5238.4546,120
2016-03-14T00:00:00.000Z,5253.5913,5382.2915,5206.0713,5288.0801,192
2016-03-14T04:00:00.000Z,5288.0801,5311.8398,5202.9399,5218.4229,183
2016-03-15T00:00:00.000Z,5200,5298.0234,5200,5298.0234,546
2016-03-15T04:00:00.000Z,5298.0234,5353.312,5280.2607,5301.9971,306
2016-03-16T00:00:00.000Z,5344.1968,5359.7275,5307.3105,5322.8413,290
2016-03-16T04:00:00.000Z,5322.8413,5447.1416,5307.3105,5447.1416,286
2016-03-17T00:00:00.000Z,5482.9058,5572.1177,5443.5859,5543.4312,991
2016-03-17T04:00:00.000Z,5543.4312,5553.1685,5504.4824,5538.9028,116
2016-03-18T00:00:00.000Z,5638.416,5657.7329,5555.5898,5583.2671,374
2016-03-18T04:00:00.000Z,5590.9937,5596.8633,5541.6582,5568.2051,245
2016-03-21T00:00:00.000Z,5528.7778,5594.1353,5419.9868,5441.4761,820
2016-03-21T04:00:00.000Z,5441.4761,5497.0874,5363.1104,5363.1104,305
