time,open,high,low,close,volume
2024-03-27T01:00:00.000Z,4510,4516,4510,4515,5470
2024-03-27T01:05:00.000Z,4515,4518,4510,4512,3661
2024-03-27T01:10:00.000Z,4512,4514,4509,4513,1837
2024-03-27T01:15:00.000Z,4513,4519,4513,4516,3522
2024-03-27T01:20:00.000Z,4516,4516,4501,4503,7185
2024-03-27T01:25:00.000Z,4503,4504,4499,4503,6905
2024-03-27T01:30:00.000Z,4503,4512,4502,4509,5451
2024-03-27T01:35:00.000Z,4509,4514,4507,4512,2365
2024-03-27T01:40:00.000Z,4512,4514,4509,4513,1930
2024-03-27T01:45:00.000Z,4513,4519,4509,4515,4573
2024-03-27T01:50:00.000Z,4515,4516,4508,4512,2803
2024-03-27T01:55:00.000Z,4512,4515,4507,4507,3134
2024-03-27T02:00:00.000Z,4507,4513,4505,4508,2883
2024-03-27T02:05:00.000Z,4508,4509,4506,4507,1629
2024-03-27T02:10:00.000Z,4507,4508,4505,4506,2448
2024-03-27T02:30:00.000Z,4506,4506,4501,4501,2834
2024-03-27T02:35:00.000Z,4501,4504,4499,4502,4503
2024-03-27T02:40:00.000Z,4502,4503,4497,4497,5138
2024-03-27T02:45:00.000Z,4497,4499,4494,4495,4148
2024-03-27T02:50:00.000Z,4495,4500,4495,4497,5479
2024-03-27T02:55:00.000Z,4497,4498,4495,4496,1957
2024-03-27T03:00:00.000Z,4496,4497,4494,4494,2674
2024-03-27T03:05:00.000Z,4494,4495,4491,4494,3155
2024-03-27T03:10:00.000Z,4494,4494,4481,4486,11667
2024-03-27T03:15:00.000Z,4486,4488,4483,4483,5174
2024-03-27T03:20:00.000Z,4483,4488,4482,4483,3650
2024-03-27T03:25:00.000Z,4483,4486,4479,4483,5459
2024-03-27T05:30:00.000Z,4483,4483,4475,4480,7763
2024-03-27T05:35:00.000Z,4480,4489,4479,4486,5289
2024-03-27T05:40:00.000Z,4486,4492,4485,4492,4654
2024-03-27T05:45:00.000Z,4492,4492,4487,4489,2975
2024-03-27T05:50:00.000Z,4489,4499,4487,4495,7656
2024-03-27T05:55:00.000Z,4495,4495,4490,4491,2482
2024-03-27T06:00:00.000Z,4491,4499,4488,4499,3344
2024-03-27T06:05:00.000Z,4499,4503,4497,4500,7200
2024-03-27T06:10:00.000Z,4500,4502,4497,4499,2773
2024-03-27T06:15:00.000Z,4499,4503,4495,4495,4293
2024-03-27T06:20:00.000Z,4495,4499,4495,4498,1564
2024-03-27T06:25:00.000Z,4498,4504,4498,4501,3745
2024-03-27T06:30:00.000Z,4501,4502,4490,4490,4672
2024-03-27T06:35:00.000Z,4490,4495,4488,4489,3175
2024-03-27T06:40:00.000Z,4489,4490,4487,4489,3016
2024-03-27T06:45:00.000Z,4489,4491,4480,4483,8169
2024-03-27T06:50:00.000Z,4483,4490,4483,4487,4061
2024-03-27T06:55:00.000Z,4487,4492,4486,4487,7330
2024-03-27T13:00:00.000Z,4487,4488,4478,4481,14452
2024-03-27T13:05:00.000Z,4481,4490,4480,4490,6441
2024-03-27T13:10:00.000Z,4490,4492,4478,4479,6899
2024-03-27T13:15:00.000Z,4479,4486,4472,4485,13822
2024-03-27T13:20:00.000Z,4485,4486,4481,4482,3270
2024-03-27T13:25:00.000Z,4482,4482,4476,4478,3450
2024-03-27T13:30:00.000Z,4478,4482,4476,4481,2782
2024-03-27T13:35:00.000Z,4481,4486,4480,4485,2823
2024-03-27T13:40:00.000Z,4485,4485,4480,4483,1597
2024-03-27T13:45:00.000Z,4483,4485,4480,4485,1089
2024-03-27T13:50:00.000Z,4485,4487,4483,4486,1579
