time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,832,832,824.3,828.8,200198
2024-03-11T02:00:00.000Z,828.8,829.9,823.2,825.4,51316
2024-03-11T03:00:00.000Z,825.4,828.2,823,826.5,33329
2024-03-11T05:00:00.000Z,825.7,825.7,814.1,817.9,85553
2024-03-11T06:00:00.000Z,817.9,822.2,812.1,812.5,127493
2024-03-11T13:00:00.000Z,810.4,814.2,808.7,810.8,116282
2024-03-11T14:00:00.000Z,810.8,815.3,808.6,811.4,67626
2024-03-12T01:00:00.000Z,812.4,819.6,810.9,812.4,133971
2024-03-12T02:00:00.000Z,812.4,812.6,806.2,809.1,92674
2024-03-12T03:00:00.000Z,809.1,812.3,806.5,807.8,38765
2024-03-12T05:00:00.000Z,807.8,816.2,807.6,815.1,64081
2024-03-12T06:00:00.000Z,815.1,820.2,809.6,816.1,118028
2024-03-12T13:00:00.000Z,819.2,821.8,812.8,814.3,107807
2024-03-12T14:00:00.000Z,814.3,815.6,806.1,808.1,94210
2024-03-13T01:00:00.000Z,807.3,812.6,805.4,805.6,117670
2024-03-13T02:00:00.000Z,805.6,805.9,799.3,802.4,90385
2024-03-13T03:00:00.000Z,802.4,802.9,795.7,798.6,56465
2024-03-13T05:00:00.000Z,798.9,801.1,795.2,799.2,63235
2024-03-13T06:00:00.000Z,799.2,801.5,790.4,794.6,146989
2024-03-13T13:00:00.000Z,797.9,801.1,791.1,792.6,137875
2024-03-13T14:00:00.000Z,792.6,802.9,791.6,802.5,113629
2024-03-14T01:00:00.000Z,803.5,806.1,797.8,804.9,103850
2024-03-14T02:00:00.000Z,804.9,805.4,797,797.5,56733
2024-03-14T03:00:00.000Z,797.5,798.6,792.5,795,49113
2024-03-14T05:00:00.000Z,793.2,793.3,784.5,788.7,110087
2024-03-14T06:00:00.000Z,788.7,797.1,781.6,784.3,147624
2024-03-14T13:00:00.000Z,780.8,785,777.9,780.5,133840
2024-03-14T14:00:00.000Z,780.5,784.8,777,780.4,88549
2024-03-15T01:00:00.000Z,779.5,792.2,776.7,788.9,152363
2024-03-15T02:00:00.000Z,788.9,790,783.2,783.2,53664
2024-03-15T03:00:00.000Z,783.2,791.1,782.7,787.4,31716
2024-03-15T05:00:00.000Z,786.9,788.4,780.5,780.7,54208
2024-03-15T06:00:00.000Z,780.7,782.8,766,766.2,200452
2024-03-15T13:00:00.000Z,764.2,768.7,755.9,757.4,220006
2024-03-15T14:00:00.000Z,757.4,775,748.7,774,227383
