time,open,high,low,close,volume
2023-07-21T01:00:00.000Z,16003.8671,16003.8671,15964.3007,15986.6161,2310
2023-07-21T01:01:00.000Z,15986.6161,15997.21,15970.48,15994.9316,1013
2023-07-21T01:02:00.000Z,15994.9316,16009.722,15992.4796,16005.2577,757
2023-07-21T01:03:00.000Z,16005.2577,16009.722,15991.3835,16003.1207,454
2023-07-21T01:04:00.000Z,16003.1207,16012.1379,15993.9154,16009.865,414
2023-07-21T01:05:00.000Z,16009.865,16026.5272,16008.6585,16019.558,776
2023-07-21T01:06:00.000Z,16019.558,16019.558,15990.5591,15990.5591,455
2023-07-21T01:07:00.000Z,15990.5591,15993.9977,15980.6709,15980.6709,349
2023-07-21T01:08:00.000Z,15980.6709,15980.6709,15935.0299,15946.6232,1481
2023-07-21T01:09:00.000Z,15946.6232,15946.6232,15919.2203,15932.498,1368
2023-07-21T01:10:00.000Z,15932.498,15947.0702,15930.3849,15937.8321,653
2023-07-21T01:11:00.000Z,15937.8321,15942.0174,15918.7165,15919.6661,655
2023-07-21T01:12:00.000Z,15919.6661,15947.9057,15919.6661,15947.9057,448
2023-07-21T01:13:00.000Z,15947.9057,15947.9057,15925.8376,15929.6103,531
2023-07-21T01:14:00.000Z,15929.6103,15934.3393,15925.2291,15928.6407,474
2023-07-21T01:15:00.000Z,15928.6407,15931.3876,15899.461,15904.4131,789
2023-07-21T01:16:00.000Z,15904.4131,15910.3836,15895.2118,15905.7386,599
2023-07-21T01:17:00.000Z,15905.7386,15905.7386,15890.3331,15891.3996,528
2023-07-21T01:18:00.000Z,15891.3996,15903.3997,15884.4943,15899.998,439
2023-07-21T01:19:00.000Z,15899.998,15906.4634,15897.7659,15902.7051,228
2023-07-21T01:20:00.000Z,15902.7051,15905.1179,15896.5466,15900.473,346
2023-07-21T01:21:00.000Z,15900.473,15917.9928,15900.473,15916.9671,249
2023-07-21T01:22:00.000Z,15916.9671,15919.611,15911.984,15916.5682,226
2023-07-21T01:23:00.000Z,15916.5682,15923.9602,15916.5682,15923.0056,140
2023-07-21T01:24:00.000Z,15923.0056,15923.0056,15916.1285,15919.352,195
2023-07-21T01:25:00.000Z,15919.352,15926.8431,15919.352,15924.611,138
2023-07-21T01:26:00.000Z,15924.611,15936.5872,15924.611,15932.1229,271
2023-07-21T01:27:00.000Z,15932.1229,15938.6659,15930.1905,15935.2273,177
2023-07-21T01:28:00.000Z,15935.2273,15948.6241,15932.9952,15948.6241,353
2023-07-21T01:29:00.000Z,15948.6241,15960.6453,15946.392,15953.601,440
2023-07-21T01:30:00.000Z,15953.601,15955.7141,15942.0789,15942.5937,215
2023-07-21T01:31:00.000Z,15942.5937,15944.8259,15935.2497,15940.5246,260
2023-07-21T01:32:00.000Z,15940.5246,15950.5444,15937.6856,15948.3123,293
2023-07-21T01:33:00.000Z,15948.3123,15956.2498,15946.0802,15950.3984,225
2023-07-21T01:34:00.000Z,15950.3984,15955.5582,15950.3984,15950.5791,126
2023-07-21T01:35:00.000Z,15950.5791,15952.8112,15948.9769,15952.6136,96
2023-07-21T01:36:00.000Z,15952.6136,15953.8001,15945.2873,15945.2873,77
2023-07-21T01:37:00.000Z,15945.2873,15951.0092,15944.8676,15951.0092,68
2023-07-21T01:38:00.000Z,15951.0092,15951.0092,15943.562,15947.6483,147
2023-07-21T01:39:00.000Z,15947.6483,15948.1592,15931.5699,15935.0085,317
2023-07-21T01:40:00.000Z,15935.0085,15942.8984,15929.8894,15942.8984,121
2023-07-21T01:41:00.000Z,15942.8984,15945.1305,15937.047,15937.047,74
2023-07-21T01:42:00.000Z,15937.047,15939.2791,15931.0726,15931.0726,90
2023-07-21T01:43:00.000Z,15931.0726,15937.9696,15927.3269,15933.2056,131
2023-07-21T01:44:00.000Z,15933.2056,15935.4377,15928.6453,15932.0839,83
2023-07-21T01:45:00.000Z,15932.0839,15934.316,15922.2791,15922.2791,166
2023-07-21T01:46:00.000Z,15922.2791,15925.7176,15921.0726,15924.1771,113
2023-07-21T01:47:00.000Z,15924.1771,15929.6597,15922.9706,15929.6597,87
2023-07-21T01:48:00.000Z,15929.6597,15931.8918,15921.613,15926.0773,95
2023-07-21T01:49:00.000Z,15926.0773,15932.6546,15921.613,15932.6546,59
2023-07-21T01:50:00.000Z,15932.6546,15935.4424,15928.0504,15935.4424,65
2023-07-21T01:51:00.000Z,15935.4424,15937.8552,15930.6783,15932.9105,130
2023-07-21T01:52:00.000Z,15932.9105,15936.353,15930.6783,15933.9402,68
2023-07-21T01:53:00.000Z,15933.9402,15936.1723,15931.5273,15933.7595,90
2023-07-21T01:54:00.000Z,15933.7595,15944.805,15931.5273,15943.5986,202
2023-07-21T01:55:00.000Z,15943.5986,15946.0115,15935.9955,15938.2277,82
2023-07-21T01:56:00.000Z,15938.2277,15947.8248,15938.2277,15947.8248,111
2023-07-21T01:57:00.000Z,15947.8248,15948.9904,15943.0607,15946.7144,65
2023-07-21T01:58:00.000Z,15946.7144,15946.7144,15938.9723,15939.998,81
2023-07-21T01:59:00.000Z,15939.998,15943.4366,15937.7659,15941.2044,53
2023-07-21T02:00:00.000Z,15941.2044,15951.2044,15941.2044,15951.2044,75
2023-07-21T02:01:00.000Z,15951.2044,15951.2044,15947.4587,15948.1503,38
2023-07-21T02:02:00.000Z,15948.1503,15950.3824,15946.9438,15946.9438,20
2023-07-21T02:03:00.000Z,15946.9438,15949.176,15945.1305,15947.3627,30
2023-07-21T02:04:00.000Z,15947.3627,15950.0249,15946.0372,15947.7928,56
2023-07-21T02:05:00.000Z,15947.7928,15948.6995,15937.2621,15937.2621,50
2023-07-21T02:06:00.000Z,15937.2621,15939.4942,15936.8432,15936.8432,25
2023-07-21T02:07:00.000Z,15936.8432,15944.7461,15936.8432,15944.7461,79
2023-07-21T02:08:00.000Z,15944.7461,15948.6995,15942.5139,15944.2352,27
2023-07-21T02:09:00.000Z,15944.2352,15951.1123,15943.9354,15951.1123,45
2023-07-21T02:10:00.000Z,15951.1123,15954.5509,15951.1123,15952.3187,67
2023-07-21T02:11:00.000Z,15952.3187,15957.4785,15952.3187,15956.2721,54
2023-07-21T02:12:00.000Z,15956.2721,15956.2721,15949.7156,15949.7156,83
2023-07-21T02:13:00.000Z,15949.7156,15954.1799,15949.2008,15949.3367,64
2023-07-21T02:14:00.000Z,15949.3367,15952.7753,15948.311,15950.5432,105
2023-07-21T02:30:00.000Z,15950.5432,15960.3752,15949.3367,15957.7881,283
2023-07-21T02:31:00.000Z,15957.7881,15979.7732,15956.5817,15977.9598,403
2023-07-21T02:32:00.000Z,15977.9598,15982.7769,15973.1958,15981.8702,261
2023-07-21T02:33:00.000Z,15981.8702,15992.8137,15979.6381,15986.5704,304
2023-07-21T02:34:00.000Z,15986.5704,15986.5704,15975.7399,15976.0397,162
2023-07-21T02:35:00.000Z,15976.0397,15980.3849,15973.8076,15978.6676,116
2023-07-21T02:36:00.000Z,15978.6676,15983.3126,15976.1357,15979.9931,94
2023-07-21T02:37:00.000Z,15979.9931,15984.519,15977.761,15980.1738,85
