time,open,high,low,close,volume
2023-03-13T07:00:00.000Z,4239,4240,4223,4223,138
2023-03-13T07:15:00.000Z,4222,4226,4217,4218,80
2023-03-13T07:30:00.000Z,4219,4230,4218,4228,140
2023-03-13T07:45:00.000Z,4229,4234,4226,4226,138
2023-03-13T08:00:00.000Z,4227,4231,4202,4211,286
2023-03-13T08:15:00.000Z,4210,4213,4186,4187,308
2023-03-13T08:30:00.000Z,4186,4190,4165,4166,406
2023-03-13T08:45:00.000Z,4165,4165,4136,4143,441
2023-03-13T09:00:00.000Z,4142,4146,4120,4135,706
2023-03-13T09:15:00.000Z,4134,4136,4094,4102,626
2023-03-13T09:30:00.000Z,4101,4106,4076,4105,742
2023-03-13T09:45:00.000Z,4106,4123,4100,4101,558
2023-03-13T10:00:00.000Z,4100,4120,4099,4099,482
2023-03-13T10:15:00.000Z,4100,4115,4093,4113,348
2023-03-13T10:30:00.000Z,4114,4115,4098,4098,357
2023-03-13T10:45:00.000Z,4098,4135,4096,4128,348
2023-03-13T11:00:00.000Z,4129,4145,4128,4133,507
2023-03-13T11:15:00.000Z,4134,4136,4119,4123,345
2023-03-13T11:30:00.000Z,4123,4127,4111,4113,294
2023-03-13T11:45:00.000Z,4114,4126,4111,4115,391
2023-03-13T12:00:00.000Z,4114,4121,4095,4107,520
2023-03-13T12:15:00.000Z,4108,4115,4103,4108,619
2023-03-13T12:30:00.000Z,4107,4108,4085,4085,454
2023-03-13T12:45:00.000Z,4084,4097,4080,4095,504
2023-03-13T13:00:00.000Z,4096,4105,4090,4091,545
2023-03-13T13:15:00.000Z,4090,4098,4079,4081,422
2023-03-13T13:30:00.000Z,4082,4089,4068,4077,748
2023-03-13T13:45:00.000Z,4076,4120,4075,4116,706
2023-03-13T14:00:00.000Z,4115,4120,4104,4105,729
2023-03-13T14:15:00.000Z,4105,4105,4092,4094,739
2023-03-13T14:30:00.000Z,4096,4109,4089,4102,559
2023-03-13T14:45:00.000Z,4101,4115,4083,4115,683
2023-03-13T15:00:00.000Z,4114,4120,4103,4103,530
2023-03-13T15:15:00.000Z,4104,4125,4102,4123,534
2023-03-13T15:30:00.000Z,4124,4128,4100,4104,499
2023-03-13T15:45:00.000Z,4105,4117,4103,4113,552
2023-03-13T16:00:00.000Z,4114,4123,4104,4112,480
2023-03-13T16:15:00.000Z,4111,4117,4091,4100,358
2023-03-13T16:30:00.000Z,4099,4109,4090,4102,385
2023-03-13T16:45:00.000Z,4101,4104,4083,4087,406
2023-03-13T17:00:00.000Z,4087,4095,4081,4093,355
2023-03-13T17:15:00.000Z,4092,4099,4089,4095,392
2023-03-13T17:30:00.000Z,4094,4104,4089,4102,315
2023-03-13T17:45:00.000Z,4102,4106,4097,4102,229
2023-03-13T18:00:00.000Z,4103,4107,4102,4104,322
2023-03-13T18:15:00.000Z,4105,4111,4104,4108,307
2023-03-13T18:30:00.000Z,4109,4114,4101,4107,325
2023-03-13T18:45:00.000Z,4106,4110,4104,4109,275
2023-03-13T19:00:00.000Z,4108,4111,4102,4107,321
2023-03-13T19:15:00.000Z,4108,4108,4093,4096,358
2023-03-13T19:30:00.000Z,4097,4107,4095,4103,311
2023-03-13T19:45:00.000Z,4102,4103,4089,4092,321
2023-03-13T20:00:00.000Z,4091,4096,4091,4093,48
2023-03-13T20:15:00.000Z,4094,4094,4089,4089,31
2023-03-13T20:30:00.000Z,4090,4093,4089,4092,45
2023-03-13T20:45:00.000Z,4093,4097,4092,4093,22
2023-03-14T07:00:00.000Z,4091,4112,4091,4108,178
2023-03-14T07:15:00.000Z,4107,4109,4095,4096,183
2023-03-14T07:30:00.000Z,4097,4102,4093,4093,144
2023-03-14T07:45:00.000Z,4094,4103,4090,4100,153
2023-03-14T08:00:00.000Z,4098,4115,4097,4111,406
2023-03-14T08:15:00.000Z,4112,4114,4084,4099,450
2023-03-14T08:30:00.000Z,4098,4118,4097,4107,374
2023-03-14T08:45:00.000Z,4106,4116,4104,4114,315
2023-03-14T09:00:00.000Z,4115,4117,4094,4097,326
2023-03-14T09:15:00.000Z,4096,4103,4089,4100,303
2023-03-14T09:30:00.000Z,4100,4111,4095,4107,360
2023-03-14T09:45:00.000Z,4108,4111,4094,4099,288
2023-03-14T10:00:00.000Z,4098,4107,4094,4103,291
2023-03-14T10:15:00.000Z,4104,4110,4098,4110,245
2023-03-14T10:30:00.000Z,4109,4111,4100,4103,143
2023-03-14T10:45:00.000Z,4102,4110,4099,4107,171
2023-03-14T11:00:00.000Z,4106,4118,4105,4115,228
2023-03-14T11:15:00.000Z,4116,4127,4113,4123,209
2023-03-14T11:30:00.000Z,4122,4129,4119,4129,156
2023-03-14T11:45:00.000Z,4128,4130,4123,4125,181
2023-03-14T12:00:00.000Z,4126,4132,4125,4130,245
2023-03-14T12:15:00.000Z,4129,4130,4120,4120,332
2023-03-14T12:30:00.000Z,4119,4141,4107,4138,1095
2023-03-14T12:45:00.000Z,4138,4163,4135,4156,652
2023-03-14T13:00:00.000Z,4156,4165,4152,4165,464
2023-03-14T13:15:00.000Z,4164,4173,4162,4172,328
2023-03-14T13:30:00.000Z,4171,4183,4169,4177,500
2023-03-14T13:45:00.000Z,4178,4185,4169,4173,679
2023-03-14T14:00:00.000Z,4174,4183,4165,4173,536
2023-03-14T14:15:00.000Z,4172,4186,4170,4186,467
2023-03-14T14:30:00.000Z,4185,4187,4177,4178,306
2023-03-14T14:45:00.000Z,4179,4184,4165,4166,261
2023-03-14T15:00:00.000Z,4167,4182,4163,4181,225
2023-03-14T15:15:00.000Z,4182,4187,4180,4185,197
2023-03-14T15:30:00.000Z,4184,4188,4182,4184,221
2023-03-14T15:45:00.000Z,4185,4185,4176,4179,196
2023-03-14T16:00:00.000Z,4178,4184,4176,4184,169
2023-03-14T16:15:00.000Z,4183,4184,4170,4171,146
2023-03-14T16:30:00.000Z,4172,4179,4167,4167,149
2023-03-14T16:45:00.000Z,4168,4172,4160,4165,232
2023-03-14T17:00:00.000Z,4166,4168,4151,4151,234
2023-03-14T17:15:00.000Z,4150,4160,4143,4158,406
2023-03-14T17:30:00.000Z,4157,4166,4155,4155,392
2023-03-14T17:45:00.000Z,4154,4159,4152,4156,384
2023-03-14T18:00:00.000Z,4157,4158,4145,4151,282
