time,open,high,low,close,volume
2024-02-05T07:00:00.000Z,7595,7601,7594,7596,58
2024-02-05T07:05:00.000Z,7597,7597,7591,7591,52
2024-02-05T07:10:00.000Z,7590,7592,7589,7589,28
2024-02-05T07:15:00.000Z,7588,7594,7588,7593,20
2024-02-05T07:20:00.000Z,7592,7593,7590,7593,42
2024-02-05T07:25:00.000Z,7593,7595,7592,7592,18
2024-02-05T07:30:00.000Z,7593,7593,7589,7589,41
2024-02-05T07:35:00.000Z,7589,7593,7589,7591,21
2024-02-05T07:40:00.000Z,7592,7594,7591,7594,14
2024-02-05T07:45:00.000Z,7594,7594,7590,7591,30
2024-02-05T07:50:00.000Z,7592,7593,7589,7593,35
2024-02-05T07:55:00.000Z,7593,7593,7581,7586,66
2024-02-05T08:00:00.000Z,7587,7597,7586,7595,267
2024-02-05T08:05:00.000Z,7596,7603,7596,7602,212
2024-02-05T08:10:00.000Z,7603,7607,7598,7605,182
2024-02-05T08:15:00.000Z,7605,7606,7599,7602,172
2024-02-05T08:20:00.000Z,7603,7606,7601,7602,156
2024-02-05T08:25:00.000Z,7602,7603,7601,7602,94
2024-02-05T08:30:00.000Z,7601,7605,7599,7602,116
2024-02-05T08:35:00.000Z,7601,7602,7592,7593,121
2024-02-05T08:40:00.000Z,7593,7597,7591,7592,127
2024-02-05T08:45:00.000Z,7592,7593,7589,7592,98
2024-02-05T08:50:00.000Z,7593,7594,7587,7588,101
2024-02-05T08:55:00.000Z,7587,7591,7586,7588,99
2024-02-05T09:00:00.000Z,7589,7591,7583,7585,137
2024-02-05T09:05:00.000Z,7585,7588,7581,7581,101
2024-02-05T09:10:00.000Z,7582,7587,7581,7586,94
2024-02-05T09:15:00.000Z,7586,7586,7576,7578,130
2024-02-05T09:20:00.000Z,7577,7582,7577,7580,60
2024-02-05T09:25:00.000Z,7580,7584,7577,7579,112
2024-02-05T09:30:00.000Z,7578,7582,7576,7580,101
2024-02-05T09:35:00.000Z,7580,7582,7578,7580,103
2024-02-05T09:40:00.000Z,7581,7582,7577,7581,91
2024-02-05T09:45:00.000Z,7582,7584,7579,7581,109
2024-02-05T09:50:00.000Z,7581,7583,7578,7580,121
2024-02-05T09:55:00.000Z,7581,7584,7580,7582,114
2024-02-05T10:00:00.000Z,7582,7591,7582,7591,112
2024-02-05T10:05:00.000Z,7591,7592,7588,7590,82
2024-02-05T10:10:00.000Z,7590,7591,7587,7588,77
2024-02-05T10:15:00.000Z,7588,7591,7588,7589,95
2024-02-05T10:20:00.000Z,7589,7589,7586,7589,53
2024-02-05T10:25:00.000Z,7589,7593,7588,7590,50
2024-02-05T10:30:00.000Z,7591,7597,7590,7597,66
2024-02-05T10:35:00.000Z,7598,7599,7595,7599,109
