time,open,high,low,close,volume
2021-08-02T11:00:00.000Z,15524,15565,15509,15558,3708
2021-08-02T12:00:00.000Z,15558,15574,15544,15571,2973
2021-08-02T13:00:00.000Z,15570,15616,15569,15586,4134
2021-08-02T14:00:00.000Z,15585,15604,15562,15582,5453
2021-08-02T15:00:00.000Z,15583,15598,15542,15543,3933
2021-08-02T16:00:00.000Z,15542,15554,15522,15547,3507
2021-08-02T17:00:00.000Z,15547,15559,15538,15548,2271
2021-08-02T18:00:00.000Z,15548,15558,15539,15541,2166
2021-08-02T19:00:00.000Z,15542,15544,15509,15517,2566
2021-08-03T06:00:00.000Z,15564,15581,15551,15564,1452
2021-08-03T07:00:00.000Z,15562,15583,15514,15573,4582
2021-08-03T08:00:00.000Z,15574,15584,15564,15583,2039
2021-08-03T09:00:00.000Z,15582,15593,15564,15583,1515
2021-08-03T10:00:00.000Z,15582,15598,15580,15597,1271
2021-08-03T11:00:00.000Z,15598,15604,15586,15598,1043
2021-08-03T12:00:00.000Z,15599,15601,15538,15552,1790
2021-08-03T13:00:00.000Z,15551,15565,15504,15508,2889
2021-08-03T14:00:00.000Z,15507,15559,15490,15551,3791
2021-08-03T15:00:00.000Z,15549,15580,15546,15579,2705
2021-08-03T16:00:00.000Z,15580,15581,15562,15574,1116
2021-08-03T17:00:00.000Z,15575,15584,15573,15581,992
2021-08-03T18:00:00.000Z,15582,15589,15576,15582,970
2021-08-03T19:00:00.000Z,15583,15593,15576,15583,1178
2021-08-04T06:00:00.000Z,15592,15626,15585,15621,1376
2021-08-04T07:00:00.000Z,15622,15681,15621,15634,5040
2021-08-04T08:00:00.000Z,15633,15661,15612,15648,3670
2021-08-04T09:00:00.000Z,15648,15691,15640,15674,2581
2021-08-04T10:00:00.000Z,15674,15691,15670,15674,1999
2021-08-04T11:00:00.000Z,15675,15675,15644,15647,2337
2021-08-04T12:00:00.000Z,15647,15648,15595,15615,3398
2021-08-04T13:00:00.000Z,15613,15669,15603,15666,4231
2021-08-04T14:00:00.000Z,15667,15709,15666,15692,5443
2021-08-04T15:00:00.000Z,15693,15700,15672,15686,3327
2021-08-04T16:00:00.000Z,15686,15688,15672,15680,1614
2021-08-04T17:00:00.000Z,15680,15690,15677,15682,1119
2021-08-04T18:00:00.000Z,15681,15695,15677,15677,1036
2021-08-04T19:00:00.000Z,15678,15681,15666,15668,2110
2021-08-05T06:00:00.000Z,15695,15695,15657,15661,1653
2021-08-05T07:00:00.000Z,15662,15725,15660,15716,5418
2021-08-05T08:00:00.000Z,15716,15726,15704,15721,2852
2021-08-05T09:00:00.000Z,15721,15723,15702,15712,2165
2021-08-05T10:00:00.000Z,15712,15714,15684,15690,2001
2021-08-05T11:00:00.000Z,15689,15699,15678,15697,2178
2021-08-05T12:00:00.000Z,15697,15726,15695,15712,2049
2021-08-05T13:00:00.000Z,15712,15747,15706,15736,3271
2021-08-05T14:00:00.000Z,15736,15745,15722,15735,2704
2021-08-05T15:00:00.000Z,15736,15751,15735,15747,1569
2021-08-05T16:00:00.000Z,15747,15749,15733,15737,1033
2021-08-05T17:00:00.000Z,15737,15750,15735,15750,721
2021-08-05T18:00:00.000Z,15749,15755,15739,15741,913
2021-08-05T19:00:00.000Z,15740,15750,15734,15746,1677
2021-08-06T06:00:00.000Z,15754,15778,15747,15770,1202
2021-08-06T07:00:00.000Z,15772,15784,15734,15754,2527
2021-08-06T08:00:00.000Z,15753,15772,15742,15766,1336
2021-08-06T09:00:00.000Z,15765,15777,15754,15773,1131
2021-08-06T10:00:00.000Z,15771,15776,15760,15764,1008
2021-08-06T11:00:00.000Z,15763,15773,15756,15760,859
2021-08-06T12:00:00.000Z,15759,15784,15745,15782,1775
2021-08-06T13:00:00.000Z,15783,15804,15769,15774,2429
2021-08-06T14:00:00.000Z,15773,15788,15765,15768,1799
2021-08-06T15:00:00.000Z,15767,15776,15753,15766,1374
2021-08-06T16:00:00.000Z,15767,15767,15758,15766,459
2021-08-06T17:00:00.000Z,15766,15766,15756,15763,405
2021-08-06T18:00:00.000Z,15764,15764,15750,15752,495
2021-08-06T19:00:00.000Z,15751,15769,15749,15768,616
2021-08-09T06:00:00.000Z,15728,15742,15705,15741,1342
2021-08-09T07:00:00.000Z,15740,15796,15733,15753,4349
2021-08-09T08:00:00.000Z,15752,15754,15732,15747,2231
2021-08-09T09:00:00.000Z,15747,15747,15718,15729,1468
2021-08-09T10:00:00.000Z,15729,15743,15726,15728,1281
2021-08-09T11:00:00.000Z,15727,15751,15722,15748,1348
2021-08-09T12:00:00.000Z,15749,15752,15731,15748,1541
2021-08-09T13:00:00.000Z,15748,15758,15693,15729,3525
2021-08-09T14:00:00.000Z,15729,15754,15724,15747,2833
2021-08-09T15:00:00.000Z,15747,15760,15739,15749,1618
2021-08-09T16:00:00.000Z,15749,15751,15744,15751,727
2021-08-09T17:00:00.000Z,15752,15757,15749,15755,507
2021-08-09T18:00:00.000Z,15754,15763,15753,15757,660
2021-08-09T19:00:00.000Z,15756,15759,15745,15757,1376
2021-08-10T06:00:00.000Z,15745,15756,15733,15754,1099
2021-08-10T07:00:00.000Z,15748,15784,15729,15774,2216
2021-08-10T08:00:00.000Z,15775,15781,15746,15758,1123
2021-08-10T09:00:00.000Z,15759,15759,15740,15753,829
2021-08-10T10:00:00.000Z,15754,15774,15752,15769,708
2021-08-10T11:00:00.000Z,15768,15779,15767,15773,587
2021-08-10T12:00:00.000Z,15772,15780,15762,15779,712
2021-08-10T13:00:00.000Z,15778,15798,15778,15783,1438
2021-08-10T14:00:00.000Z,15784,15794,15769,15780,1547
2021-08-10T15:00:00.000Z,15779,15784,15765,15774,1087
2021-08-10T16:00:00.000Z,15775,15779,15763,15772,568
2021-08-10T17:00:00.000Z,15773,15774,15761,15772,467
2021-08-10T18:00:00.000Z,15771,15776,15763,15775,607
2021-08-10T19:00:00.000Z,15776,15788,15770,15783,507
2021-08-11T06:00:00.000Z,15769,15774,15759,15771,890
2021-08-11T07:00:00.000Z,15771,15795,15720,15750,4557
2021-08-11T08:00:00.000Z,15750,15788,15748,15776,2421
2021-08-11T09:00:00.000Z,15776,15784,15768,15779,1822
2021-08-11T10:00:00.000Z,15780,15788,15774,15779,1484
2021-08-11T11:00:00.000Z,15779,15780,15752,15755,1251
2021-08-11T12:00:00.000Z,15756,15810,15754,15793,2808
2021-08-11T13:00:00.000Z,15793,15886,15793,15848,4221
2021-08-11T14:00:00.000Z,15848,15854,15816,15821,2814
2021-08-11T15:00:00.000Z,15822,15830,15804,15825,2496
2021-08-11T16:00:00.000Z,15824,15844,15822,15841,1341
2021-08-11T17:00:00.000Z,15840,15844,15831,15834,1227
2021-08-11T18:00:00.000Z,15835,15846,15833,15843,738
2021-08-11T19:00:00.000Z,15844,15855,15842,15855,1347
2021-08-12T06:00:00.000Z,15829,15840,15811,15828,960
2021-08-12T07:00:00.000Z,15828,15848,15822,15835,4063
2021-08-12T08:00:00.000Z,15836,15853,15823,15849,1689
2021-08-12T09:00:00.000Z,15850,15884,15849,15883,1433
2021-08-12T10:00:00.000Z,15883,15897,15872,15887,1746
2021-08-12T11:00:00.000Z,15887,15891,15879,15887,1191
2021-08-12T12:00:00.000Z,15887,15921,15880,15915,1864
2021-08-12T13:00:00.000Z,15915,15965,15914,15949,3465
2021-08-12T14:00:00.000Z,15950,15956,15921,15955,2852
2021-08-12T15:00:00.000Z,15954,15960,15935,15942,1654
2021-08-12T16:00:00.000Z,15943,15950,15942,15948,1005
2021-08-12T17:00:00.000Z,15947,15949,15942,15943,769
2021-08-12T18:00:00.000Z,15944,15959,15942,15958,438
2021-08-12T19:00:00.000Z,15958,15973,15951,15952,1118
2021-08-13T06:00:00.000Z,15947,15947,15926,15937,951
2021-08-13T07:00:00.000Z,15936,15981,15936,15980,1803
2021-08-13T08:00:00.000Z,15979,16009,15974,16008,951
2021-08-13T09:00:00.000Z,16009,16030,16004,16021,1230
2021-08-13T10:00:00.000Z,16022,16022,16000,16002,810
2021-08-13T11:00:00.000Z,16001,16012,15994,16000,899
2021-08-13T12:00:00.000Z,15999,16000,15974,15986,1031
2021-08-13T13:00:00.000Z,15987,15991,15971,15978,1534
2021-08-13T14:00:00.000Z,15977,15981,15955,15964,1507
2021-08-13T15:00:00.000Z,15965,15982,15961,15982,720
2021-08-13T16:00:00.000Z,15981,15984,15972,15976,340
2021-08-13T17:00:00.000Z,15977,15983,15972,15978,348
2021-08-13T18:00:00.000Z,15979,15980,15965,15970,286
2021-08-13T19:00:00.000Z,15971,15986,15970,15984,832
2021-08-16T06:00:00.000Z,15903,15924,15873,15882,1424
2021-08-16T07:00:00.000Z,15884,15963,15855,15922,3696
2021-08-16T08:00:00.000Z,15923,15932,15893,15893,1782
2021-08-16T09:00:00.000Z,15894,15908,15880,15884,1327
2021-08-16T10:00:00.000Z,15885,15925,15848,15911,1972
2021-08-16T11:00:00.000Z,15910,15926,15897,15907,1305
2021-08-16T12:00:00.000Z,15906,15913,15883,15904,1488
2021-08-16T13:00:00.000Z,15902,15915,15875,15887,2148
2021-08-16T14:00:00.000Z,15886,15906,15854,15870,2577
2021-08-16T15:00:00.000Z,15869,15924,15865,15914,1709
2021-08-16T16:00:00.000Z,15913,15922,15910,15921,850
2021-08-16T17:00:00.000Z,15922,15935,15914,15935,757
2021-08-16T18:00:00.000Z,15934,15948,15932,15937,548
2021-08-16T19:00:00.000Z,15936,15958,15935,15954,984
2021-08-17T06:00:00.000Z,15884,15886,15856,15866,1691
2021-08-17T07:00:00.000Z,15865,15880,15806,15861,3078
2021-08-17T08:00:00.000Z,15862,15885,15855,15876,1657
2021-08-17T09:00:00.000Z,15874,15910,15869,15888,1424
2021-08-17T10:00:00.000Z,15887,15896,15871,15893,1387
2021-08-17T11:00:00.000Z,15894,15904,15879,15901,1217
2021-08-17T12:00:00.000Z,15900,15918,15877,15909,1392
