time,open,high,low,close,volume
2022-03-11T12:15:00.000Z,13885,13939,13846,13867,2572
2022-03-11T12:45:00.000Z,13868,13868,13769,13828,2137
2022-03-11T13:15:00.000Z,13832,13903,13824,13894,1737
2022-03-11T13:45:00.000Z,13893,13904,13854,13857,1644
2022-03-11T14:15:00.000Z,13857,13884,13754,13774,2723
2022-03-11T14:45:00.000Z,13773,13790,13685,13713,3410
2022-03-11T15:15:00.000Z,13714,13736,13673,13698,3480
2022-03-11T15:45:00.000Z,13697,13718,13631,13655,2855
2022-03-11T16:15:00.000Z,13654,13684,13572,13616,3246
2022-03-11T16:45:00.000Z,13617,13637,13569,13582,2711
2022-03-11T17:15:00.000Z,13582,13613,13570,13605,1904
2022-03-11T17:45:00.000Z,13604,13675,13602,13656,1222
2022-03-11T18:15:00.000Z,13657,13694,13630,13641,1248
2022-03-11T18:45:00.000Z,13642,13652,13586,13597,1532
2022-03-11T19:15:00.000Z,13596,13616,13576,13605,1509
2022-03-11T19:45:00.000Z,13604,13605,13536,13548,1583
2022-03-11T20:15:00.000Z,13549,13582,13524,13571,1476
2022-03-11T20:45:00.000Z,13575,13577,13529,13535,892
2022-03-14T00:15:00.000Z,13762,13844,13739,13756,759
2022-03-14T00:45:00.000Z,13752,13800,13749,13784,441
2022-03-14T01:15:00.000Z,13783,13819,13778,13803,501
2022-03-14T01:45:00.000Z,13806,13806,13738,13750,582
2022-03-14T02:15:00.000Z,13751,13757,13686,13694,578
2022-03-14T02:45:00.000Z,13692,13752,13676,13705,544
2022-03-14T03:15:00.000Z,13707,13756,13706,13714,442
2022-03-14T03:45:00.000Z,13715,13728,13699,13706,467
2022-03-14T04:15:00.000Z,13707,13740,13707,13719,242
2022-03-14T04:45:00.000Z,13720,13770,13712,13757,403
2022-03-14T05:15:00.000Z,13756,13756,13736,13746,361
2022-03-14T05:45:00.000Z,13745,13758,13699,13704,361
2022-03-14T06:15:00.000Z,13705,13855,13692,13824,728
2022-03-14T06:45:00.000Z,13823,13847,13784,13832,1144
2022-03-14T07:15:00.000Z,13841,13903,13824,13864,1689
2022-03-14T07:45:00.000Z,13863,13959,13810,13912,3025
2022-03-14T08:15:00.000Z,13908,13924,13834,13864,3143
2022-03-14T08:45:00.000Z,13862,14007,13862,13968,2572
2022-03-14T09:15:00.000Z,13967,14070,13936,14047,2724
2022-03-14T09:45:00.000Z,14046,14079,13984,13994,2829
2022-03-14T10:15:00.000Z,13995,14073,13985,14000,2067
2022-03-14T10:45:00.000Z,13998,14021,13965,14017,1611
2022-03-14T11:15:00.000Z,14014,14024,13888,13888,2130
2022-03-14T11:45:00.000Z,13889,13907,13848,13885,2197
2022-03-14T12:15:00.000Z,13883,13934,13844,13932,1840
2022-03-14T12:45:00.000Z,13935,13951,13901,13932,1949
2022-03-14T13:15:00.000Z,13933,13952,13869,13932,2958
2022-03-14T13:45:00.000Z,13931,13994,13906,13988,3817
2022-03-14T14:15:00.000Z,13990,14024,13954,13988,2998
2022-03-14T14:45:00.000Z,13988,14035,13977,13997,2979
2022-03-14T15:15:00.000Z,13997,14007,13958,13974,2474
2022-03-14T15:45:00.000Z,13975,13976,13918,13923,2458
2022-03-14T16:15:00.000Z,13922,13955,13910,13916,2841
2022-03-14T16:45:00.000Z,13914,13920,13854,13870,2388
2022-03-14T17:15:00.000Z,13870,13895,13807,13820,1759
2022-03-14T17:45:00.000Z,13819,13836,13803,13812,1371
2022-03-14T18:15:00.000Z,13813,13836,13795,13821,1221
2022-03-14T18:45:00.000Z,13823,13872,13804,13864,1380
2022-03-14T19:15:00.000Z,13865,13877,13823,13868,1687
2022-03-14T19:45:00.000Z,13871,13881,13852,13857,1215
2022-03-14T20:15:00.000Z,13856,13864,13843,13863,124
2022-03-14T20:45:00.000Z,13864,13896,13864,13891,129
2022-03-15T00:15:00.000Z,13882,13930,13852,13904,469
2022-03-15T00:45:00.000Z,13905,13922,13885,13897,212
2022-03-15T01:15:00.000Z,13893,13905,13828,13842,554
2022-03-15T01:45:00.000Z,13845,13879,13802,13869,696
2022-03-15T02:15:00.000Z,13867,13923,13851,13906,718
2022-03-15T02:45:00.000Z,13910,13924,13893,13898,559
2022-03-15T03:15:00.000Z,13897,13901,13880,13882,356
2022-03-15T03:45:00.000Z,13883,13885,13866,13874,278
2022-03-15T04:15:00.000Z,13872,13878,13861,13867,194
2022-03-15T04:45:00.000Z,13868,13880,13847,13859,356
2022-03-15T05:15:00.000Z,13858,13873,13844,13853,377
2022-03-15T05:45:00.000Z,13852,13857,13821,13855,447
2022-03-15T06:15:00.000Z,13852,13862,13840,13844,381
2022-03-15T06:45:00.000Z,13843,13846,13701,13711,1167
2022-03-15T07:15:00.000Z,13708,13771,13681,13740,1960
