time,open,high,low,close,volume
2021-08-02T08:00:00.000Z,26119,26174,26111,26156,2795
2021-08-02T09:15:00.000Z,26150,26208,26147,26170,1959
2021-08-02T10:15:00.000Z,26169,26185,26113,26134,2109
2021-08-02T11:15:00.000Z,26133,26185,26125,26182,1911
2021-08-02T12:15:00.000Z,26181,26183,26116,26125,1894
2021-08-02T13:15:00.000Z,26125,26181,26111,26180,4813
2021-08-02T14:15:00.000Z,26179,26230,26159,26229,4015
2021-08-02T15:15:00.000Z,26230,26263,26136,26149,3477
2021-08-02T16:15:00.000Z,26149,26213,26144,26205,3482
2021-08-02T17:15:00.000Z,26204,26221,26164,26180,2887
2021-08-02T18:15:00.000Z,26181,26181,26151,26154,1649
2021-08-03T01:15:00.000Z,26172,26205,25773,25865,12374
2021-08-03T02:15:00.000Z,25867,25984,25740,25981,9545
2021-08-03T03:15:00.000Z,25983,26063,25943,25953,4690
2021-08-03T05:00:00.000Z,25954,26229,25954,26152,9275
2021-08-03T06:00:00.000Z,26151,26173,26073,26130,7002
2021-08-03T07:00:00.000Z,26131,26148,26048,26078,6153
2021-08-03T08:00:00.000Z,26080,26135,26067,26092,1972
2021-08-03T09:15:00.000Z,26094,26147,26072,26141,1345
2021-08-03T10:15:00.000Z,26142,26195,26099,26181,1884
2021-08-03T11:15:00.000Z,26181,26183,26119,26120,1272
2021-08-03T12:15:00.000Z,26118,26120,26065,26069,2435
2021-08-03T13:15:00.000Z,26069,26080,25957,25979,4645
2021-08-03T14:15:00.000Z,25980,26056,25971,26025,4931
2021-08-03T15:15:00.000Z,26024,26118,26002,26112,3543
2021-08-03T16:15:00.000Z,26109,26122,26096,26117,2404
2021-08-03T17:15:00.000Z,26121,26124,26087,26108,2093
2021-08-03T18:15:00.000Z,26107,26134,26099,26128,1319
2021-08-04T01:15:00.000Z,26056,26548,25966,26468,11850
2021-08-04T02:15:00.000Z,26469,26600,26453,26554,8637
2021-08-04T03:15:00.000Z,26553,26619,26548,26577,3314
2021-08-04T05:00:00.000Z,26568,26572,26415,26462,7752
2021-08-04T06:00:00.000Z,26458,26519,26435,26458,6241
2021-08-04T07:00:00.000Z,26455,26467,26330,26404,6175
2021-08-04T08:00:00.000Z,26398,26408,26358,26395,2331
2021-08-04T09:15:00.000Z,26395,26411,26376,26403,1563
2021-08-04T10:15:00.000Z,26403,26429,26383,26389,1428
2021-08-04T11:15:00.000Z,26387,26404,26344,26355,1896
2021-08-04T12:15:00.000Z,26355,26372,26325,26344,2586
2021-08-04T13:15:00.000Z,26345,26473,26334,26431,4585
2021-08-04T14:15:00.000Z,26433,26433,26359,26385,3971
2021-08-04T15:15:00.000Z,26385,26399,26340,26395,3106
2021-08-04T16:15:00.000Z,26396,26423,26384,26412,2304
2021-08-04T17:15:00.000Z,26412,26459,26409,26443,2000
2021-08-04T18:15:00.000Z,26443,26445,26399,26401,1154
2021-08-05T01:15:00.000Z,26383,26523,26248,26434,11002
2021-08-05T02:15:00.000Z,26434,26521,26372,26411,8678
2021-08-05T03:15:00.000Z,26411,26470,26309,26342,4353
2021-08-05T05:00:00.000Z,26344,26412,26269,26296,7509
2021-08-05T06:00:00.000Z,26296,26310,26097,26121,8233
2021-08-05T07:00:00.000Z,26120,26246,26119,26201,6439
2021-08-05T08:00:00.000Z,26204,26217,26118,26156,2423
2021-08-05T09:15:00.000Z,26171,26207,26166,26205,1575
2021-08-05T10:15:00.000Z,26206,26212,26158,26168,1745
2021-08-05T11:15:00.000Z,26169,26204,26164,26193,1428
