time,open,high,low,close,volume
2023-08-14T08:00:00.000Z,18761,18793,18682,18688,2221
2023-08-14T09:15:00.000Z,18681,18694,18665,18665,776
2023-08-14T09:45:00.000Z,18666,18672,18645,18664,607
2023-08-14T10:15:00.000Z,18665,18672,18641,18660,641
2023-08-14T10:45:00.000Z,18662,18667,18627,18630,661
2023-08-14T11:15:00.000Z,18630,18633,18602,18609,697
2023-08-14T11:45:00.000Z,18608,18616,18586,18593,794
2023-08-14T12:15:00.000Z,18594,18601,18560,18576,1268
2023-08-14T12:45:00.000Z,18577,18593,18566,18575,1121
2023-08-14T13:15:00.000Z,18576,18578,18492,18500,2293
2023-08-14T13:45:00.000Z,18501,18580,18465,18565,3038
2023-08-14T14:15:00.000Z,18567,18612,18560,18594,2433
2023-08-14T14:45:00.000Z,18595,18605,18549,18554,1724
2023-08-14T15:15:00.000Z,18552,18624,18552,18618,1705
2023-08-14T15:45:00.000Z,18619,18714,18618,18665,1806
2023-08-14T16:15:00.000Z,18666,18666,18635,18643,1533
2023-08-14T16:45:00.000Z,18642,18652,18616,18623,1190
2023-08-14T17:15:00.000Z,18623,18642,18592,18594,913
2023-08-14T17:45:00.000Z,18594,18614,18568,18609,1080
2023-08-14T18:15:00.000Z,18610,18637,18607,18628,1033
2023-08-14T18:45:00.000Z,18627,18637,18618,18636,394
2023-08-15T01:15:00.000Z,18630,18687,18556,18600,4775
2023-08-15T01:45:00.000Z,18603,18709,18512,18552,4581
2023-08-15T02:15:00.000Z,18556,18650,18529,18641,3750
2023-08-15T02:45:00.000Z,18640,18647,18524,18563,3349
2023-08-15T03:15:00.000Z,18564,18578,18518,18572,2068
2023-08-15T03:45:00.000Z,18573,18589,18565,18582,637
2023-08-15T05:00:00.000Z,18580,18581,18515,18517,3268
2023-08-15T05:30:00.000Z,18518,18606,18475,18567,3457
2023-08-15T06:00:00.000Z,18564,18643,18557,18608,3062
2023-08-15T06:30:00.000Z,18609,18621,18560,18581,2157
2023-08-15T07:00:00.000Z,18583,18630,18559,18564,2034
2023-08-15T07:30:00.000Z,18563,18599,18535,18545,2191
2023-08-15T08:00:00.000Z,18542,18548,18491,18494,1678
2023-08-15T09:15:00.000Z,18506,18552,18492,18545,1073
2023-08-15T09:45:00.000Z,18544,18563,18519,18529,936
2023-08-15T10:15:00.000Z,18530,18531,18498,18507,931
2023-08-15T10:45:00.000Z,18506,18531,18500,18526,818
2023-08-15T11:15:00.000Z,18525,18533,18507,18519,652
2023-08-15T11:45:00.000Z,18516,18518,18493,18509,716
2023-08-15T12:15:00.000Z,18508,18521,18468,18519,1540
2023-08-15T12:45:00.000Z,18518,18539,18480,18534,1459
2023-08-15T13:15:00.000Z,18535,18538,18390,18405,2521
2023-08-15T13:45:00.000Z,18401,18411,18312,18324,3336
2023-08-15T14:15:00.000Z,18323,18328,18289,18324,2591
2023-08-15T14:45:00.000Z,18326,18374,18322,18353,1829
2023-08-15T15:15:00.000Z,18352,18369,18323,18348,1766
2023-08-15T15:45:00.000Z,18346,18357,18303,18313,1415
2023-08-15T16:15:00.000Z,18312,18323,18289,18295,1257
2023-08-15T16:45:00.000Z,18295,18304,18280,18303,1096
2023-08-15T17:15:00.000Z,18304,18305,18289,18291,883
2023-08-15T17:45:00.000Z,18291,18302,18284,18297,870
2023-08-15T18:15:00.000Z,18297,18312,18284,18311,784
2023-08-15T18:45:00.000Z,18312,18315,18301,18311,337
2023-08-16T01:15:00.000Z,18278,18365,18242,18349,4380
2023-08-16T01:45:00.000Z,18351,18405,18296,18356,4370
2023-08-16T02:15:00.000Z,18358,18368,18260,18289,3545
2023-08-16T02:45:00.000Z,18289,18376,18278,18362,3335
2023-08-16T03:15:00.000Z,18363,18376,18302,18311,2374
2023-08-16T03:45:00.000Z,18314,18318,18281,18288,630
2023-08-16T05:00:00.000Z,18291,18322,18225,18290,2817
2023-08-16T05:30:00.000Z,18293,18306,18251,18287,2708
2023-08-16T06:00:00.000Z,18288,18318,18238,18310,2522
2023-08-16T06:30:00.000Z,18310,18322,18257,18268,2096
2023-08-16T07:00:00.000Z,18267,18292,18251,18274,1986
2023-08-16T07:30:00.000Z,18274,18320,18264,18291,1996
2023-08-16T08:00:00.000Z,18290,18303,18259,18259,1397
2023-08-16T09:15:00.000Z,18183,18216,18136,18140,1365
2023-08-16T09:45:00.000Z,18141,18160,18097,18136,1217
2023-08-16T10:15:00.000Z,18136,18144,18103,18110,861
2023-08-16T10:45:00.000Z,18108,18119,18081,18081,885
2023-08-16T11:15:00.000Z,18082,18126,18082,18117,747
2023-08-16T11:45:00.000Z,18117,18119,18089,18095,684
2023-08-16T12:15:00.000Z,18096,18099,18065,18088,809
2023-08-16T12:45:00.000Z,18086,18103,18050,18057,900
2023-08-16T13:15:00.000Z,18058,18077,18016,18042,2241
2023-08-16T13:45:00.000Z,18041,18094,18036,18086,2509
2023-08-16T14:15:00.000Z,18085,18135,18081,18130,2138
2023-08-16T14:45:00.000Z,18130,18130,18089,18102,1892
2023-08-16T15:15:00.000Z,18103,18105,18053,18058,1434
2023-08-16T15:45:00.000Z,18059,18060,18020,18026,1130
2023-08-16T16:15:00.000Z,18024,18058,18023,18047,1044
2023-08-16T16:45:00.000Z,18046,18049,18012,18030,819
2023-08-16T17:15:00.000Z,18029,18050,18015,18042,965
2023-08-16T17:45:00.000Z,18044,18060,18001,18014,1252
2023-08-16T18:15:00.000Z,18014,18067,18011,18056,1670
2023-08-16T18:45:00.000Z,18054,18060,18018,18025,491
2023-08-17T01:15:00.000Z,17953,18013,17854,17964,4615
2023-08-17T01:45:00.000Z,17965,18023,17936,18020,4758
2023-08-17T02:15:00.000Z,18021,18162,17991,18125,4466
2023-08-17T02:45:00.000Z,18125,18217,18104,18146,4441
2023-08-17T03:15:00.000Z,18145,18272,18139,18268,3249
2023-08-17T03:45:00.000Z,18267,18277,18235,18255,1047
2023-08-17T05:00:00.000Z,18265,18278,18138,18147,3284
2023-08-17T05:30:00.000Z,18149,18153,18042,18115,3380
2023-08-17T06:00:00.000Z,18114,18324,18100,18322,3563
