time,open,high,low,close,volume
2023-08-15T01:30:00.000Z,5.24,5.295,5.105,5.2,62672600
2023-08-15T02:30:00.000Z,5.2,5.225,5.13,5.16,17520600
2023-08-15T03:30:00.000Z,5.16,5.205,5.155,5.205,3790900
2023-08-15T04:30:00.000Z,5.205,5.205,5.145,5.15,5213000
2023-08-15T05:30:00.000Z,5.145,5.25,5.11,5.22,25617600
2023-08-15T06:30:00.000Z,5.225,5.25,5.18,5.19,14111900
2023-08-15T07:30:00.000Z,5.185,5.225,5.165,5.18,14314700
2023-08-16T01:30:00.000Z,5.015,5.17,5.015,5.095,49332500
2023-08-16T02:30:00.000Z,5.09,5.13,5.045,5.085,24010600
2023-08-16T03:30:00.000Z,5.085,5.09,5.03,5.035,12500500
2023-08-16T04:30:00.000Z,5.04,5.075,5.01,5.06,11804200
2023-08-16T05:30:00.000Z,5.07,5.08,5.01,5.065,18015700
2023-08-16T06:30:00.000Z,5.065,5.075,5.01,5.02,15731200
2023-08-16T07:30:00.000Z,5.02,5.055,5.01,5.035,15416800
2023-08-17T01:30:00.000Z,4.898,4.98,4.794,4.98,108460700
2023-08-17T02:30:00.000Z,4.98,5.125,4.964,5.12,52528200
2023-08-17T03:30:00.000Z,5.12,5.16,5.11,5.13,18971300
2023-08-17T04:30:00.000Z,5.13,5.145,5.005,5.015,19211200
2023-08-17T05:30:00.000Z,5.01,5.165,4.916,5.16,50295900
2023-08-17T06:30:00.000Z,5.16,5.2,5.105,5.12,32536600
2023-08-17T07:30:00.000Z,5.12,5.14,5.105,5.14,12713300
2023-08-18T01:30:00.000Z,5.055,5.07,4.946,4.964,88771000
2023-08-18T02:30:00.000Z,4.966,4.97,4.862,4.884,55538900
2023-08-18T03:30:00.000Z,4.882,4.896,4.844,4.86,18265000
2023-08-18T04:30:00.000Z,4.862,4.864,4.8,4.842,56457600
2023-08-18T05:30:00.000Z,4.84,4.904,4.808,4.82,39779300
2023-08-18T06:30:00.000Z,4.822,4.822,4.75,4.778,59488900
2023-08-18T07:30:00.000Z,4.776,4.782,4.718,4.73,44273100
2023-08-21T01:30:00.000Z,4.668,4.752,4.546,4.732,113260900
2023-08-21T02:30:00.000Z,4.73,4.732,4.628,4.672,28033500
2023-08-21T03:30:00.000Z,4.67,4.672,4.618,4.622,5897800
2023-08-21T04:30:00.000Z,4.622,4.702,4.6,4.612,13818300
2023-08-21T05:30:00.000Z,4.616,4.626,4.544,4.56,27254500
2023-08-21T06:30:00.000Z,4.558,4.586,4.506,4.542,31725300
2023-08-21T07:30:00.000Z,4.54,4.548,4.522,4.532,29268800
2023-08-22T01:30:00.000Z,4.648,4.712,4.54,4.642,96333400
2023-08-22T02:30:00.000Z,4.64,4.658,4.586,4.594,24225400
2023-08-22T03:30:00.000Z,4.592,4.592,4.56,4.576,8699800
2023-08-22T04:30:00.000Z,4.576,4.614,4.554,4.574,14616200
2023-08-22T05:30:00.000Z,4.572,4.836,4.502,4.786,80964300
2023-08-22T06:30:00.000Z,4.79,4.8,4.708,4.732,60268900
2023-08-22T07:30:00.000Z,4.734,4.758,4.726,4.728,23913200
2023-08-23T01:30:00.000Z,4.72,4.744,4.61,4.694,50700600
2023-08-23T02:30:00.000Z,4.696,4.718,4.64,4.692,21257800
2023-08-23T03:30:00.000Z,4.696,4.732,4.696,4.716,12927600
2023-08-23T04:30:00.000Z,4.716,4.778,4.696,4.752,15091700
2023-08-23T05:30:00.000Z,4.748,4.842,4.738,4.752,51003400
2023-08-23T06:30:00.000Z,4.756,4.764,4.682,4.726,23005500
2023-08-23T07:30:00.000Z,4.722,4.756,4.722,4.74,11372600
