time,open,high,low,close,volume
1997-05-19T01:20:00.000Z,13966,14145,13946,14108,
1997-05-20T01:20:00.000Z,14092,14253,14072,14236,
1997-05-21T01:20:00.000Z,14323,14398,14207,14235,
1997-05-22T01:20:00.000Z,14198,14323,14173,14212,
1997-05-23T01:20:00.000Z,14183,14331,14157,14331,
1997-05-26T01:20:00.000Z,14356.6,14581.4,14356.6,14574.6,
1997-05-27T01:20:00.000Z,14588,14618,14505,14540,
1997-05-28T01:20:00.000Z,14555,14688,14534,14556,
1997-05-29T01:20:00.000Z,14528,14528,14299,14416,
1997-05-30T01:20:00.000Z,14389,14730,14336,14730,
1997-06-02T01:20:00.000Z,14737,14998,14737,14978,
1997-06-03T01:20:00.000Z,14935,15020,14607,14760,
1997-06-04T01:20:00.000Z,14764,14979,14755,14831,
1997-06-05T01:20:00.000Z,14799,14914,14709,14795,
1997-06-06T01:20:00.000Z,14833,14975,14609,14655,
1997-06-10T01:20:00.000Z,14808,14856,14391,14431,
1997-06-11T01:20:00.000Z,14422,14575,14213,14421,
1997-06-12T01:20:00.000Z,14339,14383,13916,13916,
1997-06-13T01:20:00.000Z,14110,14145,13795,14112,
1997-06-16T01:20:00.000Z,14163,14426,14163,14394,
1997-06-17T01:20:00.000Z,14372,14434,14284,14307,
1997-06-18T01:20:00.000Z,14210,14260,13999,14203,
1997-06-19T01:20:00.000Z,14172,14569,14137,14506,
1997-06-20T01:20:00.000Z,14624,15154,14624,15146,
1997-06-23T01:20:00.000Z,15148,15322,14993,15021,
1997-06-24T01:20:00.000Z,14825,15028,14797,14890,
1997-06-25T01:20:00.000Z,15034,15200,15034,15065,
1997-06-26T01:20:00.000Z,15014,15274,14942,15128,
1997-06-27T01:20:00.000Z,15181,15275,15095,15196,
1997-07-03T01:20:00.000Z,15345,15363,15035,15055,
1997-07-04T01:20:00.000Z,15166,15179,14727,14822,
1997-07-07T01:20:00.000Z,14844,15003,14723,14858,
1997-07-08T01:20:00.000Z,14847,14876,14686,14792,
1997-07-09T01:20:00.000Z,14820,14931,14659,14703,
1997-07-10T01:20:00.000Z,14666,14849,14549,14839,
1997-07-11T01:20:00.000Z,14870,15223,14870,15223,
