time,open,high,low,close,volume
2022-06-23T16:00:00.000Z,26123,26123,26033,26053,1672
2022-06-23T17:00:00.000Z,26048,26113,26018,26108,1657
2022-06-23T18:00:00.000Z,26111,26168,26093,26153,1248
2022-06-23T19:00:00.000Z,26151,26243,26138,26233,1172
2022-06-23T20:00:00.000Z,26231,26231,26173,26181,234
2022-06-23T22:00:00.000Z,26193,26238,26176,26238,76
2022-06-23T23:00:00.000Z,26241,26253,26161,26183,358
2022-06-24T00:00:00.000Z,26181,26313,26121,26303,2921
2022-06-24T01:00:00.000Z,26301,26378,26278,26326,1594
2022-06-24T02:00:00.000Z,26323,26421,26323,26398,1011
2022-06-24T03:00:00.000Z,26396,26408,26333,26393,908
2022-06-24T04:00:00.000Z,26396,26478,26393,26448,869
2022-06-24T05:00:00.000Z,26453,26503,26443,26488,970
2022-06-24T06:00:00.000Z,26481,26523,26461,26468,717
2022-06-24T07:00:00.000Z,26473,26508,26428,26481,935
2022-06-24T08:00:00.000Z,26483,26548,26463,26533,893
2022-06-24T09:00:00.000Z,26528,26558,26498,26553,697
2022-06-24T10:00:00.000Z,26558,26573,26543,26568,605
2022-06-24T11:00:00.000Z,26566,26586,26548,26566,461
2022-06-24T12:00:00.000Z,26563,26578,26533,26548,491
2022-06-24T13:00:00.000Z,26546,26673,26546,26658,1202
2022-06-24T14:00:00.000Z,26676,26793,26668,26783,1772
2022-06-24T15:00:00.000Z,26786,26803,26758,26788,1190
2022-06-24T16:00:00.000Z,26791,26808,26781,26803,797
2022-06-24T17:00:00.000Z,26801,26823,26788,26813,664
2022-06-24T18:00:00.000Z,26816,26838,26806,26833,566
2022-06-24T19:00:00.000Z,26828,26916,26816,26913,788
2022-06-24T20:00:00.000Z,26911,26911,26853,26878,309
2022-06-26T22:00:00.000Z,26852,26913,26815,26853,183
2022-06-26T23:00:00.000Z,26855,26885,26770,26778,450
2022-06-27T00:00:00.000Z,26780,26780,26663,26673,2534
2022-06-27T01:00:00.000Z,26670,26800,26653,26800,1735
2022-06-27T02:00:00.000Z,26798,26870,26728,26833,1652
2022-06-27T03:00:00.000Z,26835,26835,26783,26828,1031
2022-06-27T04:00:00.000Z,26825,26888,26823,26883,540
