time,open,high,low,close,volume
2023-11-09T03:20:00.000Z,32472,32500,32465,32480,40
2023-11-09T03:25:00.000Z,32475,32475,32450,32455,29
2023-11-09T03:30:00.000Z,32457,32457,32430,32430,138
2023-11-09T03:35:00.000Z,32425,32462,32422,32450,81
2023-11-09T03:40:00.000Z,32452,32465,32447,32460,48
2023-11-09T03:45:00.000Z,32457,32477,32455,32460,34
2023-11-09T03:50:00.000Z,32465,32490,32455,32480,65
2023-11-09T03:55:00.000Z,32482,32492,32467,32490,65
2023-11-09T04:00:00.000Z,32492,32515,32490,32505,42
2023-11-09T04:05:00.000Z,32507,32510,32500,32505,49
2023-11-09T04:10:00.000Z,32510,32515,32500,32510,37
2023-11-09T04:15:00.000Z,32507,32510,32490,32500,70
2023-11-09T04:20:00.000Z,32497,32502,32490,32497,40
2023-11-09T04:25:00.000Z,32495,32510,32487,32510,49
2023-11-09T04:30:00.000Z,32512,32530,32512,32530,51
2023-11-09T04:35:00.000Z,32532,32545,32515,32517,42
2023-11-09T04:40:00.000Z,32515,32540,32515,32540,37
2023-11-09T04:45:00.000Z,32542,32570,32540,32565,51
2023-11-09T04:50:00.000Z,32567,32572,32560,32565,68
2023-11-09T04:55:00.000Z,32567,32645,32567,32630,166
2023-11-09T05:00:00.000Z,32635,32657,32620,32645,116
2023-11-09T05:05:00.000Z,32647,32655,32630,32647,84
2023-11-09T05:10:00.000Z,32650,32672,32647,32652,76
2023-11-09T05:15:00.000Z,32650,32660,32642,32655,63
2023-11-09T05:20:00.000Z,32650,32675,32650,32670,47
2023-11-09T05:25:00.000Z,32667,32690,32667,32677,68
2023-11-09T05:30:00.000Z,32675,32700,32672,32672,97
2023-11-09T05:35:00.000Z,32667,32697,32667,32690,76
2023-11-09T05:40:00.000Z,32692,32715,32690,32705,72
2023-11-09T05:45:00.000Z,32707,32717,32662,32670,108
2023-11-09T05:50:00.000Z,32667,32685,32645,32667,154
2023-11-09T05:55:00.000Z,32670,32680,32652,32672,109
2023-11-09T06:00:00.000Z,32660,32660,32600,32622,133
2023-11-09T06:05:00.000Z,32620,32630,32600,32627,93
2023-11-09T06:10:00.000Z,32625,32632,32590,32590,55
2023-11-09T06:15:00.000Z,32595,32622,32580,32612,58
2023-11-09T06:20:00.000Z,32610,32640,32605,32632,36
2023-11-09T06:25:00.000Z,32635,32640,32625,32637,24
2023-11-09T06:30:00.000Z,32635,32637,32635,32637,2
2023-11-09T06:35:00.000Z,32635,32645,32635,32645,4
2023-11-09T06:40:00.000Z,32640,32660,32640,32660,19
2023-11-09T06:45:00.000Z,32657,32667,32635,32642,51
2023-11-09T06:50:00.000Z,32640,32647,32637,32645,16
2023-11-09T06:55:00.000Z,32647,32647,32635,32640,25
2023-11-09T07:00:00.000Z,32642,32647,32635,32645,24
2023-11-09T07:05:00.000Z,32642,32652,32632,32652,20
2023-11-09T07:10:00.000Z,32650,32652,32620,32620,19
2023-11-09T07:15:00.000Z,32625,32627,32595,32610,40
2023-11-09T07:20:00.000Z,32615,32627,32610,32625,17
2023-11-09T07:25:00.000Z,32620,32625,32607,32620,29
2023-11-09T07:30:00.000Z,32617,32635,32605,32605,82
2023-11-09T07:35:00.000Z,32602,32615,32595,32610,55
2023-11-09T07:40:00.000Z,32612,32612,32590,32595,51
2023-11-09T07:45:00.000Z,32597,32615,32597,32607,51
2023-11-09T07:50:00.000Z,32610,32615,32590,32590,33
2023-11-09T07:55:00.000Z,32585,32585,32570,32580,67
2023-11-09T08:00:00.000Z,32577,32612,32577,32597,164
2023-11-09T08:05:00.000Z,32595,32612,32582,32602,124
2023-11-09T08:10:00.000Z,32605,32605,32530,32530,117
2023-11-09T08:15:00.000Z,32535,32560,32515,32520,167
2023-11-09T08:20:00.000Z,32522,32540,32517,32535,138
2023-11-09T08:25:00.000Z,32537,32540,32520,32540,110
2023-11-09T08:30:00.000Z,32537,32585,32535,32580,81
2023-11-09T08:35:00.000Z,32582,32620,32582,32615,113
2023-11-09T08:40:00.000Z,32625,32655,32615,32655,105
2023-11-09T08:45:00.000Z,32660,32670,32642,32652,104
2023-11-09T08:50:00.000Z,32650,32655,32617,32620,94
2023-11-09T08:55:00.000Z,32617,32625,32605,32620,89
2023-11-09T09:00:00.000Z,32622,32645,32612,32625,112
2023-11-09T09:05:00.000Z,32622,32625,32600,32620,109
2023-11-09T09:10:00.000Z,32615,32620,32595,32610,69
2023-11-09T09:15:00.000Z,32612,32630,32607,32620,85
2023-11-09T09:20:00.000Z,32617,32630,32610,32630,61
2023-11-09T09:25:00.000Z,32627,32647,32622,32635,47
2023-11-09T09:30:00.000Z,32632,32650,32627,32635,61
2023-11-09T09:35:00.000Z,32632,32635,32610,32615,66
2023-11-09T09:40:00.000Z,32612,32620,32607,32610,57
2023-11-09T09:45:00.000Z,32607,32625,32602,32620,46
2023-11-09T09:50:00.000Z,32617,32625,32615,32625,51
2023-11-09T09:55:00.000Z,32630,32645,32627,32635,34
2023-11-09T10:00:00.000Z,32630,32645,32627,32640,44
2023-11-09T10:05:00.000Z,32642,32660,32640,32652,27
2023-11-09T10:10:00.000Z,32655,32665,32650,32652,38
2023-11-09T10:15:00.000Z,32660,32670,32655,32665,39
2023-11-09T10:20:00.000Z,32667,32677,32665,32670,68
2023-11-09T10:25:00.000Z,32675,32677,32657,32660,43
2023-11-09T10:30:00.000Z,32655,32670,32655,32665,37
2023-11-09T10:35:00.000Z,32667,32675,32662,32665,37
2023-11-09T10:40:00.000Z,32670,32685,32670,32685,23
2023-11-09T10:45:00.000Z,32682,32690,32675,32680,25
2023-11-09T10:50:00.000Z,32682,32685,32670,32685,38
2023-11-09T10:55:00.000Z,32682,32682,32670,32677,45
2023-11-09T11:00:00.000Z,32675,32685,32662,32665,53
2023-11-09T11:05:00.000Z,32662,32665,32655,32660,24
2023-11-09T11:10:00.000Z,32657,32665,32655,32662,36
2023-11-09T11:15:00.000Z,32660,32662,32650,32655,31
2023-11-09T11:20:00.000Z,32652,32655,32640,32645,40
2023-11-09T11:25:00.000Z,32647,32652,32645,32645,31
2023-11-09T11:30:00.000Z,32647,32650,32645,32645,30
2023-11-09T11:35:00.000Z,32642,32657,32640,32655,29
