time,open,high,low,close,volume
2022-01-26T00:15:00.000Z,14186,14193,14124,14134,1225
2022-01-26T00:30:00.000Z,14133,14182,14111,14152,1134
2022-01-26T00:45:00.000Z,14154,14170,14135,14143,785
2022-01-26T01:00:00.000Z,14143,14177,14127,14129,994
2022-01-26T01:15:00.000Z,14127,14175,14123,14172,935
2022-01-26T01:30:00.000Z,14173,14193,14147,14164,744
2022-01-26T01:45:00.000Z,14165,14217,14164,14205,807
2022-01-26T02:00:00.000Z,14205,14228,14205,14223,832
2022-01-26T02:15:00.000Z,14223,14240,14211,14222,841
2022-01-26T02:30:00.000Z,14221,14228,14195,14196,689
2022-01-26T02:45:00.000Z,14195,14216,14190,14194,635
2022-01-26T03:00:00.000Z,14192,14238,14192,14214,774
2022-01-26T03:15:00.000Z,14213,14233,14209,14216,676
2022-01-26T03:30:00.000Z,14217,14243,14216,14237,747
2022-01-26T03:45:00.000Z,14238,14251,14232,14235,572
2022-01-26T04:00:00.000Z,14236,14240,14207,14228,561
2022-01-26T04:15:00.000Z,14229,14230,14216,14227,486
2022-01-26T04:30:00.000Z,14228,14230,14215,14220,470
2022-01-26T04:45:00.000Z,14221,14237,14217,14236,418
2022-01-26T05:00:00.000Z,14235,14237,14205,14208,676
2022-01-26T05:15:00.000Z,14208,14214,14185,14213,779
2022-01-26T05:30:00.000Z,14214,14221,14206,14211,627
2022-01-26T05:45:00.000Z,14210,14234,14207,14225,590
2022-01-26T06:00:00.000Z,14223,14245,14219,14222,647
2022-01-26T06:15:00.000Z,14223,14239,14220,14230,461
2022-01-26T06:30:00.000Z,14231,14234,14215,14226,471
2022-01-26T06:45:00.000Z,14226,14227,14197,14208,507
2022-01-26T07:00:00.000Z,14208,14221,14169,14179,846
2022-01-26T07:15:00.000Z,14176,14177,14156,14176,845
2022-01-26T07:30:00.000Z,14177,14222,14176,14217,835
2022-01-26T07:45:00.000Z,14218,14232,14207,14217,614
2022-01-26T08:00:00.000Z,14219,14292,14213,14278,1926
2022-01-26T08:15:00.000Z,14277,14314,14268,14302,1446
2022-01-26T08:30:00.000Z,14302,14330,14296,14319,1414
2022-01-26T08:45:00.000Z,14318,14322,14296,14312,1294
2022-01-26T09:00:00.000Z,14311,14398,14305,14386,1491
2022-01-26T09:15:00.000Z,14386,14409,14363,14382,1369
2022-01-26T09:30:00.000Z,14383,14439,14379,14436,1181
2022-01-26T09:45:00.000Z,14435,14446,14400,14407,1193
2022-01-26T10:00:00.000Z,14408,14408,14372,14396,1351
2022-01-26T10:15:00.000Z,14397,14425,14387,14412,1072
2022-01-26T10:30:00.000Z,14412,14435,14410,14416,1025
2022-01-26T10:45:00.000Z,14417,14438,14410,14414,862
2022-01-26T11:00:00.000Z,14413,14453,14413,14442,1127
2022-01-26T11:15:00.000Z,14443,14459,14421,14428,958
2022-01-26T11:30:00.000Z,14429,14468,14427,14450,940
2022-01-26T11:45:00.000Z,14450,14470,14443,14466,1043
2022-01-26T12:00:00.000Z,14463,14466,14405,14407,1283
2022-01-26T12:15:00.000Z,14406,14410,14375,14401,1144
2022-01-26T12:30:00.000Z,14401,14421,14392,14397,966
2022-01-26T12:45:00.000Z,14397,14424,14391,14419,938
2022-01-26T13:00:00.000Z,14419,14455,14413,14451,994
2022-01-26T13:15:00.000Z,14452,14510,14452,14488,1213
2022-01-26T13:30:00.000Z,14487,14492,14442,14448,1317
2022-01-26T13:45:00.000Z,14448,14471,14442,14470,1132
2022-01-26T14:00:00.000Z,14471,14481,14425,14440,1442
2022-01-26T14:15:00.000Z,14441,14481,14430,14480,1436
2022-01-26T14:30:00.000Z,14484,14501,14356,14372,3501
2022-01-26T14:45:00.000Z,14374,14467,14374,14458,2699
2022-01-26T15:00:00.000Z,14459,14519,14437,14447,2571
2022-01-26T15:15:00.000Z,14450,14457,14362,14387,2772
