time,open,high,low,close,volume
2023-08-14T08:00:00.000Z,15134,15140,15081,15083,3752
2023-08-14T09:00:00.000Z,15084,15094,15070,15079,2246
2023-08-14T10:00:00.000Z,15081,15102,15071,15090,1867
2023-08-14T11:00:00.000Z,15089,15091,15054,15066,2014
2023-08-14T12:00:00.000Z,15065,15067,14993,15019,3716
2023-08-14T13:00:00.000Z,15018,15061,14972,15051,7138
2023-08-14T14:00:00.000Z,15050,15183,15037,15165,8280
2023-08-14T15:00:00.000Z,15165,15182,15131,15147,6401
2023-08-14T16:00:00.000Z,15148,15164,15108,15151,5966
2023-08-14T17:00:00.000Z,15150,15181,15140,15158,5138
2023-08-14T18:00:00.000Z,15159,15162,15124,15150,5606
2023-08-14T19:00:00.000Z,15149,15208,15140,15207,5147
2023-08-14T20:00:00.000Z,15208,15217,15199,15215,1030
2023-08-14T22:00:00.000Z,15217,15253,15212,15251,933
2023-08-14T23:00:00.000Z,15251,15253,15233,15238,730
2023-08-15T00:00:00.000Z,15239,15247,15231,15234,940
2023-08-15T01:00:00.000Z,15235,15272,15229,15255,1740
2023-08-15T02:00:00.000Z,15253,15255,15237,15243,1249
2023-08-15T03:00:00.000Z,15244,15258,15242,15257,738
2023-08-15T04:00:00.000Z,15257,15265,15254,15257,640
2023-08-15T05:00:00.000Z,15258,15265,15240,15247,949
2023-08-15T06:00:00.000Z,15248,15267,15221,15223,1740
2023-08-15T07:00:00.000Z,15224,15232,15140,15144,4079
2023-08-15T08:00:00.000Z,15143,15169,15125,15166,3120
2023-08-15T09:00:00.000Z,15166,15172,15141,15151,2463
2023-08-15T10:00:00.000Z,15150,15160,15098,15122,3178
2023-08-15T11:00:00.000Z,15121,15138,15098,15108,2727
2023-08-15T12:00:00.000Z,15109,15141,15090,15121,4439
2023-08-15T13:00:00.000Z,15121,15196,15113,15119,6808
2023-08-15T14:00:00.000Z,15118,15118,15046,15073,8046
2023-08-15T15:00:00.000Z,15074,15134,15073,15133,6176
2023-08-15T16:00:00.000Z,15133,15145,15086,15099,5735
2023-08-15T17:00:00.000Z,15099,15122,15075,15093,4854
