time,open,high,low,close,volume
2023-01-18T07:00:00.000Z,751.6,752.4,750,750.8,869
2023-01-18T08:00:00.000Z,750.8,753.95,750,752,3258
2023-01-18T09:00:00.000Z,751.9,752.15,750.75,751.8,1788
2023-01-18T10:00:00.000Z,751.7,752.05,750.8,751.95,1498
2023-01-18T11:00:00.000Z,751.95,753.05,751.8,752.9,1364
2023-01-18T12:00:00.000Z,752.75,753.7,752.55,753.55,1327
2023-01-18T13:00:00.000Z,753.55,755.5,752.95,754.55,2707
2023-01-18T14:00:00.000Z,754.5,755.4,753,754,4051
2023-01-18T15:00:00.000Z,754.05,754.6,750.3,751.3,3635
2023-01-18T16:00:00.000Z,751.2,751.6,747,747.75,2799
2023-01-18T17:00:00.000Z,747.7,747.85,745.2,745.35,1406
2023-01-18T18:00:00.000Z,745.3,745.9,744.3,745.25,841
2023-01-18T19:00:00.000Z,745.2,745.8,744.7,745.2,816
2023-01-18T20:00:00.000Z,745.2,745.4,743.65,743.65,1058
2023-01-19T07:00:00.000Z,743.53,744.68,741.83,743.13,885
2023-01-19T08:00:00.000Z,743.38,746.13,742.33,742.43,2972
2023-01-19T09:00:00.000Z,742.53,744.13,741.58,741.88,2263
2023-01-19T10:00:00.000Z,741.88,742.93,739.73,741.48,2307
2023-01-19T11:00:00.000Z,741.43,741.53,738.28,738.68,2225
2023-01-19T12:00:00.000Z,738.68,738.68,736.33,736.93,2369
2023-01-19T13:00:00.000Z,736.88,738.28,735.88,738.18,2550
2023-01-19T14:00:00.000Z,738.18,739.48,736.48,737.83,3541
2023-01-19T15:00:00.000Z,737.78,739.43,736.38,736.83,3964
2023-01-19T16:00:00.000Z,736.83,738.03,734.78,735.18,2535
2023-01-19T17:00:00.000Z,735.18,737.08,733.63,734.88,1334
2023-01-19T18:00:00.000Z,734.88,736.63,734.68,736.18,840
2023-01-19T19:00:00.000Z,736.08,737.93,735.63,737.63,840
2023-01-19T20:00:00.000Z,737.63,737.93,735.03,735.18,1199
2023-01-20T07:00:00.000Z,736.73,739.28,736.73,738.33,535
2023-01-20T08:00:00.000Z,738.33,738.48,735.23,737.73,2959
2023-01-20T09:00:00.000Z,737.78,738.33,735.43,737.23,2068
2023-01-20T10:00:00.000Z,737.18,738.78,736.68,737.58,2287
2023-01-20T11:00:00.000Z,737.58,737.58,735.83,736.33,1517
2023-01-20T12:00:00.000Z,736.28,737.98,735.83,737.43,1348
2023-01-20T13:00:00.000Z,737.48,737.88,736.38,736.43,1344
2023-01-20T14:00:00.000Z,736.33,738.73,736.18,737.68,3296
2023-01-20T15:00:00.000Z,737.83,738.98,737.13,737.53,3354
2023-01-20T16:00:00.000Z,737.58,739.18,737.33,737.83,2103
2023-01-20T17:00:00.000Z,737.88,738.63,737.83,737.88,808
2023-01-20T18:00:00.000Z,737.88,739.98,737.33,739.73,607
2023-01-20T19:00:00.000Z,739.73,741.03,739.63,740.98,370
2023-01-20T20:00:00.000Z,741.13,743.53,741.08,743.18,725
2023-01-23T07:00:00.000Z,742.97,742.97,740.02,740.87,866
2023-01-23T08:00:00.000Z,740.92,743.47,740.37,742.12,1978
2023-01-23T09:00:00.000Z,742.07,744.12,741.92,743.37,1532
2023-01-23T10:00:00.000Z,743.37,743.62,741.92,743.02,1746
2023-01-23T11:00:00.000Z,743.02,743.77,742.32,743.07,1519
2023-01-23T12:00:00.000Z,743.07,744.67,743.02,744.07,1324
2023-01-23T13:00:00.000Z,744.12,745.42,743.37,743.47,2204
2023-01-23T14:00:00.000Z,743.42,745.87,742.62,744.97,3675
2023-01-23T15:00:00.000Z,744.97,747.72,744.97,747.27,2902
2023-01-23T16:00:00.000Z,747.32,749.47,747.32,748.87,2428
2023-01-23T17:00:00.000Z,748.92,749.02,747.67,748.82,759
2023-01-23T18:00:00.000Z,748.82,750.27,748.57,749.92,374
2023-01-23T19:00:00.000Z,749.87,749.87,747.27,748.17,931
2023-01-23T20:00:00.000Z,748.12,750.32,747.77,750.22,756
2023-01-24T07:00:00.000Z,750.39,750.49,748.94,749.29,837
2023-01-24T08:00:00.000Z,749.39,750.79,747.84,748.44,2849
2023-01-24T09:00:00.000Z,748.49,748.54,746.39,747.04,2284
2023-01-24T10:00:00.000Z,747.04,747.19,744.59,745.89,1948
2023-01-24T11:00:00.000Z,745.89,746.44,744.09,746.19,1787
2023-01-24T12:00:00.000Z,746.24,746.24,745.34,745.74,1315
2023-01-24T13:00:00.000Z,745.79,746.09,743.59,744.24,1948
2023-01-24T14:00:00.000Z,744.29,746.09,743.84,743.94,3251
2023-01-24T15:00:00.000Z,743.94,747.69,743.24,747.34,3588
2023-01-24T16:00:00.000Z,747.39,747.69,746.49,746.94,1919
2023-01-24T17:00:00.000Z,746.89,747.24,746.04,746.39,1048
2023-01-24T18:00:00.000Z,746.44,747.39,745.59,747.14,436
2023-01-24T19:00:00.000Z,747.19,747.29,746.29,747.14,330
2023-01-24T20:00:00.000Z,747.19,747.24,745.24,745.94,385
2023-01-25T07:00:00.000Z,745.47,746.62,744.87,745.87,667
2023-01-25T08:00:00.000Z,746.07,746.47,742.12,743.17,2928
2023-01-25T09:00:00.000Z,743.22,743.77,740.32,740.37,2104
2023-01-25T10:00:00.000Z,740.37,740.82,738.27,739.37,2231
2023-01-25T11:00:00.000Z,739.47,740.92,738.82,740.12,1946
2023-01-25T12:00:00.000Z,740.17,740.37,738.62,738.67,1678
2023-01-25T13:00:00.000Z,738.62,738.77,735.87,736.17,2200
2023-01-25T14:00:00.000Z,736.12,737.82,735.37,736.22,3603
2023-01-25T15:00:00.000Z,736.12,739.72,735.32,739.37,3675
2023-01-25T16:00:00.000Z,739.37,742.77,739.27,742.17,2523
2023-01-25T17:00:00.000Z,742.17,743.12,741.87,742.87,921
2023-01-25T18:00:00.000Z,742.92,744.92,742.67,744.52,438
2023-01-25T19:00:00.000Z,744.57,745.87,744.17,745.22,506
2023-01-25T20:00:00.000Z,745.27,746.17,744.82,745.12,516
2023-01-26T07:00:00.000Z,747.31,747.51,745.91,747.01,795
2023-01-26T08:00:00.000Z,746.96,751.11,746.96,749.36,3616
2023-01-26T09:00:00.000Z,749.36,750.31,746.01,746.31,2919
2023-01-26T10:00:00.000Z,746.36,748.21,746.16,747.66,2223
2023-01-26T11:00:00.000Z,747.61,747.91,745.66,745.76,1970
2023-01-26T12:00:00.000Z,745.81,747.91,745.61,747.51,1550
2023-01-26T13:00:00.000Z,747.56,748.91,747.06,748.56,2384
2023-01-26T14:00:00.000Z,748.51,749.76,744.86,746.01,4074
2023-01-26T15:00:00.000Z,746.06,747.96,745.01,746.26,4323
2023-01-26T16:00:00.000Z,746.26,748.16,745.91,747.91,2896
2023-01-26T17:00:00.000Z,747.96,749.21,747.91,748.36,1062
2023-01-26T18:00:00.000Z,748.36,749.46,747.66,748.96,328
2023-01-26T19:00:00.000Z,748.96,750.66,748.66,750.46,350
2023-01-26T20:00:00.000Z,750.51,752.06,750.16,751.86,496
2023-01-27T07:00:00.000Z,750.23,750.68,749.48,749.53,488
2023-01-27T08:00:00.000Z,749.68,750.43,747.43,749.38,2948
2023-01-27T09:00:00.000Z,749.43,751.08,749.03,750.53,2136
