time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,19083,19103,19026,19065,47005
2024-03-11T02:00:00.000Z,19065,19102,19052,19100,23371
2024-03-11T03:00:00.000Z,19100,19150,19098,19143,22713
2024-03-11T05:00:00.000Z,19141,19167,19126,19137,19081
2024-03-11T06:00:00.000Z,19137,19152,19128,19128,21068
2024-03-11T13:00:00.000Z,19143,19157,19114,19141,29648
2024-03-11T14:00:00.000Z,19141,19185,19136,19183,26226
2024-03-11T15:00:00.000Z,19183,19192,19166,19183,8630
2024-03-11T16:00:00.000Z,19183,19184,19160,19167,4354
2024-03-12T01:00:00.000Z,19167,19171,19122,19148,28703
2024-03-12T02:00:00.000Z,19148,19154,19110,19111,26914
2024-03-12T03:00:00.000Z,19111,19132,19093,19115,12883
2024-03-12T05:00:00.000Z,19110,19138,19093,19125,14592
2024-03-12T06:00:00.000Z,19125,19129,19087,19128,25089
2024-03-12T13:00:00.000Z,19159,19165,19081,19109,39691
2024-03-12T14:00:00.000Z,19109,19151,19091,19142,21392
2024-03-12T15:00:00.000Z,19142,19163,19139,19157,7311
2024-03-12T16:00:00.000Z,19157,19163,19146,19156,5005
2024-03-13T01:00:00.000Z,19162,19162,19121,19131,25430
2024-03-13T02:00:00.000Z,19131,19213,19124,19197,42627
2024-03-13T03:00:00.000Z,19197,19201,19178,19194,12492
2024-03-13T05:00:00.000Z,19188,19207,19172,19197,14825
2024-03-13T06:00:00.000Z,19197,19214,19172,19189,30372
2024-03-13T13:00:00.000Z,19222,19236,19181,19203,58929
2024-03-13T14:00:00.000Z,19203,19232,19196,19224,14710
2024-03-13T15:00:00.000Z,19224,19244,19218,19238,12864
2024-03-13T16:00:00.000Z,19238,19245,19208,19213,8756
2024-03-14T01:00:00.000Z,19216,19310,19211,19270,73104
2024-03-14T02:00:00.000Z,19270,19273,19213,19238,40962
2024-03-14T03:00:00.000Z,19238,19255,19213,19221,13148
2024-03-14T05:00:00.000Z,19213,19213,19159,19163,33434
2024-03-14T06:00:00.000Z,19163,19185,19114,19114,38980
2024-03-14T13:00:00.000Z,19099,19147,19098,19118,46319
2024-03-14T14:00:00.000Z,19118,19157,19117,19142,15242
2024-03-14T15:00:00.000Z,19142,19162,19116,19144,10457
2024-03-14T16:00:00.000Z,19144,19157,19135,19156,4065
2024-03-15T01:00:00.000Z,19155,19198,19135,19145,43149
2024-03-15T02:00:00.000Z,19145,19232,19138,19224,50805
2024-03-15T03:00:00.000Z,19224,19247,19216,19242,18739
2024-03-15T05:00:00.000Z,19248,19274,19238,19250,31554
2024-03-15T06:00:00.000Z,19250,19271,19224,19257,37226
2024-03-15T13:00:00.000Z,19261,19267,19207,19229,54971
2024-03-15T14:00:00.000Z,19229,19245,19193,19240,29954
2024-03-15T15:00:00.000Z,19240,19262,19233,19256,18688
2024-03-15T16:00:00.000Z,19256,19271,19252,19254,8346
2024-03-18T01:00:00.000Z,19253,19313,19184,19302,83024
2024-03-18T02:00:00.000Z,19302,19304,19234,19241,35645
2024-03-18T03:00:00.000Z,19241,19253,19230,19238,14055
2024-03-18T05:00:00.000Z,19227,19243,19211,19229,17409
2024-03-18T06:00:00.000Z,19229,19256,19208,19241,29612
2024-03-18T13:00:00.000Z,19253,19372,19241,19360,88293
2024-03-18T14:00:00.000Z,19360,19397,19341,19354,28141
2024-03-18T15:00:00.000Z,19354,19363,19333,19335,7659
2024-03-18T16:00:00.000Z,19335,19335,19306,19312,7571
2024-03-19T01:00:00.000Z,19311,19337,19258,19278,54516
2024-03-19T02:00:00.000Z,19278,19309,19248,19273,31445
2024-03-19T03:00:00.000Z,19273,19295,19264,19268,9021
2024-03-19T05:00:00.000Z,19254,19257,19170,19174,39736
