time,open,high,low,close,volume
2024-01-17T14:00:00.000Z,67724,67729,67705,67717,426
2024-01-17T14:05:00.000Z,67717,67717,67688,67694,589
2024-01-17T14:10:00.000Z,67694,67722,67682,67719,634
2024-01-17T14:15:00.000Z,67719,67753,67716,67742,394
2024-01-17T14:20:00.000Z,67742,67759,67738,67747,207
2024-01-17T14:25:00.000Z,67747,67766,67744,67764,200
2024-01-17T14:30:00.000Z,67764,67798,67753,67792,995
2024-01-17T14:35:00.000Z,67792,67806,67775,67806,443
2024-01-17T14:40:00.000Z,67806,67810,67771,67782,579
2024-01-17T14:45:00.000Z,67782,67805,67742,67799,837
2024-01-17T14:50:00.000Z,67799,67825,67767,67770,986
2024-01-17T14:55:00.000Z,67770,67771,67747,67763,378
2024-01-17T15:00:00.000Z,67763,67782,67744,67770,290
2024-01-17T15:05:00.000Z,67770,67799,67755,67787,476
2024-01-17T15:10:00.000Z,67787,67787,67754,67758,249
2024-01-17T15:15:00.000Z,67758,67766,67739,67745,455
2024-01-17T15:20:00.000Z,67745,67764,67739,67753,295
2024-01-17T15:25:00.000Z,67753,67764,67736,67736,179
2024-01-17T15:30:00.000Z,67736,67738,67684,67695,1207
2024-01-17T15:35:00.000Z,67695,67749,67693,67749,414
2024-01-17T15:40:00.000Z,67749,67759,67719,67728,250
2024-01-17T15:45:00.000Z,67728,67728,67695,67702,497
2024-01-17T15:50:00.000Z,67702,67706,67676,67685,927
2024-01-17T15:55:00.000Z,67685,67685,67595,67601,3139
2024-01-17T16:00:00.000Z,67601,67611,67577,67606,1729
2024-01-17T16:05:00.000Z,67606,67625,67604,67605,426
2024-01-17T16:10:00.000Z,67605,67634,67589,67628,328
2024-01-17T16:15:00.000Z,67628,67640,67623,67640,250
2024-01-17T16:20:00.000Z,67640,67647,67597,67597,322
2024-01-17T16:25:00.000Z,67597,67615,67591,67591,285
2024-01-17T16:30:00.000Z,67591,67642,67580,67640,651
2024-01-17T16:35:00.000Z,67640,67650,67620,67635,304
2024-01-17T16:40:00.000Z,67635,67635,67595,67595,232
2024-01-17T16:45:00.000Z,67595,67598,67573,67583,385
2024-01-17T16:50:00.000Z,67583,67595,67576,67590,227
2024-01-17T16:55:00.000Z,67590,67605,67575,67594,783
2024-01-18T01:00:00.000Z,67704,67763,67704,67734,2502
2024-01-18T01:05:00.000Z,67734,67752,67713,67724,1250
2024-01-18T01:10:00.000Z,67724,67732,67687,67718,1391
2024-01-18T01:15:00.000Z,67718,67724,67700,67712,813
2024-01-18T01:20:00.000Z,67712,67717,67695,67699,536
2024-01-18T01:25:00.000Z,67699,67701,67684,67693,430
2024-01-18T01:30:00.000Z,67693,67693,67651,67660,1009
2024-01-18T01:35:00.000Z,67660,67696,67659,67694,675
2024-01-18T01:40:00.000Z,67694,67701,67663,67673,830
2024-01-18T01:45:00.000Z,67673,67676,67662,67671,630
2024-01-18T01:50:00.000Z,67671,67715,67670,67715,667
2024-01-18T01:55:00.000Z,67715,67722,67708,67722,569
2024-01-18T02:00:00.000Z,67722,67722,67682,67682,894
2024-01-18T02:05:00.000Z,67682,67689,67668,67670,659
2024-01-18T02:10:00.000Z,67670,67673,67649,67658,837
2024-01-18T02:30:00.000Z,67652,67652,67626,67637,2715
2024-01-18T02:35:00.000Z,67637,67645,67624,67641,1440
2024-01-18T02:40:00.000Z,67641,67647,67624,67631,846
2024-01-18T02:45:00.000Z,67631,67633,67616,67620,1408
2024-01-18T02:50:00.000Z,67620,67620,67591,67599,1570
2024-01-18T02:55:00.000Z,67599,67599,67505,67537,4714
2024-01-18T03:00:00.000Z,67537,67537,67491,67504,3622
2024-01-18T03:05:00.000Z,67504,67541,67496,67519,1446
2024-01-18T03:10:00.000Z,67519,67554,67513,67541,1268
2024-01-18T03:15:00.000Z,67541,67589,67537,67589,1410
2024-01-18T03:20:00.000Z,67589,67641,67589,67611,1845
2024-01-18T03:25:00.000Z,67611,67630,67608,67628,858
2024-01-18T05:30:00.000Z,67613,67613,67572,67582,1848
2024-01-18T05:35:00.000Z,67582,67609,67573,67608,2206
2024-01-18T05:40:00.000Z,67608,67638,67590,67624,1826
2024-01-18T05:45:00.000Z,67624,67639,67605,67618,1476
2024-01-18T05:50:00.000Z,67618,67663,67608,67662,2536
2024-01-18T05:55:00.000Z,67662,67730,67658,67703,1979
2024-01-18T06:00:00.000Z,67703,67733,67699,67728,1380
2024-01-18T06:05:00.000Z,67728,67786,67724,67778,3071
2024-01-18T06:10:00.000Z,67778,67794,67736,67736,1708
2024-01-18T06:15:00.000Z,67736,67764,67726,67750,1317
2024-01-18T06:20:00.000Z,67750,67775,67738,67772,984
2024-01-18T06:25:00.000Z,67772,67774,67752,67757,1038
2024-01-18T06:30:00.000Z,67757,67780,67751,67780,1301
2024-01-18T06:35:00.000Z,67780,67804,67771,67796,2059
2024-01-18T06:40:00.000Z,67796,67803,67787,67797,1198
2024-01-18T06:45:00.000Z,67797,67821,67794,67813,1688
2024-01-18T06:50:00.000Z,67813,67836,67813,67830,1850
2024-01-18T06:55:00.000Z,67830,67836,67806,67836,2847
2024-01-18T13:00:00.000Z,67582,67582,67500,67518,11154
2024-01-18T13:05:00.000Z,67518,67542,67463,67470,6198
2024-01-18T13:10:00.000Z,67470,67515,67442,67444,4499
2024-01-18T13:15:00.000Z,67444,67449,67397,67412,3767
2024-01-18T13:20:00.000Z,67412,67475,67376,67466,3610
2024-01-18T13:25:00.000Z,67466,67471,67431,67469,1134
2024-01-18T13:30:00.000Z,67469,67486,67443,67472,1786
2024-01-18T13:35:00.000Z,67472,67492,67443,67444,1339
2024-01-18T13:40:00.000Z,67444,67454,67419,67425,742
2024-01-18T13:45:00.000Z,67425,67434,67408,67423,1184
2024-01-18T13:50:00.000Z,67423,67457,67419,67424,790
2024-01-18T13:55:00.000Z,67424,67432,67415,67424,486
2024-01-18T14:00:00.000Z,67424,67432,67406,67410,623
2024-01-18T14:05:00.000Z,67410,67420,67402,67413,857
2024-01-18T14:10:00.000Z,67413,67484,67407,67471,793
2024-01-18T14:15:00.000Z,67471,67471,67413,67423,557
2024-01-18T14:20:00.000Z,67423,67462,67419,67438,747
2024-01-18T14:25:00.000Z,67438,67438,67415,67428,328
2024-01-18T14:30:00.000Z,67428,67428,67394,67400,929
2024-01-18T14:35:00.000Z,67400,67411,67384,67401,1097
2024-01-18T14:40:00.000Z,67401,67434,67397,67419,397
2024-01-18T14:45:00.000Z,67419,67423,67391,67393,1097
2024-01-18T14:50:00.000Z,67393,67431,67383,67408,794
2024-01-18T14:55:00.000Z,67408,67432,67399,67425,277
2024-01-18T15:00:00.000Z,67425,67441,67413,67413,300
2024-01-18T15:05:00.000Z,67413,67435,67405,67410,244
2024-01-18T15:10:00.000Z,67410,67447,67410,67439,198
2024-01-18T15:15:00.000Z,67439,67504,67439,67493,785
2024-01-18T15:20:00.000Z,67493,67508,67462,67468,372
2024-01-18T15:25:00.000Z,67468,67475,67445,67475,98
2024-01-18T15:30:00.000Z,67475,67514,67471,67514,491
2024-01-18T15:35:00.000Z,67514,67597,67506,67576,1694
2024-01-18T15:40:00.000Z,67576,67578,67547,67552,430
2024-01-18T15:45:00.000Z,67552,67558,67521,67529,243
2024-01-18T15:50:00.000Z,67529,67552,67529,67547,197
2024-01-18T15:55:00.000Z,67547,67564,67526,67548,222
2024-01-18T16:00:00.000Z,67548,67564,67547,67548,98
2024-01-18T16:05:00.000Z,67548,67554,67529,67551,66
2024-01-18T16:10:00.000Z,67551,67572,67551,67568,162
2024-01-18T16:15:00.000Z,67568,67569,67554,67568,122
2024-01-18T16:20:00.000Z,67568,67679,67564,67679,1251
2024-01-18T16:25:00.000Z,67679,67734,67673,67723,1497
2024-01-18T16:30:00.000Z,67723,67733,67658,67697,883
2024-01-18T16:35:00.000Z,67697,67717,67687,67701,239
2024-01-18T16:40:00.000Z,67701,67752,67695,67739,576
2024-01-18T16:45:00.000Z,67739,67749,67689,67690,432
2024-01-18T16:50:00.000Z,67690,67725,67686,67715,510
2024-01-18T16:55:00.000Z,67715,67715,67661,67665,922
2024-01-19T01:00:00.000Z,67768,67805,67753,67774,4759
2024-01-19T01:05:00.000Z,67774,67856,67773,67812,3340
2024-01-19T01:10:00.000Z,67812,67815,67782,67782,1427
2024-01-19T01:15:00.000Z,67782,67795,67764,67775,1034
2024-01-19T01:20:00.000Z,67775,67783,67761,67767,739
2024-01-19T01:25:00.000Z,67767,67770,67734,67748,747
2024-01-19T01:30:00.000Z,67748,67783,67740,67774,1036
2024-01-19T01:35:00.000Z,67774,67774,67746,67769,835
2024-01-19T01:40:00.000Z,67769,67778,67740,67746,827
2024-01-19T01:45:00.000Z,67746,67754,67737,67741,587
2024-01-19T01:50:00.000Z,67741,67756,67741,67756,339
2024-01-19T01:55:00.000Z,67756,67756,67739,67748,517
2024-01-19T02:00:00.000Z,67748,67748,67702,67733,1002
2024-01-19T02:05:00.000Z,67733,67738,67714,67720,761
2024-01-19T02:10:00.000Z,67720,67727,67696,67727,614
2024-01-19T02:30:00.000Z,67727,67733,67701,67705,880
2024-01-19T02:35:00.000Z,67705,67745,67701,67738,879
2024-01-19T02:40:00.000Z,67738,67757,67737,67757,775
2024-01-19T02:45:00.000Z,67757,67806,67753,67806,1495
2024-01-19T02:50:00.000Z,67806,67835,67804,67831,2104
2024-01-19T02:55:00.000Z,67831,67854,67807,67815,2377
2024-01-19T03:00:00.000Z,67815,67822,67788,67812,1211
2024-01-19T03:05:00.000Z,67812,67815,67794,67812,1230
2024-01-19T03:10:00.000Z,67812,67818,67796,67803,528
2024-01-19T03:15:00.000Z,67803,67803,67788,67796,574
2024-01-19T03:20:00.000Z,67796,67796,67766,67771,655
2024-01-19T03:25:00.000Z,67771,67780,67764,67775,668
2024-01-19T05:30:00.000Z,67771,67787,67732,67732,2034
2024-01-19T05:35:00.000Z,67732,67742,67720,67731,1681
2024-01-19T05:40:00.000Z,67731,67734,67702,67710,1195
2024-01-19T05:45:00.000Z,67710,67724,67704,67715,697
2024-01-19T05:50:00.000Z,67715,67722,67690,67699,976
2024-01-19T05:55:00.000Z,67699,67704,67696,67699,566
2024-01-19T06:00:00.000Z,67699,67708,67658,67666,1306
2024-01-19T06:05:00.000Z,67666,67689,67663,67674,1003
2024-01-19T06:10:00.000Z,67674,67689,67669,67689,1205
2024-01-19T06:15:00.000Z,67689,67697,67682,67692,711
2024-01-19T06:20:00.000Z,67692,67721,67679,67721,738
2024-01-19T06:25:00.000Z,67721,67721,67704,67706,465
