time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,3121,3121,3111,3116,61568
2024-03-11T01:05:00.000Z,3116,3117,3110,3110,25113
2024-03-11T01:10:00.000Z,3110,3113,3109,3111,14878
2024-03-11T01:15:00.000Z,3111,3114,3110,3111,9584
2024-03-11T01:20:00.000Z,3111,3114,3109,3112,8514
2024-03-11T01:25:00.000Z,3112,3117,3112,3115,9565
2024-03-11T01:30:00.000Z,3115,3119,3115,3119,9466
2024-03-11T01:35:00.000Z,3119,3119,3113,3113,6504
2024-03-11T01:40:00.000Z,3113,3115,3112,3112,5717
2024-03-11T01:45:00.000Z,3112,3113,3109,3110,12751
2024-03-11T01:50:00.000Z,3110,3110,3107,3110,7942
2024-03-11T01:55:00.000Z,3110,3112,3109,3111,3983
2024-03-11T02:00:00.000Z,3111,3114,3110,3113,7189
2024-03-11T02:05:00.000Z,3113,3115,3112,3113,3501
2024-03-11T02:10:00.000Z,3113,3114,3110,3110,3589
2024-03-11T02:30:00.000Z,3110,3111,3108,3109,4389
2024-03-11T02:35:00.000Z,3109,3110,3108,3110,4210
2024-03-11T02:40:00.000Z,3110,3112,3110,3111,2764
2024-03-11T02:45:00.000Z,3111,3112,3110,3111,2668
2024-03-11T02:50:00.000Z,3111,3112,3110,3111,3945
2024-03-11T02:55:00.000Z,3111,3111,3110,3111,2316
2024-03-11T03:00:00.000Z,3111,3113,3110,3113,3300
2024-03-11T03:05:00.000Z,3113,3114,3112,3114,2850
2024-03-11T03:10:00.000Z,3114,3116,3114,3116,3360
2024-03-11T03:15:00.000Z,3116,3117,3115,3117,3944
2024-03-11T03:20:00.000Z,3117,3117,3116,3117,2019
2024-03-11T03:25:00.000Z,3117,3120,3116,3117,8541
2024-03-11T05:30:00.000Z,3116,3120,3116,3119,8207
2024-03-11T05:35:00.000Z,3119,3119,3116,3119,3989
2024-03-11T05:40:00.000Z,3119,3121,3117,3121,3783
2024-03-11T05:45:00.000Z,3121,3121,3118,3118,4676
2024-03-11T05:50:00.000Z,3118,3119,3116,3118,5591
2024-03-11T05:55:00.000Z,3118,3118,3117,3118,3204
2024-03-11T06:00:00.000Z,3118,3119,3117,3118,3049
2024-03-11T06:05:00.000Z,3118,3121,3117,3121,3450
2024-03-11T06:10:00.000Z,3121,3122,3120,3120,4218
2024-03-11T06:15:00.000Z,3120,3121,3118,3118,4043
2024-03-11T06:20:00.000Z,3118,3119,3117,3117,3424
2024-03-11T06:25:00.000Z,3117,3118,3117,3117,2178
2024-03-11T06:30:00.000Z,3117,3118,3117,3117,2615
2024-03-11T06:35:00.000Z,3117,3118,3116,3117,5135
2024-03-11T06:40:00.000Z,3117,3119,3116,3118,4142
2024-03-11T06:45:00.000Z,3118,3118,3116,3118,5615
2024-03-11T06:50:00.000Z,3118,3119,3117,3118,5473
2024-03-11T06:55:00.000Z,3118,3120,3118,3118,13288
2024-03-11T13:00:00.000Z,3116,3121,3113,3114,31107
2024-03-11T13:05:00.000Z,3114,3117,3112,3112,16238
2024-03-11T13:10:00.000Z,3112,3115,3108,3109,20509
2024-03-11T13:15:00.000Z,3109,3111,3108,3108,11001
2024-03-11T13:20:00.000Z,3108,3109,3100,3101,22043
2024-03-11T13:25:00.000Z,3101,3107,3100,3105,15491
2024-03-11T13:30:00.000Z,3105,3106,3102,3102,13257
2024-03-11T13:35:00.000Z,3102,3103,3098,3098,16040
2024-03-11T13:40:00.000Z,3098,3098,3095,3096,23801
2024-03-11T13:45:00.000Z,3096,3097,3092,3096,17322
2024-03-11T13:50:00.000Z,3096,3097,3091,3094,14094
2024-03-11T13:55:00.000Z,3094,3097,3094,3097,10263
2024-03-11T14:00:00.000Z,3097,3098,3095,3096,10467
2024-03-11T14:05:00.000Z,3096,3099,3096,3098,10075
2024-03-11T14:10:00.000Z,3098,3098,3095,3096,5324
2024-03-11T14:15:00.000Z,3096,3100,3096,3097,8114
2024-03-11T14:20:00.000Z,3097,3100,3096,3097,6079
2024-03-11T14:25:00.000Z,3097,3098,3095,3097,6463
2024-03-11T14:30:00.000Z,3097,3101,3095,3099,11303
2024-03-11T14:35:00.000Z,3099,3100,3096,3099,5690
2024-03-11T14:40:00.000Z,3099,3100,3097,3100,4485
2024-03-11T14:45:00.000Z,3100,3102,3098,3102,10130
2024-03-11T14:50:00.000Z,3102,3102,3098,3099,8701
2024-03-11T14:55:00.000Z,3099,3100,3098,3100,10714
2024-03-12T01:00:00.000Z,3112,3113,3108,3109,24322
2024-03-12T01:05:00.000Z,3109,3112,3107,3111,12127
2024-03-12T01:10:00.000Z,3111,3112,3108,3108,9347
2024-03-12T01:15:00.000Z,3108,3112,3106,3111,9267
2024-03-12T01:20:00.000Z,3111,3112,3109,3111,4140
2024-03-12T01:25:00.000Z,3111,3113,3110,3110,5992
2024-03-12T01:30:00.000Z,3110,3112,3109,3109,5242
