time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,14161,14225,14144,14199,75357
2024-03-11T02:00:00.000Z,14199,14243,14184,14215,22691
2024-03-11T03:00:00.000Z,14215,14245,14189,14193,17830
2024-03-11T05:00:00.000Z,14200,14209,14166,14197,18217
2024-03-11T06:00:00.000Z,14197,14204,14116,14147,50662
2024-03-11T13:00:00.000Z,14160,14180,14096,14105,54886
2024-03-11T14:00:00.000Z,14105,14116,14084,14102,28855
2024-03-12T01:00:00.000Z,14116,14227,14112,14207,71983
2024-03-12T02:00:00.000Z,14207,14264,14194,14220,44507
2024-03-12T03:00:00.000Z,14220,14259,14209,14253,16158
2024-03-12T05:00:00.000Z,14268,14346,14247,14282,38136
2024-03-12T06:00:00.000Z,14282,14283,14158,14210,67516
2024-03-12T13:00:00.000Z,14206,14307,14172,14286,77702
2024-03-12T14:00:00.000Z,14286,14306,14253,14273,52426
2024-03-13T01:00:00.000Z,14284,14299,14240,14272,43278
2024-03-13T02:00:00.000Z,14272,14292,14235,14281,24408
2024-03-13T03:00:00.000Z,14281,14342,14259,14324,34072
2024-03-13T05:00:00.000Z,14329,14347,14280,14301,33860
2024-03-13T06:00:00.000Z,14301,14306,14247,14291,40211
2024-03-13T13:00:00.000Z,14332,14635,14318,14430,252606
2024-03-13T14:00:00.000Z,14430,14480,14340,14367,83799
2024-03-14T01:00:00.000Z,14396,14509,14391,14504,74332
2024-03-14T02:00:00.000Z,14504,14504,14412,14418,34508
2024-03-14T03:00:00.000Z,14418,14438,14377,14393,29698
2024-03-14T05:00:00.000Z,14388,14430,14349,14427,29022
2024-03-14T06:00:00.000Z,14427,14512,14408,14483,61837
2024-03-14T13:00:00.000Z,14512,14681,14486,14635,189985
2024-03-14T14:00:00.000Z,14635,14740,14614,14694,96514
2024-03-15T01:00:00.000Z,14728,14843,14683,14695,135176
2024-03-15T02:00:00.000Z,14695,14739,14645,14704,48673
2024-03-15T03:00:00.000Z,14704,14826,14696,14816,41196
2024-03-15T05:00:00.000Z,14859,14912,14816,14839,68696
2024-03-15T06:00:00.000Z,14839,14981,14808,14901,128729
2024-03-15T13:00:00.000Z,14938,14978,14800,14838,164758
2024-03-15T14:00:00.000Z,14838,15077,14816,15067,154743
2024-03-18T01:00:00.000Z,15125,15631,15112,15631,267855
2024-03-18T02:00:00.000Z,15631,15631,15516,15544,91074
2024-03-18T03:00:00.000Z,15544,15546,15343,15511,181062
2024-03-18T05:00:00.000Z,15503,15570,15395,15570,84387
2024-03-18T06:00:00.000Z,15570,15628,15542,15628,91831
2024-03-18T13:00:00.000Z,15712,15780,15469,15525,303600
2024-03-18T14:00:00.000Z,15525,15854,15501,15537,312267
2024-03-19T01:00:00.000Z,15521,15609,15444,15522,173671
2024-03-19T02:00:00.000Z,15522,15561,15430,15501,88188
2024-03-19T03:00:00.000Z,15501,15574,15499,15526,30442
2024-03-19T05:00:00.000Z,15524,15557,15410,15435,55434
2024-03-19T06:00:00.000Z,15435,15501,15356,15458,126105
2024-03-19T13:00:00.000Z,15396,15580,15331,15539,231947
2024-03-19T14:00:00.000Z,15539,15591,15440,15518,146987
2024-03-20T01:00:00.000Z,15547,15650,15526,15565,153267
2024-03-20T02:00:00.000Z,15565,15567,15486,15536,53845
2024-03-20T03:00:00.000Z,15536,15538,15433,15495,49287
2024-03-20T05:00:00.000Z,15497,15522,15465,15488,28385
2024-03-20T06:00:00.000Z,15488,15635,15425,15480,176717
2024-03-20T13:00:00.000Z,15398,15487,15385,15425,174276
2024-03-20T14:00:00.000Z,15425,15440,15209,15213,167453
2024-03-21T01:00:00.000Z,15261,15331,15215,15315,147585
2024-03-21T02:00:00.000Z,15315,15339,15238,15263,54380
2024-03-21T03:00:00.000Z,15263,15304,15226,15304,34501
2024-03-21T05:00:00.000Z,15306,15348,15259,15343,42271
2024-03-21T06:00:00.000Z,15343,15376,15030,15040,223068
2024-03-21T13:00:00.000Z,14992,15137,14974,15055,178976
2024-03-21T14:00:00.000Z,15055,15082,15001,15047,108470
