time,open,high,low,close,volume
2023-10-09T01:00:00.000Z,13792.7999,13860.3719,13791.8232,13853.9093,8434
2023-10-09T01:01:00.000Z,13853.9093,13891.5094,13845.0641,13888.0685,5082
2023-10-09T01:02:00.000Z,13888.0685,13910.8329,13882.1658,13906.7344,5380
2023-10-09T01:03:00.000Z,13906.7344,13967.2308,13906.7344,13962.1134,6999
2023-10-09T01:04:00.000Z,13962.1134,14032.7042,13962.1134,14014.9412,9971
2023-10-09T01:05:00.000Z,14014.9412,14022.4873,13988.2666,13997.6365,6802
2023-10-09T01:06:00.000Z,13997.6365,13999.9961,13957.4309,13966.217,5198
2023-10-09T01:07:00.000Z,13966.217,13966.217,13934.094,13947.0108,3854
2023-10-09T01:08:00.000Z,13947.0108,13951.7171,13937.2301,13948.4881,2006
2023-10-09T01:09:00.000Z,13948.4881,13993.9676,13947.6186,13982.0145,3894
2023-10-09T01:10:00.000Z,13982.0145,14031.9622,13980.8045,14021.5034,6503
2023-10-09T01:11:00.000Z,14021.5034,14033.5483,14011.5168,14024.6789,2965
2023-10-09T01:12:00.000Z,14024.6789,14036.151,14024.6789,14027.0566,2829
2023-10-09T01:13:00.000Z,14027.0566,14039.7181,14014.5259,14022.4103,3329
2023-10-09T01:14:00.000Z,14022.4103,14033.7658,14004.4447,14029.4488,3655
2023-10-09T01:15:00.000Z,14029.4488,14038.2945,14014.6852,14015.8951,2892
2023-10-09T01:16:00.000Z,14015.8951,14019.1241,13967.6302,13974.1502,4558
2023-10-09T01:17:00.000Z,13974.1502,14021.809,13974.1502,14021.809,2548
2023-10-09T01:18:00.000Z,14021.809,14052.9386,14018.58,14044.6124,4476
2023-10-09T01:19:00.000Z,14044.6124,14061.8343,14044.6124,14057.5193,4142
2023-10-09T01:20:00.000Z,14057.5193,14065.0424,14054.2903,14063.0215,2065
2023-10-09T01:21:00.000Z,14063.0215,14063.0215,14044.06,14048.4341,3030
2023-10-09T01:22:00.000Z,14048.4341,14056.3186,14044.6142,14049.0829,1246
2023-10-09T01:23:00.000Z,14049.0829,14061.5902,14048.402,14056.9673,1617
2023-10-09T01:24:00.000Z,14056.9673,14070.4061,14053.7383,14070.4061,1455
2023-10-09T01:25:00.000Z,14070.4061,14083.7782,14061.7221,14061.8506,2854
2023-10-09T01:26:00.000Z,14061.8506,14065.0796,14051.5381,14056.4441,1471
2023-10-09T01:27:00.000Z,14056.4441,14084.0257,14056.4441,14080.4194,1844
2023-10-09T01:28:00.000Z,14080.4194,14090.9696,14068.7815,14075.2395,2114
2023-10-09T01:29:00.000Z,14075.2395,14085.969,14072.0105,14082.087,2214
2023-10-09T01:30:00.000Z,14082.087,14082.087,14052.5003,14052.5003,3481
2023-10-09T01:31:00.000Z,14052.5003,14055.6073,14047.6609,14047.6609,1206
2023-10-09T01:32:00.000Z,14047.6609,14061.3782,14047.477,14057.0012,1296
2023-10-09T01:33:00.000Z,14057.0012,14061.3782,14048.8411,14053.218,1049
2023-10-09T01:34:00.000Z,14053.218,14057.038,14048.2221,14056.976,504
2023-10-09T01:35:00.000Z,14056.976,14061.8727,14042.6054,14043.4749,1162
2023-10-09T01:36:00.000Z,14043.4749,14047.0443,14035.5284,14037.6148,1491
2023-10-09T01:37:00.000Z,14037.6148,14046.6146,14034.7276,14037.8094,707
