time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,220664,221459,219720,220551,16370
2024-03-11T02:00:00.000Z,220551,220594,219497,219708,6697
2024-03-11T03:00:00.000Z,219708,220097,219702,220077,2822
2024-03-11T05:00:00.000Z,220094,220317,219771,219899,4159
2024-03-11T06:00:00.000Z,219899,220205,219774,219890,5841
2024-03-11T13:00:00.000Z,220033,220844,219836,220554,10281
2024-03-11T14:00:00.000Z,220554,221388,220280,221175,10149
2024-03-11T15:00:00.000Z,221175,221766,221145,221357,5989
2024-03-11T16:00:00.000Z,221357,221475,220361,220692,5370
2024-03-12T01:00:00.000Z,220565,220775,219445,220048,12460
2024-03-12T02:00:00.000Z,220048,220127,219401,219840,5683
2024-03-12T03:00:00.000Z,219840,219953,219224,219560,3654
2024-03-12T05:00:00.000Z,219566,219868,219200,219582,4011
2024-03-12T06:00:00.000Z,219582,219758,219365,219667,5703
2024-03-12T13:00:00.000Z,220328,220361,218815,219088,14622
2024-03-12T14:00:00.000Z,219088,219259,218766,219217,7250
2024-03-12T15:00:00.000Z,219217,219226,218968,219095,3108
2024-03-12T16:00:00.000Z,219095,219159,218801,218982,2746
2024-03-13T01:00:00.000Z,218883,219599,218488,218950,10425
2024-03-13T02:00:00.000Z,218950,219480,218884,219365,4864
2024-03-13T03:00:00.000Z,219365,220091,219298,219917,4794
2024-03-13T05:00:00.000Z,219906,221083,219792,220896,10290
2024-03-13T06:00:00.000Z,220896,221087,219885,220156,10352
2024-03-13T13:00:00.000Z,221090,222054,220935,221831,20604
2024-03-13T14:00:00.000Z,221831,222212,221591,221992,8222
2024-03-13T15:00:00.000Z,221992,222624,221836,222546,8100
2024-03-13T16:00:00.000Z,222546,224905,222533,223262,19705
2024-03-14T01:00:00.000Z,223147,225948,222835,225903,29123
2024-03-14T02:00:00.000Z,225903,226543,224846,224967,19592
2024-03-14T03:00:00.000Z,224967,225381,223930,224199,6925
2024-03-14T05:00:00.000Z,224127,224127,221997,222524,18550
2024-03-14T06:00:00.000Z,222524,224481,222329,224386,15212
2024-03-14T13:00:00.000Z,224186,224420,222457,223827,22824
2024-03-14T14:00:00.000Z,223827,224315,223649,223910,8745
2024-03-14T15:00:00.000Z,223910,224188,223293,223642,5793
2024-03-14T16:00:00.000Z,223642,224084,223548,223780,3820
2024-03-15T01:00:00.000Z,223852,225572,223785,225124,17715
2024-03-15T02:00:00.000Z,225124,225294,224358,225120,10489
2024-03-15T03:00:00.000Z,225120,225653,224963,225359,5607
2024-03-15T05:00:00.000Z,225482,226709,225398,226673,10807
2024-03-15T06:00:00.000Z,226673,226789,225741,226005,14133
2024-03-15T13:00:00.000Z,226247,226283,225862,225862,719
2024-03-15T14:00:00.000Z,227222,227352,227222,227352,55
2024-03-15T15:00:00.000Z,227745,227818,227666,227695,265
