time,open,high,low,close,volume
2024-04-15T01:00:00.000Z,254919,254943,251755,253540,16019
2024-04-15T01:05:00.000Z,253540,253586,251854,252073,6929
2024-04-15T01:10:00.000Z,252073,252420,250499,250598,7478
2024-04-15T01:15:00.000Z,250598,252126,250584,252039,6396
2024-04-15T01:20:00.000Z,252039,253428,252028,253344,5126
2024-04-15T01:25:00.000Z,253344,253801,252898,253621,3687
2024-04-15T01:30:00.000Z,253621,253977,253295,253685,2766
2024-04-15T01:35:00.000Z,253685,254306,253665,253859,3150
2024-04-15T01:40:00.000Z,253859,253936,253328,253674,2251
2024-04-15T01:45:00.000Z,253674,253732,252896,253364,2764
2024-04-15T01:50:00.000Z,253364,253624,253191,253503,1108
2024-04-15T01:55:00.000Z,253503,253995,253498,253873,2108
2024-04-15T02:00:00.000Z,253873,254135,253873,253948,1275
2024-04-15T02:05:00.000Z,253948,254445,253948,254212,1549
2024-04-15T02:10:00.000Z,254212,254841,254212,254725,2689
2024-04-15T02:30:00.000Z,254753,254800,253368,253649,3789
2024-04-15T02:35:00.000Z,253649,254070,253397,253697,2620
2024-04-15T02:40:00.000Z,253697,253869,253535,253706,1124
2024-04-15T02:45:00.000Z,253706,253917,253463,253648,1352
2024-04-15T02:50:00.000Z,253648,253766,253230,253696,1523
2024-04-15T02:55:00.000Z,253696,254211,253689,253850,1511
2024-04-15T03:00:00.000Z,253850,254082,253800,254007,781
2024-04-15T03:05:00.000Z,254007,254007,253743,253860,477
2024-04-15T03:10:00.000Z,253860,253898,253496,253614,731
2024-04-15T03:15:00.000Z,253614,253739,253260,253550,1638
2024-04-15T03:20:00.000Z,253550,253924,253337,253777,847
2024-04-15T03:25:00.000Z,253777,254617,253777,254411,1323
2024-04-15T05:30:00.000Z,254570,256100,254451,256088,5702
2024-04-15T05:35:00.000Z,256088,257493,255760,257432,6267
2024-04-15T05:40:00.000Z,257432,257682,256787,257270,4894
2024-04-15T05:45:00.000Z,257270,258972,256981,258811,7582
2024-04-15T05:50:00.000Z,258811,259986,258370,259774,8126
2024-04-15T05:55:00.000Z,259774,261493,259326,259437,12337
2024-04-15T06:00:00.000Z,259437,260655,258902,259299,8237
2024-04-15T06:05:00.000Z,259299,259358,258014,258426,5293
2024-04-15T06:10:00.000Z,258426,260002,258407,259786,4098
2024-04-15T06:15:00.000Z,259786,259786,258953,259238,2688
2024-04-15T06:20:00.000Z,259238,259712,258852,259397,2610
2024-04-15T06:25:00.000Z,259397,259676,258952,259323,1745
2024-04-15T06:30:00.000Z,259323,260079,258993,259101,3072
2024-04-15T06:35:00.000Z,259101,259803,258945,259662,2912
2024-04-15T06:40:00.000Z,259662,259717,259271,259698,1907
2024-04-15T06:45:00.000Z,259698,259982,259473,259889,2401
2024-04-15T06:50:00.000Z,259889,259938,258166,258604,4871
2024-04-15T06:55:00.000Z,258604,259788,258482,259582,4905
2024-04-15T13:00:00.000Z,259491,260396,256763,257742,16172
2024-04-15T13:05:00.000Z,257742,258109,256651,257231,8355
2024-04-15T13:10:00.000Z,257231,257348,256137,256226,6297
2024-04-15T13:15:00.000Z,256226,256597,255893,255985,5835
2024-04-15T13:20:00.000Z,255985,256524,255576,256198,5866
2024-04-15T13:25:00.000Z,256198,257285,256198,257057,5263
2024-04-15T13:30:00.000Z,257057,257291,256616,256747,3213
2024-04-15T13:35:00.000Z,256747,256870,255017,255341,9568
2024-04-15T13:40:00.000Z,255341,255676,254534,254962,6562
2024-04-15T13:45:00.000Z,254962,255803,254962,255609,3512
2024-04-15T13:50:00.000Z,255609,255778,255016,255193,2942
2024-04-15T13:55:00.000Z,255193,255801,254914,255642,3073
2024-04-15T14:00:00.000Z,255642,256120,255579,255608,3189
2024-04-15T14:05:00.000Z,255608,256089,255141,255170,3516
2024-04-15T14:10:00.000Z,255170,255341,253907,254137,8049
2024-04-15T14:15:00.000Z,254137,254629,253984,254457,3506
2024-04-15T14:20:00.000Z,254457,254687,253371,253670,5566
2024-04-15T14:25:00.000Z,253670,254449,253655,254236,2978
2024-04-15T14:30:00.000Z,254236,255010,254225,254556,3494
2024-04-15T14:35:00.000Z,254556,255194,254551,255181,2507
2024-04-15T14:40:00.000Z,255181,255757,255181,255757,2605
2024-04-15T14:45:00.000Z,255757,255773,255155,255481,2267
2024-04-15T14:50:00.000Z,255481,256316,255095,256268,3308
2024-04-15T14:55:00.000Z,256268,256727,256145,256159,4195
2024-04-15T15:00:00.000Z,256159,256228,255756,255935,2431
2024-04-15T15:05:00.000Z,255935,257185,255908,256904,4316
2024-04-15T15:10:00.000Z,256904,256984,256496,256784,2375
2024-04-15T15:15:00.000Z,256784,257031,256409,256441,1539
2024-04-15T15:20:00.000Z,256441,256971,256360,256866,1611
2024-04-15T15:25:00.000Z,256866,257269,256773,257239,1578
2024-04-15T15:30:00.000Z,257239,257261,256543,256663,1478
2024-04-15T15:35:00.000Z,256663,257026,256579,257023,1031
2024-04-15T15:40:00.000Z,257023,257102,256820,257031,736
2024-04-15T15:45:00.000Z,257031,257037,256798,256965,705
2024-04-15T15:50:00.000Z,256965,257189,256868,257120,817
2024-04-15T15:55:00.000Z,257120,258039,257037,257873,2564
2024-04-15T16:00:00.000Z,257873,257886,257396,257780,1472
2024-04-15T16:05:00.000Z,257780,257803,257460,257568,965
2024-04-15T16:10:00.000Z,257568,257658,257323,257344,862
2024-04-15T16:15:00.000Z,257344,257344,256922,257112,1534
2024-04-15T16:20:00.000Z,257112,257333,256729,256769,1112
2024-04-15T16:25:00.000Z,256769,256966,256756,256938,512
2024-04-15T16:30:00.000Z,256938,256945,256755,256848,606
2024-04-15T16:35:00.000Z,256848,256852,256386,256548,1328
2024-04-15T16:40:00.000Z,256548,257263,256548,257184,1395
2024-04-15T16:45:00.000Z,257184,257317,257010,257152,572
