time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,3910,3939,3910,3932,19
2024-03-11T01:15:00.000Z,3932,3932,3923,3932,23
2024-03-11T01:30:00.000Z,3932,3932,3925,3927,10
2024-03-11T01:45:00.000Z,3927,3931,3921,3921,22
2024-03-11T02:00:00.000Z,3921,3927,3921,3927,4
2024-03-11T02:30:00.000Z,3927,3927,3911,3918,22
2024-03-11T02:45:00.000Z,3918,3918,3896,3909,12
2024-03-11T03:00:00.000Z,3909,3909,3895,3899,15
2024-03-11T03:15:00.000Z,3899,3905,3897,3904,3
2024-03-11T05:30:00.000Z,3904,3907,3900,3900,5
2024-03-11T05:45:00.000Z,3900,3905,3896,3896,11
2024-03-11T06:00:00.000Z,3896,3909,3896,3909,8
2024-03-11T06:15:00.000Z,3909,3910,3901,3901,3
2024-03-11T06:30:00.000Z,3901,3901,3901,3901,2
2024-03-11T06:45:00.000Z,3901,3908,3901,3902,3
2024-03-12T01:00:00.000Z,3902,3933,3902,3923,23
2024-03-12T01:15:00.000Z,3923,3927,3917,3923,12
2024-03-12T01:30:00.000Z,3923,3923,3909,3914,14
2024-03-12T01:45:00.000Z,3914,3920,3914,3915,9
2024-03-12T02:00:00.000Z,3915,3921,3912,3914,16
2024-03-12T02:30:00.000Z,3914,3919,3914,3919,1
2024-03-12T02:45:00.000Z,3919,3919,3913,3919,2
2024-03-12T03:00:00.000Z,3919,3919,3918,3919,2
2024-03-12T03:15:00.000Z,3919,3919,3919,3919,0
2024-03-12T05:30:00.000Z,3919,3921,3919,3919,5
2024-03-12T05:45:00.000Z,3919,3919,3919,3919,2
2024-03-12T06:00:00.000Z,3919,3922,3917,3917,5
2024-03-12T06:15:00.000Z,3917,3922,3914,3922,6
2024-03-12T06:30:00.000Z,3922,3922,3916,3916,8
2024-03-12T06:45:00.000Z,3916,3926,3916,3919,18
2024-03-13T01:00:00.000Z,3919,3939,3919,3929,40
2024-03-13T01:15:00.000Z,3929,3930,3926,3930,3
2024-03-13T01:30:00.000Z,3930,3930,3927,3927,2
2024-03-13T01:45:00.000Z,3927,3928,3927,3928,1
2024-03-13T02:00:00.000Z,3928,3928,3920,3920,4
2024-03-13T02:30:00.000Z,3920,3928,3920,3925,3
2024-03-13T02:45:00.000Z,3925,3932,3922,3932,2
2024-03-13T03:00:00.000Z,3932,3932,3920,3921,9
2024-03-13T03:15:00.000Z,3921,3929,3917,3922,19
2024-03-13T05:30:00.000Z,3922,3935,3918,3928,17
2024-03-13T05:45:00.000Z,3928,3932,3928,3932,1
2024-03-13T06:00:00.000Z,3932,3932,3926,3926,4
2024-03-13T06:15:00.000Z,3926,3926,3913,3914,17
2024-03-13T06:30:00.000Z,3914,3917,3910,3910,8
2024-03-13T06:45:00.000Z,3910,3917,3907,3912,15
2024-03-14T01:00:00.000Z,3912,3926,3900,3917,10
2024-03-14T01:15:00.000Z,3917,3918,3902,3909,22
2024-03-14T01:30:00.000Z,3909,3917,3893,3893,13
2024-03-14T01:45:00.000Z,3893,3908,3893,3905,13
2024-03-14T02:00:00.000Z,3905,3911,3895,3907,10
2024-03-14T02:30:00.000Z,3907,3907,3901,3906,5
2024-03-14T02:45:00.000Z,3906,3906,3906,3906,10
2024-03-14T03:00:00.000Z,3906,3906,3898,3898,6
2024-03-14T03:15:00.000Z,3898,3903,3897,3903,3
2024-03-14T05:30:00.000Z,3903,3903,3850,3851,59
2024-03-14T05:45:00.000Z,3851,3853,3837,3846,24
2024-03-14T06:00:00.000Z,3846,3855,3840,3855,15
2024-03-14T06:15:00.000Z,3855,3856,3852,3852,7
2024-03-14T06:30:00.000Z,3852,3852,3841,3843,4
2024-03-14T06:45:00.000Z,3843,3860,3819,3827,36
2024-03-15T01:00:00.000Z,3824,3824,3806,3823,19
2024-03-15T01:15:00.000Z,3823,3828,3811,3818,29
2024-03-15T01:30:00.000Z,3818,3826,3806,3809,20
2024-03-15T01:45:00.000Z,3809,3826,3809,3818,14
2024-03-15T02:00:00.000Z,3818,3825,3810,3819,9
2024-03-15T02:30:00.000Z,3819,3820,3812,3812,2
2024-03-15T02:45:00.000Z,3812,3818,3812,3818,2
2024-03-15T03:00:00.000Z,3818,3819,3813,3819,7
2024-03-15T03:15:00.000Z,3819,3821,3819,3821,5
2024-03-15T05:30:00.000Z,3821,3835,3813,3834,28
2024-03-15T05:45:00.000Z,3834,3836,3820,3827,21
2024-03-15T06:00:00.000Z,3827,3830,3818,3823,16
2024-03-15T06:15:00.000Z,3823,3827,3823,3824,7
2024-03-15T06:30:00.000Z,3824,3827,3818,3827,4
2024-03-15T06:45:00.000Z,3827,3843,3822,3822,34
