time,open,high,low,close,volume
2023-05-23T02:00:00.000Z,33403,33407,33333,33353,4810
2023-05-23T06:00:00.000Z,33352,33355,33226,33250,5803
2023-05-23T10:00:00.000Z,33249,33308,33138,33267,9937
2023-05-23T14:00:00.000Z,33277,33337,33153,33211,28007
2023-05-23T18:00:00.000Z,33212,33250,33028,33098,16213
2023-05-23T22:00:00.000Z,33101,33147,33098,33115,3055
2023-05-24T02:00:00.000Z,33113,33143,33105,33110,2759
2023-05-24T06:00:00.000Z,33110,33113,32958,33009,8501
2023-05-24T10:00:00.000Z,33010,33049,32861,32873,11002
2023-05-24T14:00:00.000Z,32872,32934,32769,32867,28126
2023-05-24T18:00:00.000Z,32867,32950,32775,32831,19094
2023-05-24T22:00:00.000Z,32806,32831,32661,32725,6597
2023-05-25T02:00:00.000Z,32725,32764,32714,32748,3868
2023-05-25T06:00:00.000Z,32749,32826,32665,32784,8719
2023-05-25T10:00:00.000Z,32781,32838,32660,32761,13168
2023-05-25T14:00:00.000Z,32761,32810,32587,32789,30187
2023-05-25T18:00:00.000Z,32791,32881,32712,32764,14766
2023-05-25T22:00:00.000Z,32764,32778,32696,32735,3103
2023-05-26T02:00:00.000Z,32736,32751,32720,32739,2788
2023-05-26T06:00:00.000Z,32738,32829,32706,32725,7446
2023-05-26T10:00:00.000Z,32723,33056,32713,32976,11541
2023-05-26T14:00:00.000Z,32978,33174,32938,33068,28433
2023-05-26T18:00:00.000Z,33073,33144,33040,33121,12640
2023-05-28T22:00:00.000Z,33274,33280,33164,33175,4711
2023-05-29T02:00:00.000Z,33174,33187,33146,33179,3075
2023-05-29T06:00:00.000Z,33177,33251,33163,33171,3581
2023-05-29T10:00:00.000Z,33170,33200,33145,33155,3317
2023-05-29T14:00:00.000Z,33157,33236,33146,33158,4503
2023-05-29T22:00:00.000Z,33176,33212,33143,33164,3190
2023-05-30T02:00:00.000Z,33164,33168,33127,33155,2916
2023-05-30T06:00:00.000Z,33154,33214,33123,33187,6949
2023-05-30T10:00:00.000Z,33186,33205,32996,33092,11104
2023-05-30T14:00:00.000Z,33087,33110,32907,32953,31246
2023-05-30T18:00:00.000Z,32952,33086,32938,33049,13894
2023-05-30T22:00:00.000Z,33013,33022,32981,32982,4000
2023-05-31T02:00:00.000Z,32983,32985,32911,32929,5339
2023-05-31T06:00:00.000Z,32928,33016,32861,32972,8995
2023-05-31T10:00:00.000Z,32971,32999,32829,32839,10080
2023-05-31T14:00:00.000Z,32841,32924,32744,32907,29598
2023-05-31T18:00:00.000Z,32907,32991,32855,32878,15192
2023-05-31T22:00:00.000Z,32861,32965,32838,32883,6996
2023-06-01T02:00:00.000Z,32882,32935,32859,32915,5840
2023-06-01T06:00:00.000Z,32915,32976,32897,32969,6565
2023-06-01T10:00:00.000Z,32970,32993,32693,32721,11433
2023-06-01T14:00:00.000Z,32737,33133,32720,33115,27489
2023-06-01T18:00:00.000Z,33117,33166,33015,33099,12966
2023-06-01T22:00:00.000Z,33099,33106,33081,33083,2606
2023-06-02T02:00:00.000Z,33084,33132,33077,33127,3148
2023-06-02T06:00:00.000Z,33128,33234,33115,33215,6226
2023-06-02T10:00:00.000Z,33216,33497,33155,33431,12349
2023-06-02T14:00:00.000Z,33432,33769,33399,33767,27505
2023-06-02T18:00:00.000Z,33768,33820,33730,33776,12560
2023-06-04T22:00:00.000Z,33795,33865,33780,33804,5216
2023-06-05T02:00:00.000Z,33803,33828,33782,33813,3518
2023-06-05T06:00:00.000Z,33814,33855,33806,33822,6286
2023-06-05T10:00:00.000Z,33821,33829,33722,33734,9305
2023-06-05T14:00:00.000Z,33747,33824,33636,33681,27779
2023-06-05T18:00:00.000Z,33683,33686,33571,33584,16509
2023-06-05T22:00:00.000Z,33580,33591,33544,33587,3347
2023-06-06T02:00:00.000Z,33587,33611,33575,33582,3857
2023-06-06T06:00:00.000Z,33586,33609,33520,33553,7667
2023-06-06T10:00:00.000Z,33554,33584,33511,33524,9234
2023-06-06T14:00:00.000Z,33525,33652,33474,33501,26574
2023-06-06T18:00:00.000Z,33500,33622,33424,33589,12287
2023-06-06T22:00:00.000Z,33587,33620,33566,33586,4030
2023-06-07T02:00:00.000Z,33587,33620,33576,33591,4087
2023-06-07T06:00:00.000Z,33591,33596,33523,33547,4715
2023-06-07T10:00:00.000Z,33548,33693,33546,33635,9343
2023-06-07T14:00:00.000Z,33634,33691,33571,33659,29797
2023-06-07T18:00:00.000Z,33659,33726,33644,33687,13747
2023-06-07T22:00:00.000Z,33685,33698,33658,33675,3285
2023-06-08T02:00:00.000Z,33675,33682,33615,33673,4534
2023-06-08T06:00:00.000Z,33670,33719,33639,33687,5844
2023-06-08T10:00:00.000Z,33688,33739,33616,33687,9932
