time,open,high,low,close,volume
2022-06-23T11:00:00.000Z,6.70427,6.70747,6.70233,6.70383,4289
2022-06-23T12:00:00.000Z,6.70384,6.70755,6.70141,6.70194,6440
2022-06-23T13:00:00.000Z,6.70194,6.70429,6.69471,6.6971,9058
2022-06-23T14:00:00.000Z,6.69716,6.70153,6.69455,6.69537,10154
2022-06-23T15:00:00.000Z,6.69543,6.70385,6.69493,6.70385,8672
2022-06-23T16:00:00.000Z,6.70387,6.70459,6.7007,6.70181,7701
2022-06-23T17:00:00.000Z,6.70176,6.70365,6.69932,6.70046,6899
2022-06-23T18:00:00.000Z,6.70046,6.70212,6.69862,6.69881,4435
2022-06-23T19:00:00.000Z,6.69879,6.69992,6.69585,6.69633,3500
2022-06-23T20:00:00.000Z,6.69639,6.69882,6.69429,6.69869,1585
2022-06-23T21:00:00.000Z,6.69715,6.69965,6.69695,6.69739,101
2022-06-23T22:00:00.000Z,6.6974,6.69867,6.6974,6.69817,61
2022-06-23T23:00:00.000Z,6.69885,6.69937,6.69756,6.69768,228
2022-06-24T00:00:00.000Z,6.69796,6.7021,6.69417,6.69779,4136
2022-06-24T01:00:00.000Z,6.69779,6.70002,6.68988,6.69486,8005
2022-06-24T02:00:00.000Z,6.69487,6.6972,6.6867,6.69175,5855
2022-06-24T03:00:00.000Z,6.69175,6.69441,6.68871,6.6924,5433
2022-06-24T04:00:00.000Z,6.69241,6.69359,6.68958,6.69025,4033
2022-06-24T05:00:00.000Z,6.69027,6.69233,6.68765,6.68939,5451
2022-06-24T06:00:00.000Z,6.68938,6.6947,6.68796,6.69311,6731
2022-06-24T07:00:00.000Z,6.69305,6.69663,6.68976,6.69355,6752
2022-06-24T08:00:00.000Z,6.69354,6.69626,6.69063,6.69104,6480
2022-06-24T09:00:00.000Z,6.69105,6.69315,6.68892,6.6894,4429
2022-06-24T10:00:00.000Z,6.68941,6.69362,6.68797,6.69131,4014
2022-06-24T11:00:00.000Z,6.69131,6.69191,6.68906,6.69066,4644
2022-06-24T12:00:00.000Z,6.69062,6.69289,6.68833,6.69063,6226
2022-06-24T13:00:00.000Z,6.69063,6.6944,6.67909,6.68383,9359
2022-06-24T14:00:00.000Z,6.6839,6.68397,6.6748,6.68196,11050
2022-06-24T15:00:00.000Z,6.68224,6.68459,6.67898,6.68259,7736
2022-06-24T16:00:00.000Z,6.68263,6.68358,6.68104,6.68325,6269
2022-06-24T17:00:00.000Z,6.68325,6.68441,6.68233,6.68339,3810
2022-06-24T18:00:00.000Z,6.68339,6.68339,6.67891,6.68073,3925
2022-06-24T19:00:00.000Z,6.68078,6.68413,6.68016,6.68039,3171
2022-06-24T20:00:00.000Z,6.68048,6.68505,6.67928,6.68069,1312
2022-06-26T21:00:00.000Z,6.68087,6.68409,6.67892,6.68307,136
2022-06-26T22:00:00.000Z,6.68302,6.68754,6.68204,6.68659,62
2022-06-26T23:00:00.000Z,6.68584,6.68854,6.67844,6.68064,712
2022-06-27T00:00:00.000Z,6.68064,6.68887,6.67926,6.68842,3665
2022-06-27T01:00:00.000Z,6.68841,6.68912,6.68062,6.6857,7136
2022-06-27T02:00:00.000Z,6.68571,6.68715,6.6776,6.68249,7051
2022-06-27T03:00:00.000Z,6.68248,6.68523,6.68145,6.68298,4564
2022-06-27T04:00:00.000Z,6.68299,6.68356,6.6787,6.67871,3445
2022-06-27T05:00:00.000Z,6.67871,6.683,6.67645,6.68277,5047
2022-06-27T06:00:00.000Z,6.68275,6.68592,6.68014,6.68045,5665
2022-06-27T07:00:00.000Z,6.68046,6.68271,6.67906,6.68253,5269
2022-06-27T08:00:00.000Z,6.6821,6.68589,6.68137,6.6842,4206
2022-06-27T09:00:00.000Z,6.68418,6.68883,6.68394,6.68686,3742
2022-06-27T10:00:00.000Z,6.68686,6.68782,6.68249,6.6843,3117
2022-06-27T11:00:00.000Z,6.68429,6.6865,6.68311,6.68538,3381
2022-06-27T12:00:00.000Z,6.68494,6.69238,6.684,6.69114,5419
2022-06-27T13:00:00.000Z,6.6911,6.69254,6.68768,6.6884,6786
2022-06-27T14:00:00.000Z,6.68842,6.69116,6.68512,6.68648,8191
2022-06-27T15:00:00.000Z,6.68648,6.68818,6.68397,6.68778,5963
2022-06-27T16:00:00.000Z,6.68783,6.69111,6.68712,6.68897,4786
2022-06-27T17:00:00.000Z,6.68897,6.6934,6.68839,6.69231,4772
2022-06-27T18:00:00.000Z,6.69231,6.69326,6.69135,6.69204,4645
2022-06-27T19:00:00.000Z,6.69203,6.69345,6.69121,6.6913,3530
2022-06-27T20:00:00.000Z,6.69129,6.69246,6.69081,6.69084,741
2022-06-27T21:00:00.000Z,6.69084,6.69124,6.68785,6.68817,190
2022-06-27T22:00:00.000Z,6.68814,6.68968,6.68766,6.68942,70
2022-06-27T23:00:00.000Z,6.69016,6.69066,6.68897,6.68897,76
2022-06-28T00:00:00.000Z,6.68913,6.69988,6.68681,6.69627,3057
2022-06-28T01:00:00.000Z,6.69627,6.69966,6.69186,6.69864,6614
2022-06-28T02:00:00.000Z,6.69857,6.69888,6.69343,6.69449,5274
2022-06-28T03:00:00.000Z,6.69445,6.69747,6.69341,6.69463,4045
2022-06-28T04:00:00.000Z,6.69464,6.69676,6.69364,6.69501,3885
2022-06-28T05:00:00.000Z,6.69501,6.69681,6.69313,6.69537,4379
2022-06-28T06:00:00.000Z,6.69541,6.69641,6.66823,6.68093,8797
2022-06-28T07:00:00.000Z,6.68092,6.68614,6.67751,6.68164,6599
2022-06-28T08:00:00.000Z,6.68164,6.68619,6.68154,6.68169,4878
2022-06-28T09:00:00.000Z,6.68173,6.68546,6.68001,6.6845,3732
2022-06-28T10:00:00.000Z,6.68433,6.68971,6.68421,6.68812,3695
2022-06-28T11:00:00.000Z,6.6881,6.70018,6.68787,6.69965,4058
2022-06-28T12:00:00.000Z,6.69966,6.71364,6.69797,6.71149,6017
2022-06-28T13:00:00.000Z,6.71153,6.71282,6.7063,6.7101,7297
2022-06-28T14:00:00.000Z,6.71011,6.71239,6.7054,6.70553,8015
2022-06-28T15:00:00.000Z,6.7056,6.70852,6.70369,6.70626,7351
2022-06-28T16:00:00.000Z,6.70623,6.7074,6.70313,6.70385,6444
2022-06-28T17:00:00.000Z,6.70385,6.70602,6.70246,6.70449,6238
2022-06-28T18:00:00.000Z,6.70448,6.70756,6.70287,6.70556,5275
2022-06-28T19:00:00.000Z,6.70556,6.70655,6.70251,6.70288,3739
2022-06-28T20:00:00.000Z,6.70281,6.7042,6.70033,6.70118,1485
2022-06-28T21:00:00.000Z,6.70122,6.70194,6.70047,6.70082,99
2022-06-28T22:00:00.000Z,6.70193,6.70399,6.70104,6.70399,367
2022-06-28T23:00:00.000Z,6.704,6.70485,6.70026,6.70121,613
2022-06-29T00:00:00.000Z,6.70121,6.71155,6.70073,6.70645,3798
2022-06-29T01:00:00.000Z,6.70614,6.7097,6.69879,6.7014,6498
2022-06-29T02:00:00.000Z,6.70142,6.70634,6.69933,6.70324,5195
2022-06-29T03:00:00.000Z,6.70328,6.70799,6.70328,6.70405,4151
2022-06-29T04:00:00.000Z,6.70406,6.70549,6.70206,6.70407,4324
2022-06-29T05:00:00.000Z,6.70408,6.70522,6.69994,6.7015,4852
2022-06-29T06:00:00.000Z,6.70158,6.71717,6.70157,6.71202,7605
2022-06-29T07:00:00.000Z,6.71196,6.71198,6.70542,6.70718,6881
2022-06-29T08:00:00.000Z,6.70719,6.70836,6.70156,6.7037,5353
2022-06-29T09:00:00.000Z,6.70371,6.70501,6.69964,6.70477,4278
2022-06-29T10:00:00.000Z,6.70482,6.70493,6.69647,6.69952,3907
2022-06-29T11:00:00.000Z,6.69952,6.70038,6.69718,6.69822,3787
2022-06-29T12:00:00.000Z,6.6983,6.69966,6.6925,6.69481,5951
2022-06-29T13:00:00.000Z,6.69483,6.7057,6.69256,6.70196,8678
