time,open,high,low,close,volume
2021-11-29T01:00:00.000Z,76.6,76.61,75.18,76.16,4233
2021-11-29T02:00:00.000Z,76.14,76.57,75.84,76.27,2781
2021-11-29T03:00:00.000Z,76.28,76.47,76.03,76.11,1712
2021-11-29T04:00:00.000Z,76.09,76.09,75.34,75.41,1815
2021-11-29T05:00:00.000Z,75.43,75.76,74.92,75.64,2478
2021-11-29T06:00:00.000Z,75.65,76.08,75.02,75.93,2437
2021-11-29T07:00:00.000Z,75.93,76.19,75.67,76.09,2694
2021-11-29T08:00:00.000Z,76.08,76.6,75.71,75.73,4074
2021-11-29T09:00:00.000Z,75.72,76.42,75.62,76.02,3838
2021-11-29T10:00:00.000Z,76.01,76.29,75.54,76.23,2821
2021-11-29T11:00:00.000Z,76.22,76.47,76.05,76.17,2376
2021-11-29T12:00:00.000Z,76.16,76.47,75.95,76.34,2446
2021-11-29T13:00:00.000Z,76.32,77.21,75.98,76.79,4598
2021-11-29T14:00:00.000Z,76.8,77.14,76.24,76.35,5548
2021-11-29T15:00:00.000Z,76.34,76.38,74.43,75.48,7382
2021-11-29T16:00:00.000Z,75.46,75.68,75.02,75.41,5942
2021-11-29T17:00:00.000Z,75.43,75.88,75.33,75.79,3935
2021-11-29T18:00:00.000Z,75.78,75.81,75.29,75.37,3432
2021-11-29T19:00:00.000Z,75.36,75.41,73.41,73.68,4932
2021-11-29T20:00:00.000Z,73.68,74.16,73.56,74.1,2310
2021-11-29T21:00:00.000Z,74.07,74.37,74.05,74.36,919
2021-11-30T01:00:00.000Z,75.41,75.59,74.85,75.28,2532
2021-11-30T02:00:00.000Z,75.28,75.45,75,75.23,1270
2021-11-30T03:00:00.000Z,75.25,75.27,74.76,74.95,947
2021-11-30T04:00:00.000Z,74.96,75.09,74.84,74.9,564
2021-11-30T05:00:00.000Z,74.89,74.93,72.86,72.87,3729
2021-11-30T06:00:00.000Z,72.87,72.9,71.48,71.61,4448
2021-11-30T07:00:00.000Z,71.61,73.05,71.54,72.54,4283
2021-11-30T08:00:00.000Z,72.55,73.39,72.51,72.64,4141
2021-11-30T09:00:00.000Z,72.64,72.92,72.27,72.8,3218
2021-11-30T10:00:00.000Z,72.82,72.85,71.69,72.28,3198
2021-11-30T11:00:00.000Z,72.27,72.82,72.27,72.29,3357
2021-11-30T12:00:00.000Z,72.28,72.8,72,72.22,3263
2021-11-30T13:00:00.000Z,72.22,72.37,70.96,72.12,5607
2021-11-30T14:00:00.000Z,72.12,72.17,71.45,71.86,6923
2021-11-30T15:00:00.000Z,71.84,72.59,71.29,71.68,7128
2021-11-30T16:00:00.000Z,71.67,71.91,70.66,70.85,5843
2021-11-30T17:00:00.000Z,70.47,70.53,69.66,70.06,5487
2021-11-30T18:00:00.000Z,70.07,70.14,68.75,70.01,5650
2021-11-30T19:00:00.000Z,70,71,69.96,70.66,4799
2021-11-30T20:00:00.000Z,70.66,71.4,70.56,70.88,2041
