time,open,high,low,close,volume
2023-11-27T01:00:00.000Z,80.76,80.87,80.76,80.79,133
2023-11-27T01:05:00.000Z,80.79,80.85,80.78,80.78,106
2023-11-27T01:10:00.000Z,80.77,80.81,80.63,80.78,167
2023-11-27T01:15:00.000Z,80.79,80.82,80.7,80.81,98
2023-11-27T01:20:00.000Z,80.82,80.87,80.75,80.86,66
2023-11-27T01:25:00.000Z,80.87,80.87,80.81,80.83,60
2023-11-27T01:30:00.000Z,80.82,80.82,80.71,80.74,92
2023-11-27T01:35:00.000Z,80.73,80.74,80.55,80.58,123
2023-11-27T01:40:00.000Z,80.58,80.58,80.37,80.39,121
2023-11-27T01:45:00.000Z,80.4,80.46,80.36,80.38,120
2023-11-27T01:50:00.000Z,80.37,80.44,80.36,80.38,97
2023-11-27T01:55:00.000Z,80.37,80.37,80.28,80.32,73
2023-11-27T02:00:00.000Z,80.33,80.39,80.32,80.38,108
2023-11-27T02:05:00.000Z,80.37,80.37,80.26,80.33,92
2023-11-27T02:10:00.000Z,80.34,80.38,80.27,80.28,71
2023-11-27T02:15:00.000Z,80.29,80.31,80.25,80.27,35
2023-11-27T02:20:00.000Z,80.26,80.32,80.25,80.32,27
2023-11-27T02:25:00.000Z,80.31,80.33,80.29,80.3,31
2023-11-27T02:30:00.000Z,80.31,80.31,80.22,80.27,65
2023-11-27T02:35:00.000Z,80.28,80.36,80.21,80.24,79
2023-11-27T02:40:00.000Z,80.24,80.24,80.18,80.22,57
2023-11-27T02:45:00.000Z,80.21,80.23,80.1,80.1,66
2023-11-27T02:50:00.000Z,80.11,80.13,80.05,80.07,82
2023-11-27T02:55:00.000Z,80.06,80.1,80.04,80.06,26
2023-11-27T03:00:00.000Z,80.05,80.08,80.04,80.06,46
2023-11-27T03:05:00.000Z,80.06,80.06,79.84,79.89,76
2023-11-27T03:10:00.000Z,79.89,79.95,79.89,79.92,69
2023-11-27T03:15:00.000Z,79.93,79.93,79.92,79.93,37
2023-11-27T03:20:00.000Z,79.94,79.94,79.92,79.92,51
2023-11-27T03:25:00.000Z,79.91,79.98,79.87,79.98,64
2023-11-27T03:30:00.000Z,79.99,80.04,79.99,80.03,44
2023-11-27T03:35:00.000Z,80.02,80.02,79.99,80.01,25
2023-11-27T03:40:00.000Z,80,80.04,80,80.04,21
2023-11-27T03:45:00.000Z,80.03,80.04,80,80.02,21
2023-11-27T03:50:00.000Z,80.03,80.05,80.01,80.04,13
2023-11-27T03:55:00.000Z,80.04,80.05,80.03,80.03,12
2023-11-27T04:00:00.000Z,80.04,80.04,80.03,80.03,15
2023-11-27T04:05:00.000Z,80.03,80.03,80,80,16
