time,open,high,low,close,volume
2022-10-05T20:00:00.000Z,917.82,919.6,916.96,916.96,531
2022-10-05T20:30:00.000Z,917.01,917.68,915.59,915.69,163
2022-10-05T22:00:00.000Z,914.31,916.93,914.28,916.41,423
2022-10-05T22:30:00.000Z,916.41,917.82,916.37,916.69,344
2022-10-05T23:00:00.000Z,916.74,919.32,916.63,919.04,304
2022-10-05T23:30:00.000Z,919.11,921.99,918.3,921.9,473
2022-10-06T00:00:00.000Z,921.92,925.73,920.85,925.38,1042
2022-10-06T00:30:00.000Z,925.46,925.66,922.36,922.47,942
2022-10-06T01:00:00.000Z,922.57,923.57,920.22,920.48,974
2022-10-06T01:30:00.000Z,920.38,924.28,920.04,923.68,908
2022-10-06T02:00:00.000Z,923.68,924.96,922.88,923.59,839
2022-10-06T02:30:00.000Z,923.61,925.01,922.87,924.48,698
2022-10-06T03:00:00.000Z,924.56,926.02,924.48,925.85,748
2022-10-06T03:30:00.000Z,925.75,925.81,923.72,924.46,567
2022-10-06T04:00:00.000Z,924.47,924.84,923.14,924.52,497
2022-10-06T04:30:00.000Z,924.55,926.04,924.26,926,487
2022-10-06T05:00:00.000Z,926.02,926.31,924.67,926.31,582
2022-10-06T05:30:00.000Z,926.31,928.16,926.16,926.95,615
2022-10-06T06:00:00.000Z,926.98,927.27,923.54,924.11,1262
2022-10-06T06:30:00.000Z,924.02,926.42,921.34,921.74,1048
2022-10-06T07:00:00.000Z,921.87,924.55,920.27,924.4,1255
2022-10-06T07:30:00.000Z,924.26,926.92,923.73,926.16,1162
2022-10-06T08:00:00.000Z,926.06,926.23,921.01,921.11,1087
2022-10-06T08:30:00.000Z,921.06,922.12,917.89,920.38,1289
2022-10-06T09:00:00.000Z,920.4,923.13,920.09,922.86,287
2022-10-06T09:30:00.000Z,922.84,923.3,920.14,920.51,266
2022-10-06T10:00:00.000Z,920.34,922.51,920.2,922.51,276
2022-10-06T10:30:00.000Z,922.59,924.22,922.37,923.46,472
2022-10-06T11:00:00.000Z,923.55,927.88,918.17,919.36,650
2022-10-06T11:30:00.000Z,919.61,923.18,919.26,923.18,396
2022-10-06T12:00:00.000Z,923.27,930.37,922.95,926.81,1416
2022-10-06T12:30:00.000Z,927.93,929.06,924.75,926.48,1650
2022-10-06T13:00:00.000Z,926.51,927.16,917,919.62,1872
2022-10-06T13:30:00.000Z,919.67,926.92,918.64,922.14,2570
2022-10-06T14:00:00.000Z,922.14,922.33,916.58,917.86,2311
2022-10-06T14:30:00.000Z,917.84,923.08,916.29,922.83,2004
2022-10-06T15:00:00.000Z,922.95,925.15,919.95,925.01,1627
2022-10-06T15:30:00.000Z,924.9,924.9,922.14,923.76,1576
2022-10-06T16:00:00.000Z,923.71,924.31,921.31,923.78,1647
2022-10-06T16:30:00.000Z,923.75,924.82,922.58,923.61,1179
2022-10-06T17:00:00.000Z,923.61,925.92,922.2,925.67,1092
